scope,true_label,modality,importance,experiment,experiment_name,seed
all,all,M,6.787532505777255e-05,m_mr_mb,M + MR + MB,3407
all,all,MR,8.228987491642381e-05,m_mr_mb,M + MR + MB,3407
all,all,MB,6.201183324278183e-05,m_mr_mb,M + MR + MB,3407
true_label,0,M,7.073719098116271e-05,m_mr_mb,M + MR + MB,3407
true_label,0,MR,8.5722425345531e-05,m_mr_mb,M + MR + MB,3407
true_label,0,MB,6.431814888076457e-05,m_mr_mb,M + MR + MB,3407
true_label,1,M,6.953223915347321e-05,m_mr_mb,M + MR + MB,3407
true_label,1,MR,8.51739304462998e-05,m_mr_mb,M + MR + MB,3407
true_label,1,MB,5.583967553816778e-05,m_mr_mb,M + MR + MB,3407
true_label,2,M,6.87520919849963e-05,m_mr_mb,M + MR + MB,3407
true_label,2,MR,8.585975946126772e-05,m_mr_mb,M + MR + MB,3407
true_label,2,MB,6.280171728576534e-05,m_mr_mb,M + MR + MB,3407
true_label,3,M,6.385452872398838e-05,m_mr_mb,M + MR + MB,3407
true_label,3,MR,7.955722701973917e-05,m_mr_mb,M + MR + MB,3407
true_label,3,MB,6.058030678766293e-05,m_mr_mb,M + MR + MB,3407
true_label,4,M,6.87818210280966e-05,m_mr_mb,M + MR + MB,3407
true_label,4,MR,8.135869736886687e-05,m_mr_mb,M + MR + MB,3407
true_label,4,MB,6.357733306658426e-05,m_mr_mb,M + MR + MB,3407
