epoch=1 train_f1=0.1309
epoch=2 train_f1=0.2296
epoch=3 train_f1=0.3330
epoch=4 train_f1=0.3990
epoch=5 train_f1=0.4923
epoch=6 train_f1=0.5198
epoch=7 train_f1=0.5555
epoch=8 train_f1=0.6025
epoch=9 train_f1=0.6112
epoch=10 train_f1=0.6362
epoch=11 train_f1=0.6835
epoch=12 train_f1=0.7271
epoch=13 train_f1=0.7503
epoch=14 train_f1=0.8138
epoch=15 train_f1=0.8389
epoch=16 train_f1=0.8977
epoch=17 train_f1=0.8780
epoch=18 train_f1=0.8998
epoch=19 train_f1=0.9432
epoch=20 train_f1=0.9086
epoch=21 train_f1=0.9437
epoch=22 train_f1=0.9465
epoch=23 train_f1=0.9511
epoch=24 train_f1=0.9358
epoch=25 train_f1=0.9630
epoch=26 train_f1=0.9477
epoch=27 train_f1=0.9540
epoch=28 train_f1=0.9586
epoch=29 train_f1=0.9630
epoch=30 train_f1=0.9628
epoch=31 train_f1=0.9624
epoch=32 train_f1=0.9581
epoch=33 train_f1=0.9644
epoch=34 train_f1=0.9775
epoch=35 train_f1=0.9783
epoch=36 train_f1=0.9792
epoch=37 train_f1=0.9624
epoch=38 train_f1=0.9608
epoch=39 train_f1=0.9727
epoch=40 train_f1=0.9827
epoch=41 train_f1=0.9745
epoch=42 train_f1=0.9682
epoch=43 train_f1=0.9774
epoch=44 train_f1=0.9746
epoch=45 train_f1=0.9885
epoch=46 train_f1=0.9629
epoch=47 train_f1=0.9870
epoch=48 train_f1=0.9825
epoch=49 train_f1=0.9760
epoch=50 train_f1=0.9835
