epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.33079847908745247,0.19325115388945174,0.133213996519086,0.9125475285171103,0.0142457332094994,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 101}, {'label': 2, 'precision': 0.10526315789473684, 'recall': 0.010582010582010581, 'f1': 0.019230769230769232, 'support': 189}, {'label': 3, 'precision': 0.3536404160475483, 'recall': 0.8439716312056738, 'f1': 0.49842931937172774, 'support': 282}, {'label': 4, 'precision': 0.22105263157894736, 'recall': 0.11170212765957446, 'f1': 0.14840989399293286, 'support': 188}]","[[0, 0, 3, 21, 5], [0, 0, 7, 84, 10], [0, 0, 2, 169, 18], [0, 0, 3, 238, 41], [2, 0, 4, 161, 21]]","{'accuracy': 0.32647923851737987, 'macro_f1': 0.12925039680337333, 'mae': 0.9005294697689258, 'quadratic_weighted_kappa': -0.004058595129342146}",1.4605872245795826
2,0.39036755386565275,0.24255213261954361,0.20320308946989094,0.7832699619771863,0.18866661528806872,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6, 'recall': 0.0594059405940594, 'f1': 0.10810810810810811, 'support': 101}, {'label': 2, 'precision': 0.3404255319148936, 'recall': 0.1693121693121693, 'f1': 0.22614840989399293, 'support': 189}, {'label': 3, 'precision': 0.391705069124424, 'recall': 0.9042553191489362, 'f1': 0.5466237942122186, 'support': 282}, {'label': 4, 'precision': 0.4411764705882353, 'recall': 0.0797872340425532, 'f1': 0.13513513513513514, 'support': 188}]","[[0, 2, 8, 19, 0], [0, 6, 27, 67, 1], [0, 0, 32, 149, 8], [0, 1, 16, 255, 10], [0, 1, 11, 161, 15]]","{'accuracy': 0.37833632014784624, 'macro_f1': 0.18373446609514704, 'mae': 0.8019610259979746, 'quadratic_weighted_kappa': 0.12988012910159574}",1.3330468011899592
3,0.4828897338403042,0.35040220334090144,0.35214897718993,0.641318124207858,0.462142438628647,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5957446808510638, 'recall': 0.27722772277227725, 'f1': 0.3783783783783784, 'support': 101}, {'label': 2, 'precision': 0.4375, 'recall': 0.4074074074074074, 'f1': 0.42191780821917807, 'support': 189}, {'label': 3, 'precision': 0.4669421487603306, 'recall': 0.8014184397163121, 'f1': 0.5900783289817232, 'support': 282}, {'label': 4, 'precision': 0.6097560975609756, 'recall': 0.26595744680851063, 'f1': 0.37037037037037035, 'support': 188}]","[[0, 7, 14, 8, 0], [0, 28, 36, 34, 3], [0, 9, 77, 94, 9], [0, 2, 34, 226, 20], [0, 1, 15, 122, 50]]","{'accuracy': 0.4668628135752432, 'macro_f1': 0.3344261361080325, 'mae': 0.667248189180763, 'quadratic_weighted_kappa': 0.411998911693484}",1.210948020937476
4,0.550063371356147,0.4485068263665273,0.4419243334772881,0.5678073510773131,0.5896901323988268,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5794392523364486, 'recall': 0.6138613861386139, 'f1': 0.5961538461538461, 'support': 101}, {'label': 2, 'precision': 0.4918032786885246, 'recall': 0.47619047619047616, 'f1': 0.4838709677419355, 'support': 189}, {'label': 3, 'precision': 0.5632183908045977, 'recall': 0.6950354609929078, 'f1': 0.6222222222222222, 'support': 282}, {'label': 4, 'precision': 0.5695364238410596, 'recall': 0.4574468085106383, 'f1': 0.5073746312684366, 'support': 188}]","[[0, 14, 7, 7, 1], [0, 62, 25, 11, 3], [0, 23, 90, 55, 21], [0, 5, 41, 196, 40], [0, 3, 20, 79, 86]]","{'accuracy': 0.5328230875323957, 'macro_f1': 0.425012546989714, 'mae': 0.5967520255154117, 'quadratic_weighted_kappa': 0.5523221983696984}",1.0787263783060854
5,0.6501901140684411,0.5188681684784486,0.5180234172559002,0.4372623574144487,0.6763322487651096,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6593406593406593, 'recall': 0.594059405940594, 'f1': 0.625, 'support': 101}, {'label': 2, 'precision': 0.5771144278606966, 'recall': 0.6137566137566137, 'f1': 0.5948717948717949, 'support': 189}, {'label': 3, 'precision': 0.6524216524216524, 'recall': 0.8120567375886525, 'f1': 0.7235387045813586, 'support': 282}, {'label': 4, 'precision': 0.7397260273972602, 'recall': 0.574468085106383, 'f1': 0.6467065868263473, 'support': 188}]","[[0, 14, 9, 3, 3], [0, 60, 31, 9, 1], [0, 13, 116, 45, 15], [0, 3, 31, 229, 19], [0, 1, 14, 65, 108]]","{'accuracy': 0.6429435046955222, 'macro_f1': 0.5055006143911501, 'mae': 0.46043821181046474, 'quadratic_weighted_kappa': 0.6378081301225447}",0.9436626846799379
6,0.6565272496831432,0.5333734031964493,0.5228896662531164,0.40811153358681873,0.7393661465518917,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5714285714285714, 'recall': 0.594059405940594, 'f1': 0.5825242718446602, 'support': 101}, {'label': 2, 'precision': 0.5865384615384616, 'recall': 0.6455026455026455, 'f1': 0.6146095717884131, 'support': 189}, {'label': 3, 'precision': 0.7147887323943662, 'recall': 0.7198581560283688, 'f1': 0.7173144876325088, 'support': 282}, {'label': 4, 'precision': 0.6927083333333334, 'recall': 0.7074468085106383, 'f1': 0.7, 'support': 188}]","[[0, 20, 7, 1, 1], [0, 60, 34, 4, 3], [0, 21, 122, 35, 11], [0, 2, 33, 203, 44], [0, 2, 12, 41, 133]]","{'accuracy': 0.6744270874872814, 'macro_f1': 0.5292637448751745, 'mae': 0.3941113934788756, 'quadratic_weighted_kappa': 0.7390921498426007}",0.8214815090515466
7,0.7160963244613435,0.5864693156245716,0.574575820873644,0.3523447401774398,0.7483546160174553,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6422018348623854, 'recall': 0.693069306930693, 'f1': 0.6666666666666666, 'support': 101}, {'label': 2, 'precision': 0.6615384615384615, 'recall': 0.6825396825396826, 'f1': 0.671875, 'support': 189}, {'label': 3, 'precision': 0.7482993197278912, 'recall': 0.7801418439716312, 'f1': 0.7638888888888888, 'support': 282}, {'label': 4, 'precision': 0.7643979057591623, 'recall': 0.776595744680851, 'f1': 0.7704485488126649, 'support': 188}]","[[0, 16, 4, 4, 5], [0, 70, 26, 4, 1], [0, 19, 129, 32, 9], [0, 3, 29, 220, 30], [0, 1, 7, 34, 146]]","{'accuracy': 0.7235730055611546, 'macro_f1': 0.578767395182487, 'mae': 0.34444882497146107, 'quadratic_weighted_kappa': 0.750822793745373}",0.7528166535991528
8,0.7313054499366286,0.6034141306734523,0.5869202817945866,0.3231939163498099,0.7963361854999136,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6290322580645161, 'recall': 0.7722772277227723, 'f1': 0.6933333333333334, 'support': 101}, {'label': 2, 'precision': 0.6666666666666666, 'recall': 0.6455026455026455, 'f1': 0.6559139784946236, 'support': 189}, {'label': 3, 'precision': 0.7684563758389261, 'recall': 0.8120567375886525, 'f1': 0.7896551724137931, 'support': 282}, {'label': 4, 'precision': 0.8043478260869565, 'recall': 0.7872340425531915, 'f1': 0.7956989247311828, 'support': 188}]","[[0, 22, 5, 2, 0], [0, 78, 17, 5, 1], [0, 21, 122, 35, 11], [0, 1, 28, 229, 24], [0, 2, 11, 27, 148]]","{'accuracy': 0.7530901143891552, 'macro_f1': 0.5973393240738922, 'mae': 0.3103355060747336, 'quadratic_weighted_kappa': 0.7923693258045066}",0.6680133998469557
9,0.7832699619771863,0.646470563976357,0.6304844795871521,0.2420785804816223,0.8630830407283925,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6694214876033058, 'recall': 0.801980198019802, 'f1': 0.7297297297297297, 'support': 101}, {'label': 2, 'precision': 0.772972972972973, 'recall': 0.7566137566137566, 'f1': 0.7647058823529411, 'support': 189}, {'label': 3, 'precision': 0.7959866220735786, 'recall': 0.8439716312056738, 'f1': 0.8192771084337349, 'support': 282}, {'label': 4, 'precision': 0.8478260869565217, 'recall': 0.8297872340425532, 'f1': 0.8387096774193549, 'support': 188}]","[[0, 24, 4, 1, 0], [0, 81, 15, 4, 1], [0, 15, 143, 27, 4], [0, 1, 20, 238, 23], [0, 0, 3, 29, 156]]","{'accuracy': 0.7948060342917725, 'macro_f1': 0.6344072052498908, 'mae': 0.22974662830332018, 'quadratic_weighted_kappa': 0.8706089753881715}",0.5714721922185484
10,0.8098859315589354,0.6842983961254665,0.6774006725270029,0.21546261089987326,0.8741960593317998,"[{'label': 0, 'precision': 1.0, 'recall': 0.06896551724137931, 'f1': 0.12903225806451613, 'support': 29}, {'label': 1, 'precision': 0.6991869918699187, 'recall': 0.8514851485148515, 'f1': 0.7678571428571429, 'support': 101}, {'label': 2, 'precision': 0.7958115183246073, 'recall': 0.8042328042328042, 'f1': 0.8, 'support': 189}, {'label': 3, 'precision': 0.851063829787234, 'recall': 0.851063829787234, 'f1': 0.851063829787234, 'support': 282}, {'label': 4, 'precision': 0.8324607329842932, 'recall': 0.8457446808510638, 'f1': 0.8390501319261213, 'support': 188}]","[[2, 22, 3, 1, 1], [0, 86, 14, 0, 1], [0, 15, 152, 15, 7], [0, 0, 19, 240, 23], [0, 0, 3, 26, 159]]","{'accuracy': 0.8168921681413432, 'macro_f1': 0.6808146350231405, 'mae': 0.20614866884343608, 'quadratic_weighted_kappa': 0.8835207162869232}",0.5052661702357922
