epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.3548795944233207,0.2091691995947315,0.15172914268555127,0.8745247148288974,0.04150258608970725,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 101}, {'label': 2, 'precision': 0.391304347826087, 'recall': 0.047619047619047616, 'f1': 0.08490566037735849, 'support': 189}, {'label': 3, 'precision': 0.36075036075036077, 'recall': 0.8865248226950354, 'f1': 0.5128205128205128, 'support': 282}, {'label': 4, 'precision': 0.2876712328767123, 'recall': 0.11170212765957446, 'f1': 0.16091954022988506, 'support': 188}]","[[0, 0, 1, 27, 1], [0, 0, 5, 89, 7], [0, 0, 9, 164, 16], [0, 0, 4, 250, 28], [0, 0, 4, 163, 21]]","{'accuracy': 0.3475520708714892, 'macro_f1': 0.14519300046089087, 'mae': 0.8713900227908247, 'quadratic_weighted_kappa': 0.019417694808572694}",1.453789037745564
2,0.41698352344740175,0.2637521553573797,0.23485478139543972,0.7731305449936628,0.1892481621106179,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6666666666666666, 'recall': 0.039603960396039604, 'f1': 0.07476635514018691, 'support': 101}, {'label': 2, 'precision': 0.42168674698795183, 'recall': 0.18518518518518517, 'f1': 0.25735294117647056, 'support': 189}, {'label': 3, 'precision': 0.4009508716323296, 'recall': 0.8971631205673759, 'f1': 0.5542168674698795, 'support': 282}, {'label': 4, 'precision': 0.5362318840579711, 'recall': 0.19680851063829788, 'f1': 0.28793774319066145, 'support': 188}]","[[0, 1, 4, 23, 1], [0, 4, 23, 69, 5], [0, 1, 35, 141, 12], [0, 0, 15, 253, 14], [0, 0, 6, 145, 37]]","{'accuracy': 0.4104843432915299, 'macro_f1': 0.22585202256900008, 'mae': 0.7814368370298939, 'quadratic_weighted_kappa': 0.15908322396497232}",1.3103800924407514
3,0.4664131812420786,0.327802689083498,0.3244696792916621,0.7122940430925222,0.3391292642159227,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5652173913043478, 'recall': 0.12871287128712872, 'f1': 0.20967741935483872, 'support': 101}, {'label': 2, 'precision': 0.390625, 'recall': 0.3968253968253968, 'f1': 0.3937007874015748, 'support': 189}, {'label': 3, 'precision': 0.4649122807017544, 'recall': 0.75177304964539, 'f1': 0.5745257452574526, 'support': 282}, {'label': 4, 'precision': 0.576271186440678, 'recall': 0.3617021276595745, 'f1': 0.4444444444444444, 'support': 188}]","[[0, 3, 14, 11, 1], [0, 13, 41, 38, 9], [0, 0, 75, 98, 16], [0, 4, 42, 212, 24], [0, 3, 20, 97, 68]]","{'accuracy': 0.46649971320135764, 'macro_f1': 0.32458959982284247, 'mae': 0.7180408329567088, 'quadratic_weighted_kappa': 0.32391645499930455}",1.2142795032723623
4,0.5513307984790875,0.4413886018794382,0.43802979323456953,0.5893536121673004,0.5506711864406779,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5376344086021505, 'recall': 0.49504950495049505, 'f1': 0.5154639175257731, 'support': 101}, {'label': 2, 'precision': 0.4845360824742268, 'recall': 0.4973544973544973, 'f1': 0.4908616187989556, 'support': 189}, {'label': 3, 'precision': 0.5784615384615385, 'recall': 0.6666666666666666, 'f1': 0.6194398682042833, 'support': 282}, {'label': 4, 'precision': 0.5819209039548022, 'recall': 0.5478723404255319, 'f1': 0.5643835616438356, 'support': 188}]","[[0, 10, 10, 7, 2], [0, 50, 32, 16, 3], [0, 20, 94, 55, 20], [0, 5, 40, 188, 49], [0, 8, 18, 59, 103]]","{'accuracy': 0.5567957582803038, 'macro_f1': 0.43731540480275966, 'mae': 0.5936022553974134, 'quadratic_weighted_kappa': 0.5359118512454345}",1.0791569503994496
5,0.6286438529784537,0.4914460037695766,0.4928493386581221,0.4790874524714829,0.6254529670254637,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6125, 'recall': 0.48514851485148514, 'f1': 0.5414364640883977, 'support': 101}, {'label': 2, 'precision': 0.5339805825242718, 'recall': 0.582010582010582, 'f1': 0.5569620253164557, 'support': 189}, {'label': 3, 'precision': 0.6430594900849859, 'recall': 0.8049645390070922, 'f1': 0.7149606299212599, 'support': 282}, {'label': 4, 'precision': 0.7333333333333333, 'recall': 0.5851063829787234, 'f1': 0.650887573964497, 'support': 188}]","[[0, 10, 13, 3, 3], [0, 49, 36, 15, 1], [0, 15, 110, 51, 13], [0, 1, 31, 227, 23], [0, 5, 16, 57, 110]]","{'accuracy': 0.6371518941197416, 'macro_f1': 0.49109581686607184, 'mae': 0.48236099731811044, 'quadratic_weighted_kappa': 0.6040875967184508}",0.9256803033016481
6,0.6856780735107731,0.5542559879088212,0.5456996574145137,0.3929024081115336,0.7188769329437754,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6122448979591837, 'recall': 0.594059405940594, 'f1': 0.6030150753768844, 'support': 101}, {'label': 2, 'precision': 0.5944700460829493, 'recall': 0.6825396825396826, 'f1': 0.6354679802955665, 'support': 189}, {'label': 3, 'precision': 0.7421602787456446, 'recall': 0.7553191489361702, 'f1': 0.7486818980667839, 'support': 282}, {'label': 4, 'precision': 0.7433155080213903, 'recall': 0.7393617021276596, 'f1': 0.7413333333333333, 'support': 188}]","[[0, 15, 10, 1, 3], [0, 60, 32, 4, 5], [0, 18, 129, 32, 10], [0, 2, 37, 213, 30], [0, 3, 9, 37, 139]]","{'accuracy': 0.6961352271711101, 'macro_f1': 0.5445031656411672, 'mae': 0.3934219891580446, 'quadratic_weighted_kappa': 0.7002265934167718}",0.8122902982437414
7,0.7224334600760456,0.5785451240159477,0.5717359621466885,0.34220532319391633,0.7565782909873998,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6095238095238096, 'recall': 0.6336633663366337, 'f1': 0.6213592233009708, 'support': 101}, {'label': 2, 'precision': 0.6230366492146597, 'recall': 0.6296296296296297, 'f1': 0.6263157894736842, 'support': 189}, {'label': 3, 'precision': 0.7469135802469136, 'recall': 0.8581560283687943, 'f1': 0.7986798679867987, 'support': 282}, {'label': 4, 'precision': 0.8579881656804734, 'recall': 0.7712765957446809, 'f1': 0.8123249299719888, 'support': 188}]","[[0, 17, 7, 2, 3], [0, 64, 31, 5, 1], [0, 19, 119, 45, 6], [0, 2, 24, 242, 14], [0, 3, 10, 30, 145]]","{'accuracy': 0.7204855496987406, 'macro_f1': 0.566203475677645, 'mae': 0.35657730592956194, 'quadratic_weighted_kappa': 0.7306368056822234}",0.7006717853068701
8,0.7629911280101395,0.6188187359769411,0.6066186165088591,0.2953105196451204,0.7894041517601803,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6330275229357798, 'recall': 0.6831683168316832, 'f1': 0.6571428571428571, 'support': 101}, {'label': 2, 'precision': 0.705, 'recall': 0.746031746031746, 'f1': 0.7249357326478149, 'support': 189}, {'label': 3, 'precision': 0.8088737201365188, 'recall': 0.8404255319148937, 'f1': 0.8243478260869566, 'support': 282}, {'label': 4, 'precision': 0.8288770053475936, 'recall': 0.824468085106383, 'f1': 0.8266666666666667, 'support': 188}]","[[0, 18, 7, 2, 2], [0, 69, 26, 4, 2], [0, 16, 141, 25, 7], [0, 0, 24, 237, 21], [0, 6, 2, 25, 155]]","{'accuracy': 0.7860134102533737, 'macro_f1': 0.6162004733264342, 'mae': 0.2652844039542766, 'quadratic_weighted_kappa': 0.8132415825904842}",0.6188185268632964
9,0.7972116603295311,0.6656794310252392,0.6559457692373651,0.24334600760456274,0.8336912733870956,"[{'label': 0, 'precision': 1.0, 'recall': 0.034482758620689655, 'f1': 0.06666666666666667, 'support': 29}, {'label': 1, 'precision': 0.7058823529411765, 'recall': 0.8316831683168316, 'f1': 0.7636363636363637, 'support': 101}, {'label': 2, 'precision': 0.7591623036649214, 'recall': 0.7671957671957672, 'f1': 0.7631578947368421, 'support': 189}, {'label': 3, 'precision': 0.8197278911564626, 'recall': 0.8546099290780141, 'f1': 0.8368055555555556, 'support': 282}, {'label': 4, 'precision': 0.8586956521739131, 'recall': 0.8404255319148937, 'f1': 0.8494623655913979, 'support': 188}]","[[1, 20, 4, 0, 4], [0, 84, 14, 1, 2], [0, 13, 145, 26, 5], [0, 1, 25, 241, 15], [0, 1, 3, 26, 158]]","{'accuracy': 0.8121935947229051, 'macro_f1': 0.6672279156199055, 'mae': 0.22993528300017158, 'quadratic_weighted_kappa': 0.8426701918433335}",0.5379261178057759
10,0.835234474017744,0.6936059732864248,0.6904444058197414,0.19518377693282637,0.8787230678694082,"[{'label': 0, 'precision': 0.6666666666666666, 'recall': 0.06896551724137931, 'f1': 0.125, 'support': 29}, {'label': 1, 'precision': 0.6902654867256637, 'recall': 0.7722772277227723, 'f1': 0.7289719626168224, 'support': 101}, {'label': 2, 'precision': 0.8010204081632653, 'recall': 0.8306878306878307, 'f1': 0.8155844155844156, 'support': 189}, {'label': 3, 'precision': 0.8846153846153846, 'recall': 0.8971631205673759, 'f1': 0.8908450704225352, 'support': 282}, {'label': 4, 'precision': 0.8848167539267016, 'recall': 0.898936170212766, 'f1': 0.8918205804749341, 'support': 188}]","[[2, 22, 4, 1, 0], [1, 78, 18, 1, 3], [0, 11, 157, 17, 4], [0, 2, 12, 253, 15], [0, 0, 5, 14, 169]]","{'accuracy': 0.8472255353104715, 'macro_f1': 0.7122603004554068, 'mae': 0.180662974134146, 'quadratic_weighted_kappa': 0.8893130993295856}",0.4457038583562099
11,0.8681875792141952,0.7657835711601066,0.7834618341715844,0.16476552598225602,0.885153666006125,"[{'label': 0, 'precision': 1.0, 'recall': 0.27586206896551724, 'f1': 0.43243243243243246, 'support': 29}, {'label': 1, 'precision': 0.782608695652174, 'recall': 0.8910891089108911, 'f1': 0.8333333333333334, 'support': 101}, {'label': 2, 'precision': 0.8743455497382199, 'recall': 0.8835978835978836, 'f1': 0.8789473684210526, 'support': 189}, {'label': 3, 'precision': 0.8862068965517241, 'recall': 0.9113475177304965, 'f1': 0.8986013986013986, 'support': 282}, {'label': 4, 'precision': 0.8810810810810811, 'recall': 0.8670212765957447, 'f1': 0.8739946380697051, 'support': 188}]","[[8, 17, 1, 1, 2], [0, 90, 8, 1, 2], [0, 6, 167, 12, 4], [0, 1, 10, 257, 14], [0, 1, 5, 19, 163]]","{'accuracy': 0.8792271380798509, 'macro_f1': 0.7995499219682907, 'mae': 0.15715599872390718, 'quadratic_weighted_kappa': 0.8826436123407959}",0.3819287655584712
12,0.9074778200253485,0.8148848212914084,0.8342262319784444,0.11533586818757921,0.9170713951652668,"[{'label': 0, 'precision': 1.0, 'recall': 0.3793103448275862, 'f1': 0.55, 'support': 29}, {'label': 1, 'precision': 0.773109243697479, 'recall': 0.9108910891089109, 'f1': 0.8363636363636363, 'support': 101}, {'label': 2, 'precision': 0.9139784946236559, 'recall': 0.8994708994708994, 'f1': 0.9066666666666666, 'support': 189}, {'label': 3, 'precision': 0.9399293286219081, 'recall': 0.9432624113475178, 'f1': 0.9415929203539823, 'support': 282}, {'label': 4, 'precision': 0.9315789473684211, 'recall': 0.9414893617021277, 'f1': 0.9365079365079365, 'support': 188}]","[[11, 15, 0, 0, 3], [0, 92, 7, 1, 1], [0, 10, 170, 8, 1], [0, 1, 7, 266, 8], [0, 1, 2, 8, 177]]","{'accuracy': 0.9038064866441256, 'macro_f1': 0.8218536236423576, 'mae': 0.1235806286851813, 'quadratic_weighted_kappa': 0.9052449221028702}",0.2951931666360911
13,0.9112801013941698,0.8772883550801364,0.8871355669168656,0.1229404309252218,0.9024393409741924,"[{'label': 0, 'precision': 0.875, 'recall': 0.7241379310344828, 'f1': 0.7924528301886793, 'support': 29}, {'label': 1, 'precision': 0.875, 'recall': 0.900990099009901, 'f1': 0.8878048780487805, 'support': 101}, {'label': 2, 'precision': 0.8967391304347826, 'recall': 0.873015873015873, 'f1': 0.8847184986595175, 'support': 189}, {'label': 3, 'precision': 0.925531914893617, 'recall': 0.925531914893617, 'f1': 0.925531914893617, 'support': 282}, {'label': 4, 'precision': 0.9282051282051282, 'recall': 0.9627659574468085, 'f1': 0.9451697127937336, 'support': 188}]","[[21, 3, 1, 1, 3], [2, 91, 5, 2, 1], [0, 7, 165, 14, 3], [0, 2, 12, 261, 7], [1, 1, 1, 4, 181]]","{'accuracy': 0.9032641471889302, 'macro_f1': 0.8659585685047677, 'mae': 0.1390172735760971, 'quadratic_weighted_kappa': 0.8847355139894242}",0.26570885414104195
14,0.9188846641318125,0.8634951959018702,0.8724306309902021,0.10392902408111533,0.9300251790735155,"[{'label': 0, 'precision': 0.7307692307692307, 'recall': 0.6551724137931034, 'f1': 0.6909090909090909, 'support': 29}, {'label': 1, 'precision': 0.8865979381443299, 'recall': 0.8514851485148515, 'f1': 0.8686868686868687, 'support': 101}, {'label': 2, 'precision': 0.8808290155440415, 'recall': 0.8994708994708994, 'f1': 0.8900523560209425, 'support': 189}, {'label': 3, 'precision': 0.9315068493150684, 'recall': 0.9645390070921985, 'f1': 0.9477351916376306, 'support': 282}, {'label': 4, 'precision': 0.9834254143646409, 'recall': 0.9468085106382979, 'f1': 0.964769647696477, 'support': 188}]","[[19, 6, 2, 2, 0], [3, 86, 11, 0, 1], [2, 5, 170, 11, 1], [2, 0, 7, 272, 1], [0, 0, 3, 7, 178]]","{'accuracy': 0.9229534077076329, 'macro_f1': 0.8696118186578328, 'mae': 0.10036974669073843, 'quadratic_weighted_kappa': 0.932986062428882}",0.25576337359855084
15,0.9125475285171103,0.8623492201087488,0.8840068333202096,0.11280101394169835,0.9196972494000369,"[{'label': 0, 'precision': 0.95, 'recall': 0.6551724137931034, 'f1': 0.7755102040816326, 'support': 29}, {'label': 1, 'precision': 0.89, 'recall': 0.8811881188118812, 'f1': 0.8855721393034826, 'support': 101}, {'label': 2, 'precision': 0.8894736842105263, 'recall': 0.8941798941798942, 'f1': 0.8918205804749341, 'support': 189}, {'label': 3, 'precision': 0.9178082191780822, 'recall': 0.950354609929078, 'f1': 0.9337979094076655, 'support': 282}, {'label': 4, 'precision': 0.9358288770053476, 'recall': 0.9308510638297872, 'f1': 0.9333333333333333, 'support': 188}]","[[19, 5, 2, 1, 2], [1, 89, 10, 1, 0], [0, 4, 169, 13, 3], [0, 1, 6, 268, 7], [0, 1, 3, 9, 175]]","{'accuracy': 0.9123180419708868, 'macro_f1': 0.8844119373188516, 'mae': 0.11485301770981617, 'quadratic_weighted_kappa': 0.9142233452512681}",0.22178186421460827
16,0.9062103929024081,0.8910672339287871,0.9000363804189574,0.12040557667934093,0.9158425482514422,"[{'label': 0, 'precision': 0.9259259259259259, 'recall': 0.8620689655172413, 'f1': 0.8928571428571429, 'support': 29}, {'label': 1, 'precision': 0.8958333333333334, 'recall': 0.8514851485148515, 'f1': 0.8730964467005076, 'support': 101}, {'label': 2, 'precision': 0.8972972972972973, 'recall': 0.8783068783068783, 'f1': 0.8877005347593583, 'support': 189}, {'label': 3, 'precision': 0.8945578231292517, 'recall': 0.9326241134751773, 'f1': 0.9131944444444444, 'support': 282}, {'label': 4, 'precision': 0.9358288770053476, 'recall': 0.9308510638297872, 'f1': 0.9333333333333333, 'support': 188}]","[[25, 3, 0, 0, 1], [0, 86, 7, 8, 0], [0, 7, 166, 14, 2], [0, 0, 10, 263, 9], [2, 0, 2, 9, 175]]","{'accuracy': 0.9128201510687681, 'macro_f1': 0.8972162727688143, 'mae': 0.10871901104416457, 'quadratic_weighted_kappa': 0.9272785019457732}",0.28795206686540853
17,0.9290240811153359,0.9160949038690335,0.9179325511944626,0.09125475285171103,0.9419812650388303,"[{'label': 0, 'precision': 0.8928571428571429, 'recall': 0.8620689655172413, 'f1': 0.8771929824561403, 'support': 29}, {'label': 1, 'precision': 0.9038461538461539, 'recall': 0.9306930693069307, 'f1': 0.9170731707317074, 'support': 101}, {'label': 2, 'precision': 0.9052631578947369, 'recall': 0.91005291005291, 'f1': 0.9076517150395779, 'support': 189}, {'label': 3, 'precision': 0.9368421052631579, 'recall': 0.9468085106382979, 'f1': 0.9417989417989417, 'support': 282}, {'label': 4, 'precision': 0.9615384615384616, 'recall': 0.9308510638297872, 'f1': 0.9459459459459459, 'support': 188}]","[[25, 3, 1, 0, 0], [2, 94, 3, 2, 0], [1, 4, 172, 9, 3], [0, 1, 10, 267, 4], [0, 2, 4, 7, 175]]","{'accuracy': 0.9330121853170374, 'macro_f1': 0.9150927781995556, 'mae': 0.0858695477040399, 'quadratic_weighted_kappa': 0.9458187355167148}",0.18092040643945848
18,0.9074778200253485,0.8828770007979381,0.901610920406732,0.11153358681875793,0.9267047865186611,"[{'label': 0, 'precision': 1.0, 'recall': 0.7931034482758621, 'f1': 0.8846153846153846, 'support': 29}, {'label': 1, 'precision': 0.9175257731958762, 'recall': 0.8811881188118812, 'f1': 0.898989898989899, 'support': 101}, {'label': 2, 'precision': 0.9005524861878453, 'recall': 0.8624338624338624, 'f1': 0.8810810810810811, 'support': 189}, {'label': 3, 'precision': 0.8979591836734694, 'recall': 0.9361702127659575, 'f1': 0.9166666666666666, 'support': 282}, {'label': 4, 'precision': 0.9123711340206185, 'recall': 0.9414893617021277, 'f1': 0.9267015706806283, 'support': 188}]","[[23, 3, 0, 1, 2], [0, 89, 11, 0, 1], [0, 4, 163, 18, 4], [0, 1, 7, 264, 10], [0, 0, 0, 11, 177]]","{'accuracy': 0.910734154173605, 'macro_f1': 0.9007345019616417, 'mae': 0.11399262178267913, 'quadratic_weighted_kappa': 0.9186775807768199}",0.22929589769535041
19,0.9391634980988594,0.9226140866890379,0.928897125941378,0.08618504435994931,0.9344103898935663,"[{'label': 0, 'precision': 0.9259259259259259, 'recall': 0.8620689655172413, 'f1': 0.8928571428571429, 'support': 29}, {'label': 1, 'precision': 0.9489795918367347, 'recall': 0.9207920792079208, 'f1': 0.9346733668341709, 'support': 101}, {'label': 2, 'precision': 0.9206349206349206, 'recall': 0.9206349206349206, 'f1': 0.9206349206349206, 'support': 189}, {'label': 3, 'precision': 0.9608540925266904, 'recall': 0.9574468085106383, 'f1': 0.9591474245115453, 'support': 282}, {'label': 4, 'precision': 0.9226804123711341, 'recall': 0.9521276595744681, 'f1': 0.93717277486911, 'support': 188}]","[[25, 2, 0, 0, 2], [0, 93, 7, 1, 0], [1, 3, 174, 6, 5], [1, 0, 3, 270, 8], [0, 0, 5, 4, 179]]","{'accuracy': 0.9389051522248244, 'macro_f1': 0.9318354085632737, 'mae': 0.08973783502472027, 'quadratic_weighted_kappa': 0.9303983254297706}",0.1690096322007959
20,0.9607097591888466,0.9518545192044969,0.9568885251862206,0.05449936628643853,0.95856993901387,"[{'label': 0, 'precision': 0.9629629629629629, 'recall': 0.896551724137931, 'f1': 0.9285714285714286, 'support': 29}, {'label': 1, 'precision': 0.9615384615384616, 'recall': 0.9900990099009901, 'f1': 0.975609756097561, 'support': 101}, {'label': 2, 'precision': 0.9675675675675676, 'recall': 0.9470899470899471, 'f1': 0.9572192513368984, 'support': 189}, {'label': 3, 'precision': 0.9479166666666666, 'recall': 0.9680851063829787, 'f1': 0.9578947368421052, 'support': 282}, {'label': 4, 'precision': 0.972972972972973, 'recall': 0.9574468085106383, 'f1': 0.9651474530831099, 'support': 188}]","[[26, 1, 0, 2, 0], [0, 100, 1, 0, 0], [0, 1, 179, 7, 2], [0, 2, 4, 273, 3], [1, 0, 1, 6, 180]]","{'accuracy': 0.9600129079529426, 'macro_f1': 0.9583197878828426, 'mae': 0.05253793637098209, 'quadratic_weighted_kappa': 0.9632856577267143}",0.136591363476332
21,0.9543726235741445,0.9572191303607879,0.9598835113201503,0.050697084917617236,0.9741992094624699,"[{'label': 0, 'precision': 1.0, 'recall': 0.9655172413793104, 'f1': 0.9824561403508771, 'support': 29}, {'label': 1, 'precision': 0.9509803921568627, 'recall': 0.9603960396039604, 'f1': 0.9556650246305419, 'support': 101}, {'label': 2, 'precision': 0.9375, 'recall': 0.9523809523809523, 'f1': 0.9448818897637795, 'support': 189}, {'label': 3, 'precision': 0.9469964664310954, 'recall': 0.950354609929078, 'f1': 0.9486725663716814, 'support': 282}, {'label': 4, 'precision': 0.9782608695652174, 'recall': 0.9574468085106383, 'f1': 0.967741935483871, 'support': 188}]","[[28, 1, 0, 0, 0], [0, 97, 2, 2, 0], [0, 3, 180, 6, 0], [0, 1, 9, 268, 4], [0, 0, 1, 7, 180]]","{'accuracy': 0.9591691278179375, 'macro_f1': 0.9647072549368977, 'mae': 0.04624981571575998, 'quadratic_weighted_kappa': 0.9760167444350419}",0.15022198757669017
22,0.9543726235741445,0.9461379597066021,0.9529485635032555,0.057034220532319393,0.9630392527602939,"[{'label': 0, 'precision': 1.0, 'recall': 0.896551724137931, 'f1': 0.9454545454545454, 'support': 29}, {'label': 1, 'precision': 0.9514563106796117, 'recall': 0.9702970297029703, 'f1': 0.9607843137254902, 'support': 101}, {'label': 2, 'precision': 0.946236559139785, 'recall': 0.9312169312169312, 'f1': 0.9386666666666666, 'support': 189}, {'label': 3, 'precision': 0.96415770609319, 'recall': 0.9539007092198581, 'f1': 0.9590017825311943, 'support': 282}, {'label': 4, 'precision': 0.9435897435897436, 'recall': 0.9787234042553191, 'f1': 0.9608355091383812, 'support': 188}]","[[26, 2, 0, 0, 1], [0, 98, 3, 0, 0], [0, 2, 176, 7, 4], [0, 1, 6, 269, 6], [0, 0, 1, 3, 184]]","{'accuracy': 0.9490762425188655, 'macro_f1': 0.9448664738999952, 'mae': 0.06595107988550612, 'quadratic_weighted_kappa': 0.9552530503908122}",0.13455474595757644
