epoch=1 train_f1=0.1517
epoch=2 train_f1=0.2349
epoch=3 train_f1=0.3245
epoch=4 train_f1=0.4380
epoch=5 train_f1=0.4928
epoch=6 train_f1=0.5457
epoch=7 train_f1=0.5717
epoch=8 train_f1=0.6066
epoch=9 train_f1=0.6559
epoch=10 train_f1=0.6904
epoch=11 train_f1=0.7835
epoch=12 train_f1=0.8342
epoch=13 train_f1=0.8871
epoch=14 train_f1=0.8724
epoch=15 train_f1=0.8840
epoch=16 train_f1=0.9000
epoch=17 train_f1=0.9179
epoch=18 train_f1=0.9016
epoch=19 train_f1=0.9289
epoch=20 train_f1=0.9569
epoch=21 train_f1=0.9599
epoch=22 train_f1=0.9529
epoch=23 train_f1=0.9393
epoch=24 train_f1=0.9398
epoch=25 train_f1=0.9493
epoch=26 train_f1=0.9573
epoch=27 train_f1=0.9790
epoch=28 train_f1=0.9757
epoch=29 train_f1=0.9577
epoch=30 train_f1=0.9686
epoch=31 train_f1=0.9719
epoch=32 train_f1=0.9801
epoch=33 train_f1=0.9788
epoch=34 train_f1=0.9635
epoch=35 train_f1=0.9616
epoch=36 train_f1=0.9741
epoch=37 train_f1=0.9548
epoch=38 train_f1=0.9915
epoch=39 train_f1=0.9812
epoch=40 train_f1=0.9899
epoch=41 train_f1=0.9847
epoch=42 train_f1=0.9905
epoch=43 train_f1=0.9801
epoch=44 train_f1=0.9894
epoch=45 train_f1=0.9869
epoch=46 train_f1=0.9836
epoch=47 train_f1=0.9788
epoch=48 train_f1=0.9904
epoch=49 train_f1=0.9916
epoch=50 train_f1=0.9757
