epoch=1 train_f1=0.1937
epoch=2 train_f1=0.3709
epoch=3 train_f1=0.4220
epoch=4 train_f1=0.4534
epoch=5 train_f1=0.5156
epoch=6 train_f1=0.5498
epoch=7 train_f1=0.5727
epoch=8 train_f1=0.6265
epoch=9 train_f1=0.6329
epoch=10 train_f1=0.7194
epoch=11 train_f1=0.7684
epoch=12 train_f1=0.7926
epoch=13 train_f1=0.8510
epoch=14 train_f1=0.8950
epoch=15 train_f1=0.9117
epoch=16 train_f1=0.8984
epoch=17 train_f1=0.9136
epoch=18 train_f1=0.9036
epoch=19 train_f1=0.9483
epoch=20 train_f1=0.9425
epoch=21 train_f1=0.9550
epoch=22 train_f1=0.9562
epoch=23 train_f1=0.9586
epoch=24 train_f1=0.9487
epoch=25 train_f1=0.9534
epoch=26 train_f1=0.9441
epoch=27 train_f1=0.9590
epoch=28 train_f1=0.9500
epoch=29 train_f1=0.9631
epoch=30 train_f1=0.9806
epoch=31 train_f1=0.9579
epoch=32 train_f1=0.9672
epoch=33 train_f1=0.9635
epoch=34 train_f1=0.9829
epoch=35 train_f1=0.9778
epoch=36 train_f1=0.9796
epoch=37 train_f1=0.9551
epoch=38 train_f1=0.9761
epoch=39 train_f1=0.9688
epoch=40 train_f1=0.9716
epoch=41 train_f1=0.9945
epoch=42 train_f1=0.9776
epoch=43 train_f1=0.9855
epoch=44 train_f1=0.9803
epoch=45 train_f1=0.9905
epoch=46 train_f1=0.9901
epoch=47 train_f1=0.9872
epoch=48 train_f1=0.9832
epoch=49 train_f1=0.9888
epoch=50 train_f1=0.9849
