epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.3561470215462611,0.21223122818867504,0.15768161931660854,0.826362484157161,0.15925520921729086,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 101}, {'label': 2, 'precision': 0.2882882882882883, 'recall': 0.1693121693121693, 'f1': 0.21333333333333335, 'support': 189}, {'label': 3, 'precision': 0.37888198757763975, 'recall': 0.8652482269503546, 'f1': 0.5269978401727862, 'support': 282}, {'label': 4, 'precision': 0.25, 'recall': 0.026595744680851064, 'f1': 0.04807692307692308, 'support': 188}]","[[0, 1, 9, 19, 0], [2, 0, 37, 62, 0], [2, 0, 32, 151, 4], [4, 4, 19, 244, 11], [1, 0, 14, 168, 5]]","{'accuracy': 0.3447054634335759, 'macro_f1': 0.15706333624182992, 'mae': 0.8361301034650271, 'quadratic_weighted_kappa': 0.1695921445764773}",1.419307346277515
2,0.44866920152091255,0.3124441167521007,0.3028230168428883,0.6717363751584284,0.44164873649514735,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.55, 'recall': 0.10891089108910891, 'f1': 0.18181818181818182, 'support': 101}, {'label': 2, 'precision': 0.375, 'recall': 0.4444444444444444, 'f1': 0.4067796610169492, 'support': 189}, {'label': 3, 'precision': 0.46952595936794583, 'recall': 0.7375886524822695, 'f1': 0.5737931034482758, 'support': 282}, {'label': 4, 'precision': 0.5, 'recall': 0.2712765957446808, 'f1': 0.35172413793103446, 'support': 188}]","[[0, 3, 17, 9, 0], [0, 11, 68, 20, 2], [0, 3, 84, 87, 15], [0, 3, 37, 208, 34], [0, 0, 18, 119, 51]]","{'accuracy': 0.4326544724878734, 'macro_f1': 0.29307502967333876, 'mae': 0.7021930227368486, 'quadratic_weighted_kappa': 0.3991803377945814}",1.230599639080323
3,0.5209125475285171,0.39532514548314,0.39609052417391427,0.596958174904943,0.5410548728727417,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.4925373134328358, 'recall': 0.32673267326732675, 'f1': 0.39285714285714285, 'support': 101}, {'label': 2, 'precision': 0.467005076142132, 'recall': 0.48677248677248675, 'f1': 0.47668393782383417, 'support': 189}, {'label': 3, 'precision': 0.5415549597855228, 'recall': 0.7163120567375887, 'f1': 0.616793893129771, 'support': 282}, {'label': 4, 'precision': 0.5526315789473685, 'recall': 0.44680851063829785, 'f1': 0.49411764705882355, 'support': 188}]","[[0, 13, 9, 3, 4], [0, 33, 49, 16, 3], [0, 13, 92, 68, 16], [0, 4, 31, 202, 45], [0, 4, 16, 84, 84]]","{'accuracy': 0.5080037062279614, 'macro_f1': 0.3833751966738663, 'mae': 0.6270038846714987, 'quadratic_weighted_kappa': 0.4935398849126649}",1.1071294637536218
4,0.5652724968314322,0.4618142564003108,0.4497620537785412,0.5449936628643853,0.6219846300122669,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.488, 'recall': 0.6039603960396039, 'f1': 0.5398230088495575, 'support': 101}, {'label': 2, 'precision': 0.5253164556962026, 'recall': 0.43915343915343913, 'f1': 0.4783861671469741, 'support': 189}, {'label': 3, 'precision': 0.5853658536585366, 'recall': 0.6808510638297872, 'f1': 0.6295081967213115, 'support': 282}, {'label': 4, 'precision': 0.6179775280898876, 'recall': 0.5851063829787234, 'f1': 0.6010928961748634, 'support': 188}]","[[0, 18, 7, 3, 1], [0, 61, 26, 10, 4], [0, 27, 83, 66, 13], [0, 8, 32, 192, 50], [0, 11, 10, 57, 110]]","{'accuracy': 0.5687298042599265, 'macro_f1': 0.4479471371761127, 'mae': 0.5586141704308988, 'quadratic_weighted_kappa': 0.5960329277420966}",1.0003492115266122
5,0.5918884664131813,0.4731256610970114,0.467467320832699,0.5221799746514575,0.6112433296766636,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5196078431372549, 'recall': 0.5247524752475248, 'f1': 0.5221674876847291, 'support': 101}, {'label': 2, 'precision': 0.5670103092783505, 'recall': 0.582010582010582, 'f1': 0.5744125326370757, 'support': 189}, {'label': 3, 'precision': 0.6139817629179332, 'recall': 0.7163120567375887, 'f1': 0.6612111292962357, 'support': 282}, {'label': 4, 'precision': 0.6219512195121951, 'recall': 0.5425531914893617, 'f1': 0.5795454545454546, 'support': 188}]","[[0, 17, 6, 5, 1], [0, 53, 31, 11, 6], [0, 19, 110, 47, 13], [0, 5, 33, 202, 42], [0, 8, 14, 64, 102]]","{'accuracy': 0.5632418699432606, 'macro_f1': 0.4453873738677073, 'mae': 0.5606357685438282, 'quadratic_weighted_kappa': 0.5744321313412089}",0.9337480107489949
6,0.6615969581749049,0.5369139294881868,0.5246781692983888,0.4296577946768061,0.6867682452294523,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5284552845528455, 'recall': 0.6435643564356436, 'f1': 0.5803571428571429, 'support': 101}, {'label': 2, 'precision': 0.6113989637305699, 'recall': 0.6243386243386243, 'f1': 0.6178010471204188, 'support': 189}, {'label': 3, 'precision': 0.7055016181229773, 'recall': 0.7730496453900709, 'f1': 0.7377326565143824, 'support': 282}, {'label': 4, 'precision': 0.7378048780487805, 'recall': 0.6436170212765957, 'f1': 0.6875, 'support': 188}]","[[0, 18, 6, 2, 3], [0, 65, 29, 4, 3], [0, 25, 118, 37, 9], [0, 6, 30, 218, 28], [0, 9, 10, 48, 121]]","{'accuracy': 0.6645814451751365, 'macro_f1': 0.5239971641655811, 'mae': 0.44198396787532956, 'quadratic_weighted_kappa': 0.6620387700238872}",0.8360077793909418
7,0.6945500633713562,0.5710196247588285,0.5551057995143837,0.39670468948035487,0.7012197667698704,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5826771653543307, 'recall': 0.7326732673267327, 'f1': 0.6491228070175439, 'support': 101}, {'label': 2, 'precision': 0.7068965517241379, 'recall': 0.6507936507936508, 'f1': 0.6776859504132231, 'support': 189}, {'label': 3, 'precision': 0.735973597359736, 'recall': 0.7907801418439716, 'f1': 0.7623931623931623, 'support': 282}, {'label': 4, 'precision': 0.6918918918918919, 'recall': 0.6808510638297872, 'f1': 0.6863270777479893, 'support': 188}]","[[0, 18, 5, 1, 5], [0, 74, 21, 1, 5], [0, 22, 123, 35, 9], [0, 4, 17, 223, 38], [0, 9, 8, 43, 128]]","{'accuracy': 0.7014083243305951, 'macro_f1': 0.5572346748781969, 'mae': 0.4062874862340679, 'quadratic_weighted_kappa': 0.6763110628293805}",0.7338004696958419
8,0.7198986058301647,0.5773090328283081,0.568143824095869,0.35994930291508237,0.7238007303922993,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5849056603773585, 'recall': 0.6138613861386139, 'f1': 0.5990338164251208, 'support': 101}, {'label': 2, 'precision': 0.6714975845410628, 'recall': 0.7354497354497355, 'f1': 0.702020202020202, 'support': 189}, {'label': 3, 'precision': 0.762214983713355, 'recall': 0.8297872340425532, 'f1': 0.7945670628183361, 'support': 282}, {'label': 4, 'precision': 0.7869822485207101, 'recall': 0.7074468085106383, 'f1': 0.7450980392156863, 'support': 188}]","[[0, 17, 7, 1, 4], [0, 62, 30, 5, 4], [0, 18, 139, 29, 3], [0, 2, 21, 234, 25], [0, 7, 10, 38, 133]]","{'accuracy': 0.7148510238147604, 'macro_f1': 0.5585997561163736, 'mae': 0.37736209093933804, 'quadratic_weighted_kappa': 0.7004603052310059}",0.6653597837618549
9,0.7655259822560203,0.6226059443452642,0.6172558027487115,0.2991128010139417,0.7811216408494188,"[{'label': 0, 'precision': 1.0, 'recall': 0.034482758620689655, 'f1': 0.06666666666666667, 'support': 29}, {'label': 1, 'precision': 0.6055045871559633, 'recall': 0.6534653465346535, 'f1': 0.6285714285714286, 'support': 101}, {'label': 2, 'precision': 0.696078431372549, 'recall': 0.7513227513227513, 'f1': 0.72264631043257, 'support': 189}, {'label': 3, 'precision': 0.8310344827586207, 'recall': 0.8546099290780141, 'f1': 0.8426573426573427, 'support': 282}, {'label': 4, 'precision': 0.8324324324324325, 'recall': 0.8191489361702128, 'f1': 0.8257372654155496, 'support': 188}]","[[1, 16, 9, 1, 2], [0, 66, 29, 2, 4], [0, 19, 142, 22, 6], [0, 2, 20, 241, 19], [0, 6, 4, 24, 154]]","{'accuracy': 0.769491240557195, 'macro_f1': 0.6073982171995729, 'mae': 0.30327742975245897, 'quadratic_weighted_kappa': 0.7678579851403257}",0.5864110252476463
10,0.8174904942965779,0.681637066162683,0.6764565310533184,0.23193916349809887,0.82927763939452,"[{'label': 0, 'precision': 0.6666666666666666, 'recall': 0.06896551724137931, 'f1': 0.125, 'support': 29}, {'label': 1, 'precision': 0.6666666666666666, 'recall': 0.7920792079207921, 'f1': 0.7239819004524887, 'support': 101}, {'label': 2, 'precision': 0.7638190954773869, 'recall': 0.8042328042328042, 'f1': 0.7835051546391752, 'support': 189}, {'label': 3, 'precision': 0.8865248226950354, 'recall': 0.8865248226950354, 'f1': 0.8865248226950354, 'support': 282}, {'label': 4, 'precision': 0.8702702702702703, 'recall': 0.8563829787234043, 'f1': 0.8632707774798928, 'support': 188}]","[[2, 20, 3, 1, 3], [0, 80, 21, 0, 0], [0, 15, 152, 14, 8], [0, 0, 19, 250, 13], [1, 5, 4, 17, 161]]","{'accuracy': 0.8230351171242153, 'macro_f1': 0.676081281124657, 'mae': 0.23280700545964716, 'quadratic_weighted_kappa': 0.8199780605272485}",0.47516481534911953
