epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.3193916349809886,0.1881684115726669,0.13617686434587842,0.9328263624841572,-0.016223589873738842,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 101}, {'label': 2, 'precision': 0.21296296296296297, 'recall': 0.12169312169312169, 'f1': 0.15488215488215487, 'support': 189}, {'label': 3, 'precision': 0.35101404056162244, 'recall': 0.7978723404255319, 'f1': 0.4875406283856988, 'support': 282}, {'label': 4, 'precision': 0.2, 'recall': 0.02127659574468085, 'f1': 0.038461538461538464, 'support': 188}]","[[0, 0, 4, 25, 0], [2, 0, 13, 81, 5], [2, 4, 23, 153, 7], [4, 4, 45, 225, 4], [2, 2, 23, 157, 4]]","{'accuracy': 0.3203801652959141, 'macro_f1': 0.14209511828356108, 'mae': 0.928671344868117, 'quadratic_weighted_kappa': -0.011330980151488035}",1.478269319419474
2,0.37389100126742714,0.22848365383650832,0.185808441914289,0.835234474017744,0.0990532919250603,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 1.0, 'recall': 0.0297029702970297, 'f1': 0.057692307692307696, 'support': 101}, {'label': 2, 'precision': 0.313953488372093, 'recall': 0.14285714285714285, 'f1': 0.19636363636363635, 'support': 189}, {'label': 3, 'precision': 0.38330757341576505, 'recall': 0.8794326241134752, 'f1': 0.5339074273412271, 'support': 282}, {'label': 4, 'precision': 0.32075471698113206, 'recall': 0.09042553191489362, 'f1': 0.14107883817427386, 'support': 188}]","[[0, 0, 5, 24, 0], [0, 3, 21, 71, 6], [0, 0, 27, 148, 14], [0, 0, 18, 248, 16], [0, 0, 15, 156, 17]]","{'accuracy': 0.3670976903847533, 'macro_f1': 0.18233009730994748, 'mae': 0.8375768153105361, 'quadratic_weighted_kappa': 0.08352980586774383}",1.353886941691013
3,0.41951837769328265,0.2758179212044811,0.25874627177966,0.7680608365019012,0.23763559752562535,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.8571428571428571, 'recall': 0.0594059405940594, 'f1': 0.1111111111111111, 'support': 101}, {'label': 2, 'precision': 0.3826086956521739, 'recall': 0.2328042328042328, 'f1': 0.2894736842105263, 'support': 189}, {'label': 3, 'precision': 0.4092526690391459, 'recall': 0.8156028368794326, 'f1': 0.5450236966824644, 'support': 282}, {'label': 4, 'precision': 0.4857142857142857, 'recall': 0.2712765957446808, 'f1': 0.34812286689419797, 'support': 188}]","[[0, 0, 5, 22, 2], [0, 6, 34, 55, 6], [0, 1, 44, 127, 17], [0, 0, 23, 230, 29], [0, 0, 9, 128, 51]]","{'accuracy': 0.42266008359052565, 'macro_f1': 0.2487746904360551, 'mae': 0.7718286494925839, 'quadratic_weighted_kappa': 0.20606865012517217}",1.2693915424540319
4,0.4866920152091255,0.3653240197373334,0.36799501109881966,0.6628643852978454,0.46729317002325577,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5238095238095238, 'recall': 0.32673267326732675, 'f1': 0.4024390243902439, 'support': 101}, {'label': 2, 'precision': 0.4407894736842105, 'recall': 0.3544973544973545, 'f1': 0.39296187683284456, 'support': 189}, {'label': 3, 'precision': 0.48699763593380613, 'recall': 0.7304964539007093, 'f1': 0.5843971631205673, 'support': 282}, {'label': 4, 'precision': 0.5165562913907285, 'recall': 0.4148936170212766, 'f1': 0.46017699115044247, 'support': 188}]","[[0, 11, 12, 4, 2], [0, 33, 30, 30, 8], [0, 11, 67, 91, 20], [0, 5, 28, 206, 43], [0, 3, 15, 92, 78]]","{'accuracy': 0.4858965257083564, 'macro_f1': 0.36325416139905736, 'mae': 0.6768205369579526, 'quadratic_weighted_kappa': 0.43705428286616077}",1.1729534425511863
5,0.5449936628643853,0.4258734840049355,0.4266525702926362,0.6045627376425855,0.505333955702321,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5526315789473685, 'recall': 0.4158415841584158, 'f1': 0.4745762711864407, 'support': 101}, {'label': 2, 'precision': 0.4782608695652174, 'recall': 0.5238095238095238, 'f1': 0.5, 'support': 189}, {'label': 3, 'precision': 0.5664739884393064, 'recall': 0.6950354609929078, 'f1': 0.6242038216560509, 'support': 282}, {'label': 4, 'precision': 0.58125, 'recall': 0.4946808510638298, 'f1': 0.5344827586206896, 'support': 188}]","[[0, 11, 9, 5, 4], [0, 42, 36, 14, 9], [0, 11, 99, 60, 19], [0, 7, 44, 196, 35], [0, 5, 19, 71, 93]]","{'accuracy': 0.5307093775099916, 'macro_f1': 0.4126401572737154, 'mae': 0.6406034372333921, 'quadratic_weighted_kappa': 0.463132619946926}",1.069048824721265
6,0.605830164765526,0.49079652646115673,0.48377147396088355,0.5297845373891001,0.5898700174872451,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5833333333333334, 'recall': 0.5544554455445545, 'f1': 0.5685279187817259, 'support': 101}, {'label': 2, 'precision': 0.5357142857142857, 'recall': 0.5555555555555556, 'f1': 0.5454545454545454, 'support': 189}, {'label': 3, 'precision': 0.6542372881355932, 'recall': 0.6843971631205674, 'f1': 0.6689774696707106, 'support': 282}, {'label': 4, 'precision': 0.6138613861386139, 'recall': 0.6595744680851063, 'f1': 0.6358974358974359, 'support': 188}]","[[0, 12, 9, 4, 4], [0, 56, 30, 6, 9], [0, 15, 105, 48, 21], [0, 8, 37, 193, 44], [0, 5, 15, 44, 124]]","{'accuracy': 0.6239575151314479, 'macro_f1': 0.49058623506846627, 'mae': 0.5229977970480686, 'quadratic_weighted_kappa': 0.5793279138972319}",0.9701682502930307
7,0.6463878326996197,0.5316826110169275,0.5229362714901413,0.4461343472750317,0.6796445005864837,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6442307692307693, 'recall': 0.6633663366336634, 'f1': 0.6536585365853659, 'support': 101}, {'label': 2, 'precision': 0.5885416666666666, 'recall': 0.5978835978835979, 'f1': 0.5931758530183727, 'support': 189}, {'label': 3, 'precision': 0.6666666666666666, 'recall': 0.7163120567375887, 'f1': 0.6905982905982906, 'support': 282}, {'label': 4, 'precision': 0.6736842105263158, 'recall': 0.6808510638297872, 'f1': 0.6772486772486772, 'support': 188}]","[[0, 12, 11, 1, 5], [0, 67, 22, 10, 2], [0, 20, 113, 44, 12], [0, 2, 35, 202, 43], [0, 3, 11, 46, 128]]","{'accuracy': 0.6533220909876748, 'macro_f1': 0.5240409786320379, 'mae': 0.4367884110791282, 'quadratic_weighted_kappa': 0.6938930346774508}",0.8699945082984799
8,0.70595690747782,0.5710476569440125,0.5620039892821994,0.3840304182509506,0.7083280729911225,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6213592233009708, 'recall': 0.6336633663366337, 'f1': 0.6274509803921569, 'support': 101}, {'label': 2, 'precision': 0.64, 'recall': 0.6772486772486772, 'f1': 0.6580976863753213, 'support': 189}, {'label': 3, 'precision': 0.7441860465116279, 'recall': 0.7943262411347518, 'f1': 0.7684391080617495, 'support': 282}, {'label': 4, 'precision': 0.7621621621621621, 'recall': 0.75, 'f1': 0.7560321715817694, 'support': 188}]","[[0, 15, 9, 1, 4], [0, 64, 24, 10, 3], [0, 17, 128, 34, 10], [0, 1, 30, 224, 27], [0, 6, 9, 32, 141]]","{'accuracy': 0.7094328154039873, 'macro_f1': 0.5573283616997098, 'mae': 0.38961893644429296, 'quadratic_weighted_kappa': 0.6948935989518243}",0.7852642793014778
9,0.7363751584283904,0.6063534418284787,0.5934979615442829,0.33840304182509506,0.7546452440059737,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6875, 'recall': 0.7623762376237624, 'f1': 0.7230046948356808, 'support': 101}, {'label': 2, 'precision': 0.6403940886699507, 'recall': 0.6878306878306878, 'f1': 0.6632653061224489, 'support': 189}, {'label': 3, 'precision': 0.782312925170068, 'recall': 0.8156028368794326, 'f1': 0.7986111111111112, 'support': 282}, {'label': 4, 'precision': 0.8, 'recall': 0.7659574468085106, 'f1': 0.782608695652174, 'support': 188}]","[[0, 15, 9, 2, 3], [0, 77, 20, 2, 2], [0, 16, 130, 33, 10], [0, 2, 29, 230, 21], [0, 2, 15, 27, 144]]","{'accuracy': 0.7455865435043733, 'macro_f1': 0.5954655754144056, 'mae': 0.3366672366386877, 'quadratic_weighted_kappa': 0.7510820446524094}",0.673846122656485
10,0.7972116603295311,0.6561981223451625,0.6383014088300688,0.2534854245880862,0.823975607942292,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6666666666666666, 'recall': 0.7920792079207921, 'f1': 0.7239819004524887, 'support': 101}, {'label': 2, 'precision': 0.7634408602150538, 'recall': 0.7513227513227513, 'f1': 0.7573333333333333, 'support': 189}, {'label': 3, 'precision': 0.8456140350877193, 'recall': 0.8546099290780141, 'f1': 0.8500881834215167, 'support': 282}, {'label': 4, 'precision': 0.8383838383838383, 'recall': 0.8829787234042553, 'f1': 0.8601036269430051, 'support': 188}]","[[0, 20, 6, 1, 2], [0, 80, 15, 3, 3], [0, 16, 142, 25, 6], [0, 1, 19, 241, 21], [0, 3, 4, 15, 166]]","{'accuracy': 0.8019571590499874, 'macro_f1': 0.6329370755822759, 'mae': 0.25705014102275936, 'quadratic_weighted_kappa': 0.8111668068004941}",0.5515462992611342
