epoch=1 train_f1=0.1362
epoch=2 train_f1=0.1858
epoch=3 train_f1=0.2587
epoch=4 train_f1=0.3680
epoch=5 train_f1=0.4267
epoch=6 train_f1=0.4838
epoch=7 train_f1=0.5229
epoch=8 train_f1=0.5620
epoch=9 train_f1=0.5935
epoch=10 train_f1=0.6383
epoch=11 train_f1=0.6593
epoch=12 train_f1=0.6846
epoch=13 train_f1=0.7837
epoch=14 train_f1=0.7524
epoch=15 train_f1=0.8609
epoch=16 train_f1=0.9127
epoch=17 train_f1=0.8678
epoch=18 train_f1=0.8830
epoch=19 train_f1=0.9250
epoch=20 train_f1=0.9129
epoch=21 train_f1=0.9489
epoch=22 train_f1=0.9358
epoch=23 train_f1=0.9371
epoch=24 train_f1=0.9692
epoch=25 train_f1=0.9592
epoch=26 train_f1=0.9588
epoch=27 train_f1=0.9529
epoch=28 train_f1=0.9606
epoch=29 train_f1=0.9756
epoch=30 train_f1=0.9568
epoch=31 train_f1=0.9718
epoch=32 train_f1=0.9579
epoch=33 train_f1=0.9540
epoch=34 train_f1=0.9708
epoch=35 train_f1=0.9855
epoch=36 train_f1=0.9703
epoch=37 train_f1=0.9595
epoch=38 train_f1=0.9806
epoch=39 train_f1=0.9746
epoch=40 train_f1=0.9824
epoch=41 train_f1=0.9886
epoch=42 train_f1=0.9855
epoch=43 train_f1=0.9775
epoch=44 train_f1=0.9729
epoch=45 train_f1=0.9805
epoch=46 train_f1=0.9801
epoch=47 train_f1=0.9828
epoch=48 train_f1=0.9828
epoch=49 train_f1=0.9809
epoch=50 train_f1=0.9791
