epoch=1 train_f1=0.1394
epoch=2 train_f1=0.2193
epoch=3 train_f1=0.3650
epoch=4 train_f1=0.4448
epoch=5 train_f1=0.5043
epoch=6 train_f1=0.5423
epoch=7 train_f1=0.5796
epoch=8 train_f1=0.6037
epoch=9 train_f1=0.6470
epoch=10 train_f1=0.6928
epoch=11 train_f1=0.7282
epoch=12 train_f1=0.7806
epoch=13 train_f1=0.8048
epoch=14 train_f1=0.8769
epoch=15 train_f1=0.8985
epoch=16 train_f1=0.8766
epoch=17 train_f1=0.8862
epoch=18 train_f1=0.9232
epoch=19 train_f1=0.9339
epoch=20 train_f1=0.9309
epoch=21 train_f1=0.9447
epoch=22 train_f1=0.9521
epoch=23 train_f1=0.9422
epoch=24 train_f1=0.9352
epoch=25 train_f1=0.9681
epoch=26 train_f1=0.9513
epoch=27 train_f1=0.9526
epoch=28 train_f1=0.9711
epoch=29 train_f1=0.9664
epoch=30 train_f1=0.9745
epoch=31 train_f1=0.9538
epoch=32 train_f1=0.9812
epoch=33 train_f1=0.9736
epoch=34 train_f1=0.9714
epoch=35 train_f1=0.9796
epoch=36 train_f1=0.9841
epoch=37 train_f1=0.9687
epoch=38 train_f1=0.9674
epoch=39 train_f1=0.9715
epoch=40 train_f1=0.9774
epoch=41 train_f1=0.9823
epoch=42 train_f1=0.9779
epoch=43 train_f1=0.9802
epoch=44 train_f1=0.9698
epoch=45 train_f1=0.9884
epoch=46 train_f1=0.9783
epoch=47 train_f1=0.9823
epoch=48 train_f1=0.9896
epoch=49 train_f1=0.9793
epoch=50 train_f1=0.9858
