epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.33713561470215464,0.1939547450185748,0.12684015153873465,0.8935361216730038,0.007173501639799129,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 101}, {'label': 2, 'precision': 0.11538461538461539, 'recall': 0.015873015873015872, 'f1': 0.027906976744186046, 'support': 189}, {'label': 3, 'precision': 0.3565340909090909, 'recall': 0.8900709219858156, 'f1': 0.5091277890466531, 'support': 282}, {'label': 4, 'precision': 0.2033898305084746, 'recall': 0.06382978723404255, 'f1': 0.09716599190283401, 'support': 188}]","[[0, 0, 3, 23, 3], [0, 0, 5, 91, 5], [0, 0, 3, 167, 19], [0, 0, 11, 251, 20], [0, 0, 4, 172, 12]]","{'accuracy': 0.33633893879668636, 'macro_f1': 0.12652133651075387, 'mae': 0.8802985444968899, 'quadratic_weighted_kappa': -0.005694156188099431}",1.4525649311877928
2,0.41064638783269963,0.25791399302037604,0.22438704707726592,0.761723700887199,0.2239105452870851,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 101}, {'label': 2, 'precision': 0.37719298245614036, 'recall': 0.2275132275132275, 'f1': 0.2838283828382838, 'support': 189}, {'label': 3, 'precision': 0.4033057851239669, 'recall': 0.8652482269503546, 'f1': 0.5501691093573844, 'support': 282}, {'label': 4, 'precision': 0.5362318840579711, 'recall': 0.19680851063829788, 'f1': 0.28793774319066145, 'support': 188}]","[[0, 1, 7, 20, 1], [0, 0, 36, 61, 4], [0, 0, 43, 140, 6], [0, 0, 17, 244, 21], [0, 0, 11, 140, 37]]","{'accuracy': 0.4100315075699534, 'macro_f1': 0.2213388587046075, 'mae': 0.7630026327470879, 'quadratic_weighted_kappa': 0.19796027273304928}",1.2946037806485542
3,0.5057034220532319,0.37601403504078873,0.3815057740150755,0.6197718631178707,0.49659169848721507,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5510204081632653, 'recall': 0.26732673267326734, 'f1': 0.36, 'support': 101}, {'label': 2, 'precision': 0.46113989637305697, 'recall': 0.4708994708994709, 'f1': 0.46596858638743455, 'support': 189}, {'label': 3, 'precision': 0.4846335697399527, 'recall': 0.7269503546099291, 'f1': 0.5815602836879432, 'support': 282}, {'label': 4, 'precision': 0.6290322580645161, 'recall': 0.4148936170212766, 'f1': 0.5, 'support': 188}]","[[0, 9, 11, 8, 1], [0, 27, 39, 32, 3], [0, 7, 89, 84, 9], [0, 3, 41, 205, 33], [0, 3, 13, 94, 78]]","{'accuracy': 0.5170997447008714, 'macro_f1': 0.39739659082042966, 'mae': 0.5997074512865256, 'quadratic_weighted_kappa': 0.5183457573085279}",1.175163394900178
4,0.5944233206590621,0.47009846374708386,0.46658849863176055,0.5183776932826363,0.617528030565514,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5280898876404494, 'recall': 0.46534653465346537, 'f1': 0.49473684210526314, 'support': 101}, {'label': 2, 'precision': 0.5114155251141552, 'recall': 0.5925925925925926, 'f1': 0.5490196078431373, 'support': 189}, {'label': 3, 'precision': 0.638095238095238, 'recall': 0.7127659574468085, 'f1': 0.6733668341708543, 'support': 282}, {'label': 4, 'precision': 0.6566265060240963, 'recall': 0.5797872340425532, 'f1': 0.615819209039548, 'support': 188}]","[[0, 12, 14, 2, 1], [0, 47, 38, 14, 2], [0, 19, 112, 42, 16], [0, 3, 40, 201, 38], [0, 8, 15, 56, 109]]","{'accuracy': 0.614044755089266, 'macro_f1': 0.47948973084020763, 'mae': 0.5019968657580949, 'quadratic_weighted_kappa': 0.6258832362324435}",1.026800042549467
5,0.6299112801013942,0.4968192107964596,0.49541594963201846,0.45373891001267425,0.6794423759962673,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5604395604395604, 'recall': 0.504950495049505, 'f1': 0.53125, 'support': 101}, {'label': 2, 'precision': 0.578125, 'recall': 0.5873015873015873, 'f1': 0.5826771653543307, 'support': 189}, {'label': 3, 'precision': 0.632183908045977, 'recall': 0.7801418439716312, 'f1': 0.6984126984126984, 'support': 282}, {'label': 4, 'precision': 0.7278481012658228, 'recall': 0.6117021276595744, 'f1': 0.6647398843930635, 'support': 188}]","[[0, 17, 7, 5, 0], [0, 51, 37, 11, 2], [0, 14, 111, 52, 12], [0, 5, 28, 220, 29], [0, 4, 9, 60, 115]]","{'accuracy': 0.6454617538703719, 'macro_f1': 0.501945407574051, 'mae': 0.4370209113268546, 'quadratic_weighted_kappa': 0.6913348440218343}",0.8931219151718082
6,0.6755386565272496,0.5514901084839994,0.5400976251783591,0.39543726235741444,0.7270525830258303,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5726495726495726, 'recall': 0.6633663366336634, 'f1': 0.6146788990825688, 'support': 101}, {'label': 2, 'precision': 0.6559139784946236, 'recall': 0.6455026455026455, 'f1': 0.6506666666666666, 'support': 189}, {'label': 3, 'precision': 0.6935483870967742, 'recall': 0.7624113475177305, 'f1': 0.7263513513513513, 'support': 282}, {'label': 4, 'precision': 0.7329545454545454, 'recall': 0.6861702127659575, 'f1': 0.7087912087912088, 'support': 188}]","[[0, 20, 4, 2, 3], [0, 67, 24, 8, 2], [0, 22, 122, 38, 7], [0, 2, 30, 215, 35], [0, 6, 6, 47, 129]]","{'accuracy': 0.6934028054707646, 'macro_f1': 0.5464381136526194, 'mae': 0.3897309168130871, 'quadratic_weighted_kappa': 0.7137396400700629}",0.8056409326494118
7,0.7224334600760456,0.5855754065781451,0.5751261861058523,0.33840304182509506,0.7721094705668547,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6336633663366337, 'recall': 0.6336633663366337, 'f1': 0.6336633663366337, 'support': 101}, {'label': 2, 'precision': 0.6632653061224489, 'recall': 0.6878306878306878, 'f1': 0.6753246753246753, 'support': 189}, {'label': 3, 'precision': 0.7628865979381443, 'recall': 0.7872340425531915, 'f1': 0.774869109947644, 'support': 282}, {'label': 4, 'precision': 0.7661691542288557, 'recall': 0.8191489361702128, 'f1': 0.7917737789203085, 'support': 188}]","[[0, 19, 7, 1, 2], [0, 64, 27, 6, 4], [0, 15, 130, 36, 8], [0, 2, 25, 222, 33], [0, 1, 7, 26, 154]]","{'accuracy': 0.7277975455353265, 'macro_f1': 0.573280080747453, 'mae': 0.3413361735260685, 'quadratic_weighted_kappa': 0.7618076819039151}",0.6882143348493202
8,0.7667934093789607,0.6319597005293234,0.617655697871456,0.28390367553865653,0.8062464250312201,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6694214876033058, 'recall': 0.801980198019802, 'f1': 0.7297297297297297, 'support': 101}, {'label': 2, 'precision': 0.7340425531914894, 'recall': 0.7301587301587301, 'f1': 0.7320954907161804, 'support': 189}, {'label': 3, 'precision': 0.7741935483870968, 'recall': 0.851063829787234, 'f1': 0.8108108108108109, 'support': 282}, {'label': 4, 'precision': 0.8588235294117647, 'recall': 0.776595744680851, 'f1': 0.8156424581005587, 'support': 188}]","[[0, 20, 6, 1, 2], [0, 81, 16, 3, 1], [0, 13, 138, 33, 5], [0, 3, 23, 240, 16], [0, 4, 5, 33, 146]]","{'accuracy': 0.7722515667181453, 'macro_f1': 0.6140296609000302, 'mae': 0.2844504583541786, 'quadratic_weighted_kappa': 0.7994566098981517}",0.6048425173124886
9,0.8124207858048162,0.6642100329587164,0.6474792076740148,0.21673003802281368,0.8674945345185383,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6446280991735537, 'recall': 0.7722772277227723, 'f1': 0.7027027027027027, 'support': 101}, {'label': 2, 'precision': 0.7889447236180904, 'recall': 0.8306878306878307, 'f1': 0.8092783505154639, 'support': 189}, {'label': 3, 'precision': 0.8615916955017301, 'recall': 0.8829787234042553, 'f1': 0.87215411558669, 'support': 282}, {'label': 4, 'precision': 0.8722222222222222, 'recall': 0.8351063829787234, 'f1': 0.8532608695652174, 'support': 188}]","[[0, 24, 4, 1, 0], [0, 78, 20, 1, 2], [0, 16, 157, 13, 3], [0, 1, 14, 249, 18], [0, 2, 4, 25, 157]]","{'accuracy': 0.8342124698599601, 'macro_f1': 0.6625090074096701, 'mae': 0.1899611613411542, 'quadratic_weighted_kappa': 0.8870726994061697}",0.49244687584416497
10,0.8111533586818758,0.6817871893048228,0.6930262169380164,0.2332065906210393,0.8394886469100677,"[{'label': 0, 'precision': 1.0, 'recall': 0.13793103448275862, 'f1': 0.24242424242424243, 'support': 29}, {'label': 1, 'precision': 0.6915887850467289, 'recall': 0.7326732673267327, 'f1': 0.7115384615384616, 'support': 101}, {'label': 2, 'precision': 0.7731958762886598, 'recall': 0.7936507936507936, 'f1': 0.783289817232376, 'support': 189}, {'label': 3, 'precision': 0.8344370860927153, 'recall': 0.8936170212765957, 'f1': 0.863013698630137, 'support': 282}, {'label': 4, 'precision': 0.8791208791208791, 'recall': 0.851063829787234, 'f1': 0.8648648648648649, 'support': 188}]","[[4, 18, 3, 3, 1], [0, 74, 19, 4, 4], [0, 14, 150, 21, 4], [0, 1, 16, 252, 13], [0, 0, 6, 22, 160]]","{'accuracy': 0.8154769255991151, 'macro_f1': 0.6751373819788618, 'mae': 0.23703446578516363, 'quadratic_weighted_kappa': 0.8258313272756125}",0.49898968117620857
