run,modality,seed,model,input_resolution,train_images,test_images,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa
MB_seed2026,MB,2026,resnet50,384x384,789,207,0.32367149758454106,0.2289177489177489,0.22126245662789232,0.9758454106280193,0.1949139865370232
MB_seed3407,MB,3407,resnet50,384x384,789,207,0.2898550724637681,0.21748917748917748,0.1923155179038662,1.0628019323671498,0.09922749865261393
MB_seed42,MB,42,resnet50,384x384,789,207,0.357487922705314,0.3027272727272727,0.26802155155874346,0.8502415458937198,0.3328037043762484
MP_seed2026,MP,2026,resnet50,384x384,789,207,0.26570048309178745,0.17995670995670995,0.15432931131891908,1.077294685990338,0.10385853101185549
MP_seed3407,MP,3407,resnet50,384x384,789,207,0.3526570048309179,0.2099134199134199,0.19210624420237227,0.9468599033816425,0.09628670120898108
MP_seed42,MP,42,resnet50,384x384,789,207,0.2946859903381642,0.21405483405483405,0.20153387327589312,1.0917874396135265,0.1274098424054917
MR_seed2026,MR,2026,resnet50,384x384,789,207,0.3140096618357488,0.2727994227994228,0.2626882459947967,0.9130434782608695,0.3187165310711143
MR_seed3407,MR,3407,resnet50,384x384,789,207,0.3285024154589372,0.27724386724386724,0.2619285289873525,0.8260869565217391,0.45709674336621464
MR_seed42,MR,42,resnet50,384x384,789,207,0.28502415458937197,0.2316017316017316,0.20926646633525997,0.9082125603864735,0.3218393513717356
MUV_seed2026,MUV,2026,resnet50,384x384,789,207,0.34299516908212563,0.21177489177489175,0.18975422122630245,1.0096618357487923,0.11009386463731252
MUV_seed3407,MUV,3407,resnet50,384x384,789,207,0.27053140096618356,0.21982683982683984,0.19021142326046378,0.9371980676328503,0.29691480328332853
MUV_seed42,MUV,42,resnet50,384x384,789,207,0.34299516908212563,0.24079365079365078,0.2198648648648649,0.9420289855072463,0.20512820512820518
M_seed2026,M,2026,resnet50,384x384,789,207,0.3671497584541063,0.2556565656565657,0.25055140481953064,0.8840579710144928,0.3150613053488248
M_seed3407,M,3407,resnet50,384x384,789,207,0.3285024154589372,0.23399711399711398,0.18300552821100763,0.8454106280193237,0.27994762389725814
M_seed42,M,42,resnet50,384x384,789,207,0.3140096618357488,0.2237085137085137,0.20423853980108983,1.0338164251207729,0.18770176489919
