epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.3269961977186312,0.18954070685690655,0.1296665425937688,0.935361216730038,-0.007543464773404951,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 1.0, 'recall': 0.009900990099009901, 'f1': 0.0196078431372549, 'support': 101}, {'label': 2, 'precision': 0.15151515151515152, 'recall': 0.026455026455026454, 'f1': 0.04504504504504504, 'support': 189}, {'label': 3, 'precision': 0.3538011695906433, 'recall': 0.8581560283687943, 'f1': 0.5010351966873706, 'support': 282}, {'label': 4, 'precision': 0.18518518518518517, 'recall': 0.05319148936170213, 'f1': 0.08264462809917356, 'support': 188}]","[[0, 0, 4, 24, 1], [1, 1, 8, 87, 4], [3, 0, 5, 165, 16], [5, 0, 12, 242, 23], [8, 0, 4, 166, 10]]","{'accuracy': 0.32609576617532265, 'macro_f1': 0.12520042395173356, 'mae': 0.923188062973248, 'quadratic_weighted_kappa': -0.019579979005617476}",1.460542047733892
2,0.41064638783269963,0.27083092301124745,0.25341621692698635,0.7465145754119138,0.3007563724301796,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.3793103448275862, 'recall': 0.10891089108910891, 'f1': 0.16923076923076924, 'support': 101}, {'label': 2, 'precision': 0.35833333333333334, 'recall': 0.2275132275132275, 'f1': 0.2783171521035599, 'support': 189}, {'label': 3, 'precision': 0.41043478260869565, 'recall': 0.8368794326241135, 'f1': 0.5507584597432905, 'support': 282}, {'label': 4, 'precision': 0.5230769230769231, 'recall': 0.18085106382978725, 'f1': 0.26877470355731226, 'support': 188}]","[[0, 4, 9, 15, 1], [0, 11, 36, 53, 1], [0, 8, 43, 131, 7], [0, 3, 21, 236, 22], [0, 3, 11, 140, 34]]","{'accuracy': 0.4008636284539699, 'macro_f1': 0.2395557626880947, 'mae': 0.7664766726362676, 'quadratic_weighted_kappa': 0.25783068448856994}",1.2905982037763029
3,0.49049429657794674,0.3767999393657704,0.3791987795285534,0.6311787072243346,0.5106894285377239,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5064935064935064, 'recall': 0.38613861386138615, 'f1': 0.43820224719101125, 'support': 101}, {'label': 2, 'precision': 0.41304347826086957, 'recall': 0.4021164021164021, 'f1': 0.4075067024128686, 'support': 189}, {'label': 3, 'precision': 0.4925373134328358, 'recall': 0.7021276595744681, 'f1': 0.5789473684210527, 'support': 282}, {'label': 4, 'precision': 0.5873015873015873, 'recall': 0.39361702127659576, 'f1': 0.4713375796178344, 'support': 188}]","[[0, 11, 11, 3, 4], [0, 39, 38, 21, 3], [0, 17, 76, 89, 7], [0, 5, 41, 198, 38], [0, 5, 18, 91, 74]]","{'accuracy': 0.477838662068221, 'macro_f1': 0.3646871770657086, 'mae': 0.6582929619935405, 'quadratic_weighted_kappa': 0.472960196496775}",1.1924504232044002
4,0.5361216730038023,0.43069630164637535,0.42784940963525814,0.5741444866920152,0.5910897933471904,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5520833333333334, 'recall': 0.5247524752475248, 'f1': 0.5380710659898477, 'support': 101}, {'label': 2, 'precision': 0.4583333333333333, 'recall': 0.4656084656084656, 'f1': 0.46194225721784776, 'support': 189}, {'label': 3, 'precision': 0.5555555555555556, 'recall': 0.6737588652482269, 'f1': 0.6089743589743589, 'support': 282}, {'label': 4, 'precision': 0.5786163522012578, 'recall': 0.48936170212765956, 'f1': 0.5302593659942363, 'support': 188}]","[[0, 11, 13, 4, 1], [0, 53, 37, 8, 3], [0, 20, 88, 68, 13], [0, 6, 36, 190, 50], [0, 6, 18, 72, 92]]","{'accuracy': 0.5180833794547441, 'macro_f1': 0.40729107535739584, 'mae': 0.6085549074389606, 'quadratic_weighted_kappa': 0.5555081050741226}",1.0819501406943994
5,0.5792141951837769,0.4572751601401275,0.45600984706574765,0.5019011406844106,0.6535524083344499,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5578947368421052, 'recall': 0.5247524752475248, 'f1': 0.5408163265306123, 'support': 101}, {'label': 2, 'precision': 0.4642857142857143, 'recall': 0.48148148148148145, 'f1': 0.4727272727272727, 'support': 189}, {'label': 3, 'precision': 0.5994475138121547, 'recall': 0.7695035460992907, 'f1': 0.6739130434782609, 'support': 282}, {'label': 4, 'precision': 0.7058823529411765, 'recall': 0.5106382978723404, 'f1': 0.5925925925925926, 'support': 188}]","[[0, 15, 9, 5, 0], [0, 53, 41, 5, 2], [0, 23, 91, 67, 8], [0, 1, 34, 217, 30], [0, 3, 21, 68, 96]]","{'accuracy': 0.5770944659140619, 'macro_f1': 0.4500911217920532, 'mae': 0.5220551982656738, 'quadratic_weighted_kappa': 0.6229194266012275}",0.985437347106305
6,0.6653992395437263,0.5423636537919243,0.5332964395771442,0.40811153358681873,0.7215621691565698,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6153846153846154, 'recall': 0.6336633663366337, 'f1': 0.624390243902439, 'support': 101}, {'label': 2, 'precision': 0.605, 'recall': 0.6402116402116402, 'f1': 0.622107969151671, 'support': 189}, {'label': 3, 'precision': 0.6989966555183946, 'recall': 0.7411347517730497, 'f1': 0.7194492254733219, 'support': 282}, {'label': 4, 'precision': 0.7043010752688172, 'recall': 0.6968085106382979, 'f1': 0.7005347593582888, 'support': 188}]","[[0, 18, 6, 2, 3], [0, 64, 30, 6, 1], [0, 17, 121, 38, 13], [0, 2, 33, 209, 38], [0, 3, 10, 44, 131]]","{'accuracy': 0.6737539767129169, 'macro_f1': 0.5345221554142203, 'mae': 0.41073146543633265, 'quadratic_weighted_kappa': 0.7027620720262918}",0.8645636946982758
7,0.6806083650190115,0.5494783672896165,0.5449217745611398,0.4093789607097592,0.6930545252011213,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6736842105263158, 'recall': 0.6336633663366337, 'f1': 0.6530612244897959, 'support': 101}, {'label': 2, 'precision': 0.612565445026178, 'recall': 0.6190476190476191, 'f1': 0.6157894736842106, 'support': 189}, {'label': 3, 'precision': 0.6965944272445821, 'recall': 0.7978723404255319, 'f1': 0.743801652892562, 'support': 282}, {'label': 4, 'precision': 0.7277777777777777, 'recall': 0.6968085106382979, 'f1': 0.7119565217391305, 'support': 188}]","[[0, 11, 11, 4, 3], [0, 64, 28, 6, 3], [0, 15, 117, 44, 13], [0, 1, 26, 225, 30], [0, 4, 9, 44, 131]]","{'accuracy': 0.6767328861369111, 'macro_f1': 0.5391667986834372, 'mae': 0.4216426432522966, 'quadratic_weighted_kappa': 0.6753096953024916}",0.8066592368336232
8,0.7021546261089987,0.5799535323339831,0.5666459742901436,0.3688212927756654,0.7501863248467473,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6460176991150443, 'recall': 0.7227722772277227, 'f1': 0.6822429906542056, 'support': 101}, {'label': 2, 'precision': 0.6342592592592593, 'recall': 0.7248677248677249, 'f1': 0.6765432098765433, 'support': 189}, {'label': 3, 'precision': 0.7421602787456446, 'recall': 0.7553191489361702, 'f1': 0.7486818980667839, 'support': 282}, {'label': 4, 'precision': 0.7572254335260116, 'recall': 0.6968085106382979, 'f1': 0.7257617728531855, 'support': 188}]","[[0, 18, 8, 2, 1], [0, 73, 21, 5, 2], [0, 16, 137, 28, 8], [0, 4, 34, 213, 31], [0, 2, 16, 39, 131]]","{'accuracy': 0.7102917008045668, 'macro_f1': 0.5717372785974257, 'mae': 0.36360511129962486, 'quadratic_weighted_kappa': 0.7478878775877229}",0.7502396647618902
9,0.7604562737642585,0.6214856946687577,0.6074890223239287,0.29277566539923955,0.8053969831796955,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6521739130434783, 'recall': 0.7425742574257426, 'f1': 0.6944444444444444, 'support': 101}, {'label': 2, 'precision': 0.7106598984771574, 'recall': 0.7407407407407407, 'f1': 0.7253886010362695, 'support': 189}, {'label': 3, 'precision': 0.8101694915254237, 'recall': 0.8475177304964538, 'f1': 0.82842287694974, 'support': 282}, {'label': 4, 'precision': 0.8021978021978022, 'recall': 0.776595744680851, 'f1': 0.7891891891891892, 'support': 188}]","[[0, 19, 8, 1, 1], [0, 75, 22, 3, 1], [0, 18, 140, 25, 6], [0, 0, 15, 239, 28], [0, 3, 12, 27, 146]]","{'accuracy': 0.7758332769403419, 'macro_f1': 0.6138482497541398, 'mae': 0.27989533460781496, 'quadratic_weighted_kappa': 0.8095120468334027}",0.6288387302134578
10,0.7351077313054499,0.6171621485594739,0.6173387091808145,0.30925221799746516,0.8127289153141286,"[{'label': 0, 'precision': 0.6666666666666666, 'recall': 0.06896551724137931, 'f1': 0.125, 'support': 29}, {'label': 1, 'precision': 0.6697247706422018, 'recall': 0.7227722772277227, 'f1': 0.6952380952380952, 'support': 101}, {'label': 2, 'precision': 0.6521739130434783, 'recall': 0.7142857142857143, 'f1': 0.6818181818181818, 'support': 189}, {'label': 3, 'precision': 0.7604166666666666, 'recall': 0.776595744680851, 'f1': 0.7684210526315789, 'support': 282}, {'label': 4, 'precision': 0.8296703296703297, 'recall': 0.8031914893617021, 'f1': 0.8162162162162162, 'support': 188}]","[[2, 19, 8, 0, 0], [0, 73, 23, 4, 1], [0, 12, 135, 35, 7], [1, 4, 35, 219, 23], [0, 1, 6, 30, 151]]","{'accuracy': 0.7583012195387214, 'macro_f1': 0.6221631714705167, 'mae': 0.28059450700038424, 'quadratic_weighted_kappa': 0.8326332378524839}",0.6194724731421138
