epoch=1 train_f1=0.1217
epoch=2 train_f1=0.2909
epoch=3 train_f1=0.3465
epoch=4 train_f1=0.4460
epoch=5 train_f1=0.4645
epoch=6 train_f1=0.4990
epoch=7 train_f1=0.5420
epoch=8 train_f1=0.5681
epoch=9 train_f1=0.6141
epoch=10 train_f1=0.6582
epoch=11 train_f1=0.6746
epoch=12 train_f1=0.7408
epoch=13 train_f1=0.7677
epoch=14 train_f1=0.7974
epoch=15 train_f1=0.8435
epoch=16 train_f1=0.8817
epoch=17 train_f1=0.8694
epoch=18 train_f1=0.9076
epoch=19 train_f1=0.8944
epoch=20 train_f1=0.9080
epoch=21 train_f1=0.9327
epoch=22 train_f1=0.9385
epoch=23 train_f1=0.9271
epoch=24 train_f1=0.9572
epoch=25 train_f1=0.9529
epoch=26 train_f1=0.9338
epoch=27 train_f1=0.9583
epoch=28 train_f1=0.9469
epoch=29 train_f1=0.9558
epoch=30 train_f1=0.9647
epoch=31 train_f1=0.9554
epoch=32 train_f1=0.9774
epoch=33 train_f1=0.9442
epoch=34 train_f1=0.9660
epoch=35 train_f1=0.9740
epoch=36 train_f1=0.9748
epoch=37 train_f1=0.9771
epoch=38 train_f1=0.9559
epoch=39 train_f1=0.9732
epoch=40 train_f1=0.9612
epoch=41 train_f1=0.9802
epoch=42 train_f1=0.9784
epoch=43 train_f1=0.9671
epoch=44 train_f1=0.9681
epoch=45 train_f1=0.9874
epoch=46 train_f1=0.9841
epoch=47 train_f1=0.9761
epoch=48 train_f1=0.9769
epoch=49 train_f1=0.9759
epoch=50 train_f1=0.9715
