epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.3257287705956908,0.19602048857368007,0.15347589171074058,0.926489226869455,0.04092670350350114,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 101}, {'label': 2, 'precision': 0.18181818181818182, 'recall': 0.07407407407407407, 'f1': 0.10526315789473684, 'support': 189}, {'label': 3, 'precision': 0.36333333333333334, 'recall': 0.7730496453900709, 'f1': 0.4943310657596372, 'support': 282}, {'label': 4, 'precision': 0.22727272727272727, 'recall': 0.13297872340425532, 'f1': 0.16778523489932887, 'support': 188}]","[[0, 0, 3, 25, 1], [0, 0, 20, 66, 15], [2, 0, 14, 146, 27], [0, 0, 22, 218, 42], [0, 0, 18, 145, 25]]","{'accuracy': 0.322842061759993, 'macro_f1': 0.15325925425250092, 'mae': 0.9136954206474076, 'quadratic_weighted_kappa': 0.03371506843375782}",1.4637446531929141
2,0.385297845373891,0.24740409704597616,0.21675450154701995,0.7832699619771863,0.2150904220272566,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5454545454545454, 'recall': 0.0594059405940594, 'f1': 0.10714285714285714, 'support': 101}, {'label': 2, 'precision': 0.28888888888888886, 'recall': 0.2751322751322751, 'f1': 0.28184281842818426, 'support': 189}, {'label': 3, 'precision': 0.40316901408450706, 'recall': 0.8120567375886525, 'f1': 0.5388235294117647, 'support': 282}, {'label': 4, 'precision': 0.5666666666666667, 'recall': 0.09042553191489362, 'f1': 0.1559633027522936, 'support': 188}]","[[0, 1, 13, 15, 0], [0, 6, 42, 51, 2], [0, 2, 52, 130, 5], [0, 2, 45, 229, 6], [0, 0, 28, 143, 17]]","{'accuracy': 0.3760166447942421, 'macro_f1': 0.20271873906482077, 'mae': 0.8023766926960604, 'quadratic_weighted_kappa': 0.16707349570342944}",1.3320272272530618
3,0.5069708491761724,0.3745214187072202,0.3761888407486419,0.6210392902408112,0.48121238981453063,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5757575757575758, 'recall': 0.37623762376237624, 'f1': 0.4550898203592814, 'support': 101}, {'label': 2, 'precision': 0.515625, 'recall': 0.3492063492063492, 'f1': 0.416403785488959, 'support': 189}, {'label': 3, 'precision': 0.47534516765285995, 'recall': 0.8546099290780141, 'f1': 0.6108998732572877, 'support': 282}, {'label': 4, 'precision': 0.625, 'recall': 0.2925531914893617, 'f1': 0.39855072463768115, 'support': 188}]","[[0, 12, 5, 12, 0], [0, 38, 27, 35, 1], [0, 9, 66, 103, 11], [0, 4, 16, 241, 21], [0, 3, 14, 116, 55]]","{'accuracy': 0.49275898884143826, 'macro_f1': 0.3563183491196164, 'mae': 0.6465258594090498, 'quadratic_weighted_kappa': 0.4311873041415084}",1.1956841258948294
4,0.5564005069708492,0.4328294784898956,0.43602081148665006,0.5449936628643853,0.597627120317042,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6056338028169014, 'recall': 0.42574257425742573, 'f1': 0.5, 'support': 101}, {'label': 2, 'precision': 0.47783251231527096, 'recall': 0.5132275132275133, 'f1': 0.49489795918367346, 'support': 189}, {'label': 3, 'precision': 0.569060773480663, 'recall': 0.7304964539007093, 'f1': 0.639751552795031, 'support': 282}, {'label': 4, 'precision': 0.6078431372549019, 'recall': 0.4946808510638298, 'f1': 0.5454545454545454, 'support': 188}]","[[0, 12, 11, 2, 4], [0, 43, 45, 12, 1], [0, 11, 97, 65, 16], [0, 5, 32, 206, 39], [0, 0, 18, 77, 93]]","{'accuracy': 0.5543956322822486, 'macro_f1': 0.426463862608201, 'mae': 0.5555224146028845, 'quadratic_weighted_kappa': 0.5685954194361365}",1.069721797119982
5,0.6134347275031685,0.5036425121742164,0.496205015820624,0.46134347275031684,0.6958206616901668,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5855855855855856, 'recall': 0.6435643564356436, 'f1': 0.6132075471698113, 'support': 101}, {'label': 2, 'precision': 0.5487179487179488, 'recall': 0.5661375661375662, 'f1': 0.5572916666666666, 'support': 189}, {'label': 3, 'precision': 0.6111111111111112, 'recall': 0.7021276595744681, 'f1': 0.6534653465346535, 'support': 282}, {'label': 4, 'precision': 0.7169811320754716, 'recall': 0.6063829787234043, 'f1': 0.6570605187319885, 'support': 188}]","[[0, 16, 9, 3, 1], [0, 65, 25, 9, 2], [0, 22, 107, 50, 10], [0, 6, 46, 198, 32], [0, 2, 8, 64, 114]]","{'accuracy': 0.620648535514292, 'macro_f1': 0.49325990935276076, 'mae': 0.4672921052228772, 'quadratic_weighted_kappa': 0.6832133013455648}",0.9365848209921398
6,0.6552598225602028,0.5323467453128291,0.5288773615068131,0.4220532319391635,0.7147592287637123,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6813186813186813, 'recall': 0.6138613861386139, 'f1': 0.6458333333333334, 'support': 101}, {'label': 2, 'precision': 0.5779816513761468, 'recall': 0.6666666666666666, 'f1': 0.6191646191646192, 'support': 189}, {'label': 3, 'precision': 0.6688102893890675, 'recall': 0.7375886524822695, 'f1': 0.7015177065767285, 'support': 282}, {'label': 4, 'precision': 0.7159763313609467, 'recall': 0.6436170212765957, 'f1': 0.6778711484593838, 'support': 188}]","[[0, 11, 14, 4, 0], [0, 62, 31, 8, 0], [0, 13, 126, 36, 14], [0, 5, 35, 208, 34], [0, 0, 12, 55, 121]]","{'accuracy': 0.6669382492715235, 'macro_f1': 0.5341498244941453, 'mae': 0.4158260082865473, 'quadratic_weighted_kappa': 0.7140614264471734}",0.8791883154966985
7,0.7275031685678074,0.5974172493237166,0.5893100955883108,0.3358681875792142,0.7712429400573286,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.7281553398058253, 'recall': 0.7425742574257426, 'f1': 0.7352941176470589, 'support': 101}, {'label': 2, 'precision': 0.6470588235294118, 'recall': 0.6984126984126984, 'f1': 0.6717557251908397, 'support': 189}, {'label': 3, 'precision': 0.7411003236245954, 'recall': 0.8120567375886525, 'f1': 0.7749576988155669, 'support': 282}, {'label': 4, 'precision': 0.7976878612716763, 'recall': 0.7340425531914894, 'f1': 0.7645429362880887, 'support': 188}]","[[0, 12, 15, 1, 1], [0, 75, 20, 4, 2], [0, 13, 132, 39, 5], [0, 2, 24, 229, 27], [0, 1, 13, 36, 138]]","{'accuracy': 0.7358333554877229, 'macro_f1': 0.5928855062318312, 'mae': 0.3331476291983575, 'quadratic_weighted_kappa': 0.7666411554843704}",0.7232964717994322
8,0.7389100126742713,0.5992611317869375,0.5905206673935968,0.3269961977186312,0.7702275783625214,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.67, 'recall': 0.6633663366336634, 'f1': 0.6666666666666666, 'support': 101}, {'label': 2, 'precision': 0.6511627906976745, 'recall': 0.7407407407407407, 'f1': 0.693069306930693, 'support': 189}, {'label': 3, 'precision': 0.7796610169491526, 'recall': 0.8156028368794326, 'f1': 0.7972270363951474, 'support': 282}, {'label': 4, 'precision': 0.8156424581005587, 'recall': 0.776595744680851, 'f1': 0.7956403269754768, 'support': 188}]","[[0, 16, 9, 2, 2], [0, 67, 24, 8, 2], [0, 16, 140, 25, 8], [0, 1, 30, 230, 21], [0, 0, 12, 30, 146]]","{'accuracy': 0.758634028820041, 'macro_f1': 0.6000988612923971, 'mae': 0.3097767320905929, 'quadratic_weighted_kappa': 0.7727863197926823}",0.6598904830874599
9,0.7782002534854245,0.6475998976413031,0.639874499331221,0.27249683143219267,0.8209061525763928,"[{'label': 0, 'precision': 1.0, 'recall': 0.034482758620689655, 'f1': 0.06666666666666667, 'support': 29}, {'label': 1, 'precision': 0.6991150442477876, 'recall': 0.7821782178217822, 'f1': 0.7383177570093458, 'support': 101}, {'label': 2, 'precision': 0.7268292682926829, 'recall': 0.7883597883597884, 'f1': 0.7563451776649747, 'support': 189}, {'label': 3, 'precision': 0.8096885813148789, 'recall': 0.8297872340425532, 'f1': 0.819614711033275, 'support': 282}, {'label': 4, 'precision': 0.8342541436464088, 'recall': 0.8031914893617021, 'f1': 0.8184281842818428, 'support': 188}]","[[1, 17, 10, 0, 1], [0, 79, 16, 5, 1], [0, 12, 149, 23, 5], [0, 4, 21, 234, 23], [0, 1, 9, 27, 151]]","{'accuracy': 0.7809406290557639, 'macro_f1': 0.631927476031479, 'mae': 0.27009558209248613, 'quadratic_weighted_kappa': 0.821880005215103}",0.6129202800407458
10,0.8174904942965779,0.7129170779636047,0.7309944023257372,0.21799746514575413,0.8595079318513199,"[{'label': 0, 'precision': 0.875, 'recall': 0.2413793103448276, 'f1': 0.3783783783783784, 'support': 29}, {'label': 1, 'precision': 0.7547169811320755, 'recall': 0.7920792079207921, 'f1': 0.7729468599033816, 'support': 101}, {'label': 2, 'precision': 0.77, 'recall': 0.8148148148148148, 'f1': 0.7917737789203085, 'support': 189}, {'label': 3, 'precision': 0.8384879725085911, 'recall': 0.8652482269503546, 'f1': 0.8516579406631762, 'support': 282}, {'label': 4, 'precision': 0.8695652173913043, 'recall': 0.851063829787234, 'f1': 0.8602150537634409, 'support': 188}]","[[7, 13, 6, 1, 2], [0, 80, 18, 3, 0], [0, 12, 154, 19, 4], [1, 1, 18, 244, 18], [0, 0, 4, 24, 160]]","{'accuracy': 0.8345709379524027, 'macro_f1': 0.744784198432222, 'mae': 0.20754990376938812, 'quadratic_weighted_kappa': 0.8541043860656515}",0.49612251377377675
