epoch=1 train_f1=0.1535
epoch=2 train_f1=0.2168
epoch=3 train_f1=0.3762
epoch=4 train_f1=0.4360
epoch=5 train_f1=0.4962
epoch=6 train_f1=0.5289
epoch=7 train_f1=0.5893
epoch=8 train_f1=0.5905
epoch=9 train_f1=0.6399
epoch=10 train_f1=0.7310
epoch=11 train_f1=0.7576
epoch=12 train_f1=0.8107
epoch=13 train_f1=0.8463
epoch=14 train_f1=0.8660
epoch=15 train_f1=0.8665
epoch=16 train_f1=0.8809
epoch=17 train_f1=0.8816
epoch=18 train_f1=0.9031
epoch=19 train_f1=0.9206
epoch=20 train_f1=0.9280
epoch=21 train_f1=0.9657
epoch=22 train_f1=0.9136
epoch=23 train_f1=0.9535
epoch=24 train_f1=0.9347
epoch=25 train_f1=0.9581
epoch=26 train_f1=0.9406
epoch=27 train_f1=0.9442
epoch=28 train_f1=0.9332
epoch=29 train_f1=0.9570
epoch=30 train_f1=0.9607
epoch=31 train_f1=0.9595
epoch=32 train_f1=0.9677
epoch=33 train_f1=0.9439
epoch=34 train_f1=0.9783
epoch=35 train_f1=0.9657
epoch=36 train_f1=0.9690
epoch=37 train_f1=0.9624
epoch=38 train_f1=0.9649
epoch=39 train_f1=0.9686
epoch=40 train_f1=0.9751
epoch=41 train_f1=0.9719
epoch=42 train_f1=0.9739
epoch=43 train_f1=0.9761
epoch=44 train_f1=0.9603
epoch=45 train_f1=0.9752
epoch=46 train_f1=0.9602
epoch=47 train_f1=0.9752
epoch=48 train_f1=0.9852
epoch=49 train_f1=0.9747
epoch=50 train_f1=0.9807
