epoch=1 train_f1=0.1549
epoch=2 train_f1=0.3180
epoch=3 train_f1=0.3930
epoch=4 train_f1=0.4308
epoch=5 train_f1=0.4855
epoch=6 train_f1=0.5113
epoch=7 train_f1=0.5711
epoch=8 train_f1=0.6277
epoch=9 train_f1=0.6700
epoch=10 train_f1=0.7301
epoch=11 train_f1=0.7421
epoch=12 train_f1=0.8178
epoch=13 train_f1=0.8184
epoch=14 train_f1=0.8175
epoch=15 train_f1=0.8850
epoch=16 train_f1=0.8901
epoch=17 train_f1=0.8865
epoch=18 train_f1=0.9152
epoch=19 train_f1=0.9337
epoch=20 train_f1=0.9228
epoch=21 train_f1=0.9364
epoch=22 train_f1=0.9422
epoch=23 train_f1=0.9481
epoch=24 train_f1=0.9370
epoch=25 train_f1=0.9573
epoch=26 train_f1=0.9367
epoch=27 train_f1=0.9163
epoch=28 train_f1=0.9655
epoch=29 train_f1=0.9490
epoch=30 train_f1=0.9719
epoch=31 train_f1=0.9586
epoch=32 train_f1=0.9474
epoch=33 train_f1=0.9698
epoch=34 train_f1=0.9609
epoch=35 train_f1=0.9764
epoch=36 train_f1=0.9774
epoch=37 train_f1=0.9573
epoch=38 train_f1=0.9722
epoch=39 train_f1=0.9648
epoch=40 train_f1=0.9569
epoch=41 train_f1=0.9780
epoch=42 train_f1=0.9514
epoch=43 train_f1=0.9744
epoch=44 train_f1=0.9770
epoch=45 train_f1=0.9785
epoch=46 train_f1=0.9744
epoch=47 train_f1=0.9660
epoch=48 train_f1=0.9765
epoch=49 train_f1=0.9871
epoch=50 train_f1=0.9735
