epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.34980988593155893,0.2190172462028371,0.18814624584659678,0.8884664131812421,0.0961008387164658,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 1.0, 'recall': 0.019801980198019802, 'f1': 0.038834951456310676, 'support': 101}, {'label': 2, 'precision': 0.26356589147286824, 'recall': 0.17989417989417988, 'f1': 0.2138364779874214, 'support': 189}, {'label': 3, 'precision': 0.39090909090909093, 'recall': 0.7624113475177305, 'f1': 0.5168269230769231, 'support': 282}, {'label': 4, 'precision': 0.2403846153846154, 'recall': 0.13297872340425532, 'f1': 0.17123287671232876, 'support': 188}]","[[0, 0, 9, 18, 2], [0, 2, 34, 52, 13], [1, 0, 34, 128, 26], [1, 0, 28, 215, 38], [2, 0, 24, 137, 25]]","{'accuracy': 0.3467145745269636, 'macro_f1': 0.18965848802907315, 'mae': 0.880153251982415, 'quadratic_weighted_kappa': 0.09514775509442597}",1.4330178997815788
2,0.4550063371356147,0.33828020593346064,0.3409438675081985,0.6653992395437263,0.4722160951371751,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.543859649122807, 'recall': 0.3069306930693069, 'f1': 0.3924050632911392, 'support': 101}, {'label': 2, 'precision': 0.3882978723404255, 'recall': 0.3862433862433862, 'f1': 0.38726790450928383, 'support': 189}, {'label': 3, 'precision': 0.45393258426966293, 'recall': 0.7163120567375887, 'f1': 0.5557083906464925, 'support': 282}, {'label': 4, 'precision': 0.5353535353535354, 'recall': 0.28191489361702127, 'f1': 0.3693379790940767, 'support': 188}]","[[0, 10, 10, 9, 0], [0, 31, 42, 26, 2], [0, 11, 73, 99, 6], [0, 2, 40, 202, 38], [0, 3, 23, 109, 53]]","{'accuracy': 0.4456646175870405, 'macro_f1': 0.33651285990804747, 'mae': 0.6818462501480316, 'quadratic_weighted_kappa': 0.45322208781978357}",1.2356964226609097
3,0.5221799746514575,0.41094509146963326,0.4072385543786969,0.5931558935361216,0.5571162362647225,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5145631067961165, 'recall': 0.5247524752475248, 'f1': 0.5196078431372549, 'support': 101}, {'label': 2, 'precision': 0.46621621621621623, 'recall': 0.36507936507936506, 'f1': 0.4094955489614243, 'support': 189}, {'label': 3, 'precision': 0.5120192307692307, 'recall': 0.7553191489361702, 'f1': 0.6103151862464183, 'support': 282}, {'label': 4, 'precision': 0.6311475409836066, 'recall': 0.4095744680851064, 'f1': 0.4967741935483871, 'support': 188}]","[[0, 13, 7, 8, 1], [0, 53, 27, 19, 2], [0, 25, 69, 85, 10], [0, 6, 31, 213, 32], [0, 6, 14, 91, 77]]","{'accuracy': 0.5097153241509431, 'macro_f1': 0.3931485174289466, 'mae': 0.6209597140553086, 'quadratic_weighted_kappa': 0.5137981388121586}",1.1275364788312876
4,0.5652724968314322,0.44734602639595267,0.4460050960566228,0.5259822560202788,0.6299475671956505,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5274725274725275, 'recall': 0.4752475247524752, 'f1': 0.5, 'support': 101}, {'label': 2, 'precision': 0.48484848484848486, 'recall': 0.5079365079365079, 'f1': 0.49612403100775193, 'support': 189}, {'label': 3, 'precision': 0.5801749271137027, 'recall': 0.7056737588652482, 'f1': 0.6368, 'support': 282}, {'label': 4, 'precision': 0.6560509554140127, 'recall': 0.5478723404255319, 'f1': 0.5971014492753624, 'support': 188}]","[[0, 16, 8, 3, 2], [0, 48, 42, 9, 2], [0, 17, 96, 66, 10], [0, 5, 38, 199, 40], [0, 5, 14, 66, 103]]","{'accuracy': 0.5525702112884268, 'macro_f1': 0.4316373636046391, 'mae': 0.557583225985246, 'quadratic_weighted_kappa': 0.5864057379559009}",1.0070021599720036
5,0.6375158428390367,0.5176962782397794,0.5075497270255684,0.44740177439797213,0.6874401927363067,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5258620689655172, 'recall': 0.6039603960396039, 'f1': 0.5622119815668203, 'support': 101}, {'label': 2, 'precision': 0.5532994923857868, 'recall': 0.5767195767195767, 'f1': 0.5647668393782384, 'support': 189}, {'label': 3, 'precision': 0.6743421052631579, 'recall': 0.7269503546099291, 'f1': 0.6996587030716723, 'support': 282}, {'label': 4, 'precision': 0.7441860465116279, 'recall': 0.6808510638297872, 'f1': 0.7111111111111111, 'support': 188}]","[[0, 17, 7, 3, 2], [0, 61, 32, 5, 3], [0, 25, 109, 46, 9], [0, 5, 42, 205, 30], [0, 8, 7, 45, 128]]","{'accuracy': 0.6359824645992995, 'macro_f1': 0.49515315518193564, 'mae': 0.4649590868846819, 'quadratic_weighted_kappa': 0.6577600722247449}",0.8941875936791622
6,0.6539923954372624,0.5321880263000971,0.5226830747677317,0.42458808618504434,0.704241352903344,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5779816513761468, 'recall': 0.6237623762376238, 'f1': 0.6, 'support': 101}, {'label': 2, 'precision': 0.5844748858447488, 'recall': 0.6772486772486772, 'f1': 0.6274509803921569, 'support': 189}, {'label': 3, 'precision': 0.6910299003322259, 'recall': 0.7375886524822695, 'f1': 0.7135506003430532, 'support': 282}, {'label': 4, 'precision': 0.73125, 'recall': 0.6223404255319149, 'f1': 0.6724137931034483, 'support': 188}]","[[0, 19, 8, 1, 1], [0, 63, 31, 5, 2], [0, 16, 128, 37, 8], [0, 2, 40, 208, 32], [0, 9, 12, 50, 117]]","{'accuracy': 0.6522534941500328, 'macro_f1': 0.5180579466546807, 'mae': 0.4475951611590854, 'quadratic_weighted_kappa': 0.6693014042420047}",0.8196972703752409
7,0.7325728770595691,0.597292246955192,0.584844892056757,0.31685678073510776,0.7893257289264975,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6120689655172413, 'recall': 0.7029702970297029, 'f1': 0.6543778801843319, 'support': 101}, {'label': 2, 'precision': 0.6717171717171717, 'recall': 0.7037037037037037, 'f1': 0.6873385012919897, 'support': 189}, {'label': 3, 'precision': 0.7674418604651163, 'recall': 0.8191489361702128, 'f1': 0.7924528301886793, 'support': 282}, {'label': 4, 'precision': 0.8218390804597702, 'recall': 0.7606382978723404, 'f1': 0.7900552486187845, 'support': 188}]","[[0, 18, 8, 1, 2], [0, 71, 28, 1, 1], [0, 20, 133, 34, 2], [0, 1, 24, 231, 26], [0, 6, 5, 34, 143]]","{'accuracy': 0.7324105023084876, 'macro_f1': 0.577884989711914, 'mae': 0.32716688055722726, 'quadratic_weighted_kappa': 0.7695358590444433}",0.6884000656420438
8,0.7477820025348543,0.6203849370368333,0.612272787070122,0.3269961977186312,0.7589041739876479,"[{'label': 0, 'precision': 1.0, 'recall': 0.034482758620689655, 'f1': 0.06666666666666667, 'support': 29}, {'label': 1, 'precision': 0.6548672566371682, 'recall': 0.7326732673267327, 'f1': 0.6915887850467289, 'support': 101}, {'label': 2, 'precision': 0.696969696969697, 'recall': 0.7301587301587301, 'f1': 0.7131782945736435, 'support': 189}, {'label': 3, 'precision': 0.8014184397163121, 'recall': 0.8014184397163121, 'f1': 0.8014184397163121, 'support': 282}, {'label': 4, 'precision': 0.7743589743589744, 'recall': 0.8031914893617021, 'f1': 0.7885117493472585, 'support': 188}]","[[1, 18, 5, 2, 3], [0, 74, 19, 4, 4], [0, 15, 138, 27, 9], [0, 1, 27, 226, 28], [0, 5, 9, 23, 151]]","{'accuracy': 0.7538022470995875, 'macro_f1': 0.6158136932844227, 'mae': 0.33272673607838305, 'quadratic_weighted_kappa': 0.7429096910746644}",0.6233887108862022
9,0.779467680608365,0.6417671757043992,0.6243628586864631,0.2737642585551331,0.8113581046263144,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6220472440944882, 'recall': 0.7821782178217822, 'f1': 0.6929824561403509, 'support': 101}, {'label': 2, 'precision': 0.7095238095238096, 'recall': 0.7883597883597884, 'f1': 0.7468671679197995, 'support': 189}, {'label': 3, 'precision': 0.8286713286713286, 'recall': 0.8404255319148937, 'f1': 0.8345070422535211, 'support': 282}, {'label': 4, 'precision': 0.9036144578313253, 'recall': 0.7978723404255319, 'f1': 0.847457627118644, 'support': 188}]","[[0, 21, 7, 0, 1], [0, 79, 18, 4, 0], [0, 16, 149, 23, 1], [0, 3, 28, 237, 14], [0, 8, 8, 22, 150]]","{'accuracy': 0.7879117594693903, 'macro_f1': 0.6232987388255097, 'mae': 0.27113543864482803, 'quadratic_weighted_kappa': 0.8045670186262347}",0.5756600177333382
10,0.8162230671736375,0.6870643312802789,0.6786289032716079,0.23954372623574144,0.8243251079805753,"[{'label': 0, 'precision': 0.4, 'recall': 0.06896551724137931, 'f1': 0.11764705882352941, 'support': 29}, {'label': 1, 'precision': 0.6614173228346457, 'recall': 0.8316831683168316, 'f1': 0.7368421052631579, 'support': 101}, {'label': 2, 'precision': 0.8105263157894737, 'recall': 0.8148148148148148, 'f1': 0.8126649076517151, 'support': 189}, {'label': 3, 'precision': 0.8612099644128114, 'recall': 0.8581560283687943, 'f1': 0.8596802841918295, 'support': 282}, {'label': 4, 'precision': 0.8709677419354839, 'recall': 0.8617021276595744, 'f1': 0.8663101604278075, 'support': 188}]","[[2, 21, 4, 1, 1], [0, 84, 12, 4, 1], [1, 12, 154, 19, 3], [2, 0, 19, 242, 19], [0, 10, 1, 15, 162]]","{'accuracy': 0.8188624184214957, 'macro_f1': 0.6875599314609149, 'mae': 0.24694587642362092, 'quadratic_weighted_kappa': 0.8086022055568192}",0.5121971720827245
