epoch=1 train_f1=0.1533
epoch=2 train_f1=0.3179
epoch=3 train_f1=0.3641
epoch=4 train_f1=0.4443
epoch=5 train_f1=0.4571
epoch=6 train_f1=0.5341
epoch=7 train_f1=0.5461
epoch=8 train_f1=0.5687
epoch=9 train_f1=0.5920
epoch=10 train_f1=0.6448
epoch=11 train_f1=0.6904
epoch=12 train_f1=0.7679
epoch=13 train_f1=0.7583
epoch=14 train_f1=0.8001
epoch=15 train_f1=0.8769
epoch=16 train_f1=0.8929
epoch=17 train_f1=0.9028
epoch=18 train_f1=0.9150
epoch=19 train_f1=0.9036
epoch=20 train_f1=0.9046
epoch=21 train_f1=0.9094
epoch=22 train_f1=0.9261
epoch=23 train_f1=0.9201
epoch=24 train_f1=0.9293
epoch=25 train_f1=0.9313
epoch=26 train_f1=0.9451
epoch=27 train_f1=0.9327
epoch=28 train_f1=0.9582
epoch=29 train_f1=0.9666
epoch=30 train_f1=0.9490
epoch=31 train_f1=0.9673
epoch=32 train_f1=0.9667
epoch=33 train_f1=0.9663
epoch=34 train_f1=0.9643
epoch=35 train_f1=0.9705
epoch=36 train_f1=0.9756
epoch=37 train_f1=0.9669
epoch=38 train_f1=0.9438
epoch=39 train_f1=0.9660
epoch=40 train_f1=0.9576
epoch=41 train_f1=0.9784
epoch=42 train_f1=0.9750
epoch=43 train_f1=0.9639
epoch=44 train_f1=0.9723
epoch=45 train_f1=0.9700
epoch=46 train_f1=0.9842
epoch=47 train_f1=0.9636
epoch=48 train_f1=0.9763
epoch=49 train_f1=0.9810
epoch=50 train_f1=0.9674
