epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.3282636248415716,0.1960092311156141,0.151454065665158,0.9391634980988594,-0.01041416868246725,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 101}, {'label': 2, 'precision': 0.22857142857142856, 'recall': 0.08465608465608465, 'f1': 0.12355212355212356, 'support': 189}, {'label': 3, 'precision': 0.3642276422764228, 'recall': 0.7943262411347518, 'f1': 0.49944258639910816, 'support': 282}, {'label': 4, 'precision': 0.2, 'recall': 0.10106382978723404, 'f1': 0.13427561837455831, 'support': 188}]","[[0, 0, 2, 26, 1], [0, 0, 19, 63, 19], [0, 1, 16, 152, 20], [3, 0, 19, 224, 36], [3, 2, 14, 150, 19]]","{'accuracy': 0.31997611958214406, 'macro_f1': 0.14777604072703407, 'mae': 0.9308707017463298, 'quadratic_weighted_kappa': -0.015778589420286426}",1.4504898902883396
2,0.4372623574144487,0.3115560036246786,0.31081756593285714,0.7072243346007605,0.3874532272061362,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6060606060606061, 'recall': 0.19801980198019803, 'f1': 0.29850746268656714, 'support': 101}, {'label': 2, 'precision': 0.3612565445026178, 'recall': 0.36507936507936506, 'f1': 0.3631578947368421, 'support': 189}, {'label': 3, 'precision': 0.45, 'recall': 0.7340425531914894, 'f1': 0.5579514824797843, 'support': 282}, {'label': 4, 'precision': 0.4666666666666667, 'recall': 0.26063829787234044, 'f1': 0.33447098976109213, 'support': 188}]","[[0, 4, 14, 9, 2], [0, 20, 50, 26, 5], [0, 5, 69, 103, 12], [0, 1, 37, 207, 37], [0, 3, 21, 115, 49]]","{'accuracy': 0.4364253308455968, 'macro_f1': 0.30060998171968617, 'mae': 0.7136773648199571, 'quadratic_weighted_kappa': 0.3632587108669034}",1.2802666300301013
3,0.5348542458808618,0.41750139046326107,0.4170306666218645,0.5792141951837769,0.5523273385175492,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5104166666666666, 'recall': 0.48514851485148514, 'f1': 0.49746192893401014, 'support': 101}, {'label': 2, 'precision': 0.5194805194805194, 'recall': 0.42328042328042326, 'f1': 0.46647230320699706, 'support': 189}, {'label': 3, 'precision': 0.5144230769230769, 'recall': 0.7588652482269503, 'f1': 0.6131805157593123, 'support': 282}, {'label': 4, 'precision': 0.6422764227642277, 'recall': 0.42021276595744683, 'f1': 0.5080385852090032, 'support': 188}]","[[0, 14, 5, 8, 2], [0, 49, 30, 19, 3], [0, 19, 80, 84, 6], [0, 5, 30, 214, 33], [0, 9, 9, 91, 79]]","{'accuracy': 0.5212400073633134, 'macro_f1': 0.4035683050342499, 'mae': 0.6122047726194303, 'quadratic_weighted_kappa': 0.5024402093272038}",1.1201281722054282
4,0.5627376425855514,0.45303109844925726,0.4493786640381255,0.5424588086185045,0.6107614316820904,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5353535353535354, 'recall': 0.5247524752475248, 'f1': 0.53, 'support': 101}, {'label': 2, 'precision': 0.489010989010989, 'recall': 0.4708994708994709, 'f1': 0.4797843665768194, 'support': 189}, {'label': 3, 'precision': 0.5654761904761905, 'recall': 0.6737588652482269, 'f1': 0.6148867313915858, 'support': 282}, {'label': 4, 'precision': 0.6511627906976745, 'recall': 0.5957446808510638, 'f1': 0.6222222222222222, 'support': 188}]","[[0, 15, 5, 7, 2], [0, 53, 34, 12, 2], [0, 19, 89, 71, 10], [0, 5, 41, 190, 46], [0, 7, 13, 56, 112]]","{'accuracy': 0.5491537123909098, 'macro_f1': 0.43274314823952087, 'mae': 0.5718619112873794, 'quadratic_weighted_kappa': 0.5727726245651479}",1.0266033214610188
5,0.6286438529784537,0.5132282377173888,0.5041298090899534,0.458808618504436,0.6716110480721469,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5555555555555556, 'recall': 0.6435643564356436, 'f1': 0.5963302752293578, 'support': 101}, {'label': 2, 'precision': 0.580110497237569, 'recall': 0.5555555555555556, 'f1': 0.5675675675675675, 'support': 189}, {'label': 3, 'precision': 0.6310975609756098, 'recall': 0.7340425531914894, 'f1': 0.6786885245901639, 'support': 282}, {'label': 4, 'precision': 0.7300613496932515, 'recall': 0.6329787234042553, 'f1': 0.6780626780626781, 'support': 188}]","[[0, 16, 4, 7, 2], [0, 65, 28, 6, 2], [0, 23, 105, 53, 8], [0, 4, 39, 207, 32], [0, 9, 5, 55, 119]]","{'accuracy': 0.6437991474990917, 'macro_f1': 0.5104390951838148, 'mae': 0.4654677013169375, 'quadratic_weighted_kappa': 0.6415341313239123}",0.9082892663276392
6,0.6818757921419518,0.5474305687914283,0.5388480129259058,0.41698352344740175,0.67794907218437,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5631067961165048, 'recall': 0.5742574257425742, 'f1': 0.5686274509803921, 'support': 101}, {'label': 2, 'precision': 0.6175115207373272, 'recall': 0.708994708994709, 'f1': 0.6600985221674877, 'support': 189}, {'label': 3, 'precision': 0.7290969899665551, 'recall': 0.7730496453900709, 'f1': 0.7504302925989673, 'support': 282}, {'label': 4, 'precision': 0.7529411764705882, 'recall': 0.6808510638297872, 'f1': 0.7150837988826816, 'support': 188}]","[[0, 18, 5, 3, 3], [0, 58, 33, 7, 3], [0, 13, 134, 33, 9], [0, 5, 32, 218, 27], [0, 9, 13, 38, 128]]","{'accuracy': 0.6809863577297472, 'macro_f1': 0.5347252884856636, 'mae': 0.4336232335902437, 'quadratic_weighted_kappa': 0.6513501433675499}",0.808790233651948
7,0.752851711026616,0.6139735706093405,0.5992528360704026,0.32192648922686945,0.7519093468208351,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6083333333333333, 'recall': 0.7227722772277227, 'f1': 0.6606334841628959, 'support': 101}, {'label': 2, 'precision': 0.698019801980198, 'recall': 0.746031746031746, 'f1': 0.7212276214833759, 'support': 189}, {'label': 3, 'precision': 0.8088737201365188, 'recall': 0.8404255319148937, 'f1': 0.8243478260869566, 'support': 282}, {'label': 4, 'precision': 0.8218390804597702, 'recall': 0.7606382978723404, 'f1': 0.7900552486187845, 'support': 188}]","[[0, 20, 3, 2, 4], [0, 73, 25, 2, 1], [0, 16, 141, 26, 6], [0, 1, 24, 237, 20], [0, 10, 9, 26, 143]]","{'accuracy': 0.7647348341119595, 'macro_f1': 0.6015721521075263, 'mae': 0.32474484185391156, 'quadratic_weighted_kappa': 0.7295159214315767}",0.6665802049546188
8,0.7693282636248415,0.6281523390434283,0.6135038784639699,0.28010139416983526,0.808226539800335,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6186440677966102, 'recall': 0.7227722772277227, 'f1': 0.6666666666666666, 'support': 101}, {'label': 2, 'precision': 0.696078431372549, 'recall': 0.7513227513227513, 'f1': 0.72264631043257, 'support': 189}, {'label': 3, 'precision': 0.8194444444444444, 'recall': 0.8368794326241135, 'f1': 0.8280701754385965, 'support': 282}, {'label': 4, 'precision': 0.8715083798882681, 'recall': 0.8297872340425532, 'f1': 0.8501362397820164, 'support': 188}]","[[0, 21, 5, 0, 3], [0, 73, 26, 2, 0], [0, 15, 142, 30, 2], [0, 4, 24, 236, 18], [0, 5, 7, 20, 156]]","{'accuracy': 0.7825513740152373, 'macro_f1': 0.6192399504854121, 'mae': 0.27531065489181006, 'quadratic_weighted_kappa': 0.8019932813987849}",0.6018735720328656
9,0.7870722433460076,0.6509814608613851,0.6315289419760683,0.2674271229404309,0.8139791951430362,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6176470588235294, 'recall': 0.8316831683168316, 'f1': 0.7088607594936709, 'support': 101}, {'label': 2, 'precision': 0.7712765957446809, 'recall': 0.7671957671957672, 'f1': 0.7692307692307693, 'support': 189}, {'label': 3, 'precision': 0.8120805369127517, 'recall': 0.8581560283687943, 'f1': 0.8344827586206897, 'support': 282}, {'label': 4, 'precision': 0.8982035928143712, 'recall': 0.7978723404255319, 'f1': 0.8450704225352113, 'support': 188}]","[[0, 25, 0, 3, 1], [0, 84, 13, 4, 0], [0, 15, 145, 27, 2], [0, 6, 20, 242, 14], [0, 6, 10, 22, 150]]","{'accuracy': 0.7896327627973824, 'macro_f1': 0.6299156966470877, 'mae': 0.2710912809184646, 'quadratic_weighted_kappa': 0.8059443729979114}",0.5486726301553434
10,0.8174904942965779,0.7061905027102647,0.7125166469581126,0.2217997465145754,0.8507417108840236,"[{'label': 0, 'precision': 0.5454545454545454, 'recall': 0.20689655172413793, 'f1': 0.3, 'support': 29}, {'label': 1, 'precision': 0.6638655462184874, 'recall': 0.7821782178217822, 'f1': 0.7181818181818181, 'support': 101}, {'label': 2, 'precision': 0.7936507936507936, 'recall': 0.7936507936507936, 'f1': 0.7936507936507936, 'support': 189}, {'label': 3, 'precision': 0.856140350877193, 'recall': 0.8652482269503546, 'f1': 0.8606701940035273, 'support': 282}, {'label': 4, 'precision': 0.8972972972972973, 'recall': 0.8829787234042553, 'f1': 0.8900804289544236, 'support': 188}]","[[6, 18, 3, 0, 2], [2, 79, 16, 4, 0], [1, 16, 150, 22, 0], [1, 1, 19, 244, 17], [1, 5, 1, 15, 166]]","{'accuracy': 0.8300827406027124, 'macro_f1': 0.711386162151159, 'mae': 0.21342818835903646, 'quadratic_weighted_kappa': 0.8483093963371569}",0.4694665920825059
11,0.8314321926489227,0.7624211175615692,0.7739533334789948,0.21926489226869456,0.8412763483446282,"[{'label': 0, 'precision': 0.7, 'recall': 0.4827586206896552, 'f1': 0.5714285714285714, 'support': 29}, {'label': 1, 'precision': 0.7053571428571429, 'recall': 0.7821782178217822, 'f1': 0.7417840375586855, 'support': 101}, {'label': 2, 'precision': 0.8388888888888889, 'recall': 0.798941798941799, 'f1': 0.8184281842818428, 'support': 189}, {'label': 3, 'precision': 0.8620689655172413, 'recall': 0.8865248226950354, 'f1': 0.8741258741258742, 'support': 282}, {'label': 4, 'precision': 0.8663101604278075, 'recall': 0.8617021276595744, 'f1': 0.864, 'support': 188}]","[[14, 14, 0, 0, 1], [3, 79, 12, 3, 4], [0, 13, 151, 19, 6], [1, 1, 16, 250, 14], [2, 5, 1, 18, 162]]","{'accuracy': 0.8410026593323554, 'macro_f1': 0.7832653866840731, 'mae': 0.21685936957469212, 'quadratic_weighted_kappa': 0.8357826519225818}",0.4505617043666815
