epoch=1 train_f1=0.1515
epoch=2 train_f1=0.3108
epoch=3 train_f1=0.4170
epoch=4 train_f1=0.4494
epoch=5 train_f1=0.5041
epoch=6 train_f1=0.5388
epoch=7 train_f1=0.5993
epoch=8 train_f1=0.6135
epoch=9 train_f1=0.6315
epoch=10 train_f1=0.7125
epoch=11 train_f1=0.7740
epoch=12 train_f1=0.8307
epoch=13 train_f1=0.8189
epoch=14 train_f1=0.8623
epoch=15 train_f1=0.8710
epoch=16 train_f1=0.9025
epoch=17 train_f1=0.9032
epoch=18 train_f1=0.9027
epoch=19 train_f1=0.9161
epoch=20 train_f1=0.9323
epoch=21 train_f1=0.9463
epoch=22 train_f1=0.9455
epoch=23 train_f1=0.9258
epoch=24 train_f1=0.9456
epoch=25 train_f1=0.9525
epoch=26 train_f1=0.9605
epoch=27 train_f1=0.9643
epoch=28 train_f1=0.9406
epoch=29 train_f1=0.9514
epoch=30 train_f1=0.9608
epoch=31 train_f1=0.9762
epoch=32 train_f1=0.9545
epoch=33 train_f1=0.9570
epoch=34 train_f1=0.9780
epoch=35 train_f1=0.9752
epoch=36 train_f1=0.9818
epoch=37 train_f1=0.9593
epoch=38 train_f1=0.9602
epoch=39 train_f1=0.9723
epoch=40 train_f1=0.9726
epoch=41 train_f1=0.9619
epoch=42 train_f1=0.9727
epoch=43 train_f1=0.9809
epoch=44 train_f1=0.9769
epoch=45 train_f1=0.9832
epoch=46 train_f1=0.9746
epoch=47 train_f1=0.9794
epoch=48 train_f1=0.9854
epoch=49 train_f1=0.9818
epoch=50 train_f1=0.9905
