run,experiment,modalities,seed,test_images,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa
Step5/M_seed2026,White M reference,M,2026,207.0,0.3671497584541063,0.2556565656565657,0.25055140481953064,0.8840579710144928,0.3150613053488248
Step5/M_seed3407,White M reference,M,3407,207.0,0.3285024154589372,0.23399711399711398,0.18300552821100763,0.8454106280193237,0.27994762389725814
Step5/M_seed42,White M reference,M,42,207.0,0.3140096618357488,0.2237085137085137,0.20423853980108983,1.0338164251207729,0.18770176489919
all_channels_seed2026,All channels,M + MB + MP + MR + MUV,2026,,0.42995169082125606,0.3018037518037518,0.28441020984665055,0.7729468599033816,0.5018676819194023
all_channels_seed3407,All channels,M + MB + MP + MR + MUV,3407,,0.40096618357487923,0.29079365079365077,0.28376567876567876,0.8164251207729468,0.4474613243018283
all_channels_seed42,All channels,M + MB + MP + MR + MUV,42,,0.30434782608695654,0.2476046176046176,0.2243977469160549,0.9033816425120773,0.3897563154498983
m_mb_seed2026,M + MB,M + MB,2026,,0.357487922705314,0.32317460317460317,0.2829805996472663,0.8357487922705314,0.37441766586294556
m_mb_seed3407,M + MB,M + MB,3407,,0.4106280193236715,0.3096969696969697,0.29486115070111907,0.821256038647343,0.4181811181272139
m_mb_seed42,M + MB,M + MB,42,,0.3864734299516908,0.26528138528138523,0.25266832344063356,0.8454106280193237,0.30534589441997895
m_mr_mb_seed2026,M + MR + MB,M + MR + MB,2026,,0.41545893719806765,0.3021212121212121,0.29882154882154877,0.8019323671497585,0.39942802669208766
m_mr_mb_seed3407,M + MR + MB,M + MR + MB,3407,,0.3140096618357488,0.2836507936507936,0.23001544904091326,0.8260869565217391,0.4358660909549711
m_mr_mb_seed42,M + MR + MB,M + MR + MB,42,,0.3719806763285024,0.33359307359307355,0.3093346379647749,0.8405797101449275,0.364157752287666
m_mr_seed2026,M + MR,M + MR,2026,,0.37681159420289856,0.29959595959595964,0.27943034676066353,0.8743961352657005,0.3934880302987479
m_mr_seed3407,M + MR,M + MR,3407,,0.30434782608695654,0.29204906204906206,0.259734513487578,0.8792270531400966,0.4627492717902756
m_mr_seed42,M + MR,M + MR,42,,0.28019323671497587,0.22803751803751804,0.20905815850751117,0.9130434782608695,0.41792264655801503
mr_mb_seed2026,MR + MB,MR + MB,2026,,0.3864734299516908,0.323044733044733,0.28930207047854106,0.7777777777777778,0.38865918487891316
mr_mb_seed3407,MR + MB,MR + MB,3407,,0.32367149758454106,0.3062193362193362,0.23787478278588772,0.9082125603864735,0.37540859944681926
mr_mb_seed42,MR + MB,MR + MB,42,,0.33816425120772947,0.278066378066378,0.2462555461839992,0.8792270531400966,0.38894502228826144
