scope,true_label,modality,importance,experiment,experiment_name,seed
all,all,M,6.407441147873043e-05,all_channels,All channels,2026
all,all,MB,5.987457123867366e-05,all_channels,All channels,2026
all,all,MP,7.400003531531561e-05,all_channels,All channels,2026
all,all,MR,8.007999555126804e-05,all_channels,All channels,2026
all,all,MUV,5.5120812732094204e-05,all_channels,All channels,2026
true_label,0,M,7.04918846687568e-05,all_channels,All channels,2026
true_label,0,MB,6.660166945948731e-05,all_channels,All channels,2026
true_label,0,MP,7.675821117507959e-05,all_channels,All channels,2026
true_label,0,MR,9.613457223167643e-05,all_channels,All channels,2026
true_label,0,MUV,5.65610670102095e-05,all_channels,All channels,2026
true_label,1,M,5.9341762773163445e-05,all_channels,All channels,2026
true_label,1,MB,4.954776870197913e-05,all_channels,All channels,2026
true_label,1,MP,6.822702777175105e-05,all_channels,All channels,2026
true_label,1,MR,7.771497935622888e-05,all_channels,All channels,2026
true_label,1,MUV,5.217344212062678e-05,all_channels,All channels,2026
true_label,2,M,6.0290786495897916e-05,all_channels,All channels,2026
true_label,2,MB,5.5586411534542486e-05,all_channels,All channels,2026
true_label,2,MP,6.672697407858713e-05,all_channels,All channels,2026
true_label,2,MR,8.156421224287312e-05,all_channels,All channels,2026
true_label,2,MUV,4.919636807504243e-05,all_channels,All channels,2026
true_label,3,M,6.51575636848892e-05,all_channels,All channels,2026
true_label,3,MB,6.302314113781904e-05,all_channels,All channels,2026
true_label,3,MP,7.632099120449062e-05,all_channels,All channels,2026
true_label,3,MR,8.430031431833578e-05,all_channels,All channels,2026
true_label,3,MUV,5.6776586544318974e-05,all_channels,All channels,2026
true_label,4,M,6.55285942533131e-05,all_channels,All channels,2026
true_label,4,MB,6.18104149540122e-05,all_channels,All channels,2026
true_label,4,MP,7.66276515228909e-05,all_channels,All channels,2026
true_label,4,MR,7.706996150617018e-05,all_channels,All channels,2026
true_label,4,MUV,5.703254857801978e-05,all_channels,All channels,2026
