epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.33460076045627374,0.1966160192513679,0.1415671428392782,0.899873257287706,0.020871693918592116,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.08333333333333333, 'recall': 0.009900990099009901, 'f1': 0.017699115044247787, 'support': 101}, {'label': 2, 'precision': 0.25806451612903225, 'recall': 0.042328042328042326, 'f1': 0.07272727272727272, 'support': 189}, {'label': 3, 'precision': 0.3513909224011713, 'recall': 0.851063829787234, 'f1': 0.49740932642487046, 'support': 282}, {'label': 4, 'precision': 0.24193548387096775, 'recall': 0.0797872340425532, 'f1': 0.12, 'support': 188}]","[[0, 0, 2, 26, 1], [0, 1, 9, 81, 10], [0, 2, 8, 170, 9], [1, 4, 10, 240, 27], [0, 5, 2, 166, 15]]","{'accuracy': 0.3381847317586799, 'macro_f1': 0.1426226024480292, 'mae': 0.8758085244451533, 'quadratic_weighted_kappa': 0.028464904002784785}",1.4673959616623602
2,0.3840304182509506,0.2407419668005301,0.2052567947513308,0.7908745247148289,0.1974607713139288,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6923076923076923, 'recall': 0.0891089108910891, 'f1': 0.15789473684210525, 'support': 101}, {'label': 2, 'precision': 0.3194444444444444, 'recall': 0.12169312169312169, 'f1': 0.17624521072796934, 'support': 189}, {'label': 3, 'precision': 0.3844984802431611, 'recall': 0.8971631205673759, 'f1': 0.5382978723404256, 'support': 282}, {'label': 4, 'precision': 0.391304347826087, 'recall': 0.09574468085106383, 'f1': 0.15384615384615385, 'support': 188}]","[[0, 3, 6, 20, 0], [0, 9, 22, 69, 1], [0, 0, 23, 156, 10], [0, 1, 11, 253, 17], [0, 0, 10, 160, 18]]","{'accuracy': 0.3665608089655189, 'macro_f1': 0.1697786735612179, 'mae': 0.8165341632770449, 'quadratic_weighted_kappa': 0.11787998121795884}",1.3461632586552919
3,0.47655259822560203,0.3471961127217078,0.35264035549143513,0.6527249683143219,0.44996109784057736,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6888888888888889, 'recall': 0.3069306930693069, 'f1': 0.4246575342465753, 'support': 101}, {'label': 2, 'precision': 0.4025157232704403, 'recall': 0.3386243386243386, 'f1': 0.367816091954023, 'support': 189}, {'label': 3, 'precision': 0.45691382765531063, 'recall': 0.8085106382978723, 'f1': 0.5838668373879642, 'support': 282}, {'label': 4, 'precision': 0.6162790697674418, 'recall': 0.28191489361702127, 'f1': 0.38686131386861317, 'support': 188}]","[[0, 6, 13, 10, 0], [0, 31, 33, 36, 1], [0, 6, 64, 109, 10], [0, 2, 30, 228, 22], [0, 0, 19, 116, 53]]","{'accuracy': 0.47786727144121954, 'macro_f1': 0.3481302274356696, 'mae': 0.6638748712024356, 'quadratic_weighted_kappa': 0.4073367542788059}",1.245642493886186
4,0.5538656527249683,0.4429771295265292,0.438031271822909,0.55893536121673,0.5956292793626754,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5728155339805825, 'recall': 0.5841584158415841, 'f1': 0.5784313725490197, 'support': 101}, {'label': 2, 'precision': 0.4968944099378882, 'recall': 0.42328042328042326, 'f1': 0.45714285714285713, 'support': 189}, {'label': 3, 'precision': 0.5590551181102362, 'recall': 0.7553191489361702, 'f1': 0.6425339366515838, 'support': 282}, {'label': 4, 'precision': 0.5902777777777778, 'recall': 0.4521276595744681, 'f1': 0.5120481927710844, 'support': 188}]","[[0, 14, 9, 6, 0], [0, 59, 27, 13, 2], [0, 21, 80, 71, 17], [0, 4, 25, 213, 40], [0, 5, 20, 78, 85]]","{'accuracy': 0.5368368687710919, 'macro_f1': 0.4199428604509642, 'mae': 0.5959551321247509, 'quadratic_weighted_kappa': 0.5466754317062803}",1.1532004480881686
5,0.6096324461343473,0.48691838788742103,0.4853102883465061,0.4550063371356147,0.6985375074215137,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5980392156862745, 'recall': 0.6039603960396039, 'f1': 0.6009852216748769, 'support': 101}, {'label': 2, 'precision': 0.5423728813559322, 'recall': 0.5079365079365079, 'f1': 0.5245901639344263, 'support': 189}, {'label': 3, 'precision': 0.5916230366492147, 'recall': 0.8014184397163121, 'f1': 0.6807228915662651, 'support': 282}, {'label': 4, 'precision': 0.765625, 'recall': 0.5212765957446809, 'f1': 0.620253164556962, 'support': 188}]","[[0, 16, 10, 2, 1], [0, 61, 32, 8, 0], [0, 18, 96, 68, 7], [0, 6, 28, 226, 22], [0, 1, 11, 78, 98]]","{'accuracy': 0.615222240751348, 'macro_f1': 0.48276161722258015, 'mae': 0.4580985169448855, 'quadratic_weighted_kappa': 0.6817637811675654}",1.035737912011237
6,0.679340937896071,0.55254825381221,0.5426514614548135,0.37896070975918883,0.7540053946284719,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5961538461538461, 'recall': 0.6138613861386139, 'f1': 0.6048780487804878, 'support': 101}, {'label': 2, 'precision': 0.5844748858447488, 'recall': 0.6772486772486772, 'f1': 0.6274509803921569, 'support': 189}, {'label': 3, 'precision': 0.7323943661971831, 'recall': 0.7375886524822695, 'f1': 0.734982332155477, 'support': 282}, {'label': 4, 'precision': 0.7582417582417582, 'recall': 0.7340425531914894, 'f1': 0.745945945945946, 'support': 188}]","[[0, 18, 8, 1, 2], [0, 62, 34, 3, 2], [0, 20, 128, 33, 8], [0, 2, 40, 208, 32], [0, 2, 9, 39, 138]]","{'accuracy': 0.6885012172830018, 'macro_f1': 0.540066579430583, 'mae': 0.37742072958029915, 'quadratic_weighted_kappa': 0.744325254275091}",0.9513299032309209
7,0.6907477820025348,0.5647041350538295,0.555906567227322,0.36628643852978454,0.7645279717241655,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6509433962264151, 'recall': 0.6831683168316832, 'f1': 0.6666666666666666, 'support': 101}, {'label': 2, 'precision': 0.6170212765957447, 'recall': 0.6137566137566137, 'f1': 0.6153846153846154, 'support': 189}, {'label': 3, 'precision': 0.7019230769230769, 'recall': 0.776595744680851, 'f1': 0.7373737373737373, 'support': 282}, {'label': 4, 'precision': 0.7704918032786885, 'recall': 0.75, 'f1': 0.7601078167115903, 'support': 188}]","[[0, 16, 9, 2, 2], [0, 69, 25, 7, 0], [0, 19, 116, 43, 11], [0, 2, 32, 219, 29], [0, 0, 6, 41, 141]]","{'accuracy': 0.6872029297770302, 'macro_f1': 0.5482315626862206, 'mae': 0.3784687530462285, 'quadratic_weighted_kappa': 0.7449811570972944}",0.9033765736943717
8,0.7414448669201521,0.6112470922877495,0.5947696950630246,0.2965779467680608,0.8280339771637164,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6106870229007634, 'recall': 0.7920792079207921, 'f1': 0.6896551724137931, 'support': 101}, {'label': 2, 'precision': 0.6978021978021978, 'recall': 0.671957671957672, 'f1': 0.6846361185983828, 'support': 189}, {'label': 3, 'precision': 0.7612903225806451, 'recall': 0.8368794326241135, 'f1': 0.7972972972972973, 'support': 282}, {'label': 4, 'precision': 0.8554216867469879, 'recall': 0.7553191489361702, 'f1': 0.8022598870056498, 'support': 188}]","[[0, 24, 5, 0, 0], [0, 80, 17, 4, 0], [0, 22, 127, 34, 6], [0, 5, 23, 236, 18], [0, 0, 10, 36, 142]]","{'accuracy': 0.7511157353364123, 'macro_f1': 0.5968459866704849, 'mae': 0.2845468400187225, 'quadratic_weighted_kappa': 0.834879951337431}",0.8166611081293781
9,0.7731305449936628,0.6325439180189549,0.6165965422774847,0.24714828897338403,0.8672759568976441,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6111111111111112, 'recall': 0.7623762376237624, 'f1': 0.6784140969162996, 'support': 101}, {'label': 2, 'precision': 0.7202072538860104, 'recall': 0.7354497354497355, 'f1': 0.7277486910994765, 'support': 189}, {'label': 3, 'precision': 0.8154362416107382, 'recall': 0.8617021276595744, 'f1': 0.8379310344827586, 'support': 282}, {'label': 4, 'precision': 0.877906976744186, 'recall': 0.8031914893617021, 'f1': 0.8388888888888889, 'support': 188}]","[[0, 26, 3, 0, 0], [0, 77, 22, 2, 0], [0, 23, 139, 23, 4], [0, 0, 22, 243, 17], [0, 0, 7, 30, 151]]","{'accuracy': 0.795919161452329, 'macro_f1': 0.62631895476509, 'mae': 0.21916173429394767, 'quadratic_weighted_kappa': 0.8870467917416556}",0.7549951401349105
10,0.8111533586818758,0.7361997804084639,0.7560467160637157,0.21039290240811154,0.8868098304729742,"[{'label': 0, 'precision': 0.8, 'recall': 0.41379310344827586, 'f1': 0.5454545454545454, 'support': 29}, {'label': 1, 'precision': 0.7181818181818181, 'recall': 0.7821782178217822, 'f1': 0.7488151658767772, 'support': 101}, {'label': 2, 'precision': 0.7661691542288557, 'recall': 0.8148148148148148, 'f1': 0.7897435897435897, 'support': 189}, {'label': 3, 'precision': 0.823728813559322, 'recall': 0.8617021276595744, 'f1': 0.8422876949740035, 'support': 282}, {'label': 4, 'precision': 0.9047619047619048, 'recall': 0.8085106382978723, 'f1': 0.8539325842696629, 'support': 188}]","[[12, 14, 3, 0, 0], [2, 79, 17, 3, 0], [1, 14, 154, 17, 3], [0, 3, 23, 243, 13], [0, 0, 4, 32, 152]]","{'accuracy': 0.8273245291789422, 'macro_f1': 0.7702296808502604, 'mae': 0.19197387755792564, 'quadratic_weighted_kappa': 0.8996217590949094}",0.721107901578016
