epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.33079847908745247,0.1929337158639876,0.1333186580181535,0.917617237008872,-0.011104194393165345,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.10526315789473684, 'recall': 0.019801980198019802, 'f1': 0.03333333333333333, 'support': 101}, {'label': 2, 'precision': 0.17142857142857143, 'recall': 0.031746031746031744, 'f1': 0.05357142857142857, 'support': 189}, {'label': 3, 'precision': 0.3546511627906977, 'recall': 0.8652482269503546, 'f1': 0.5030927835051546, 'support': 282}, {'label': 4, 'precision': 0.19148936170212766, 'recall': 0.047872340425531915, 'f1': 0.07659574468085106, 'support': 188}]","[[0, 0, 4, 25, 0], [0, 2, 7, 86, 6], [0, 1, 6, 166, 16], [0, 8, 14, 244, 16], [0, 8, 4, 167, 9]]","{'accuracy': 0.326690661884541, 'macro_f1': 0.12680269630496738, 'mae': 0.9124607263095056, 'quadratic_weighted_kappa': -0.024145091161791754}",1.467349472910128
2,0.3929024081115336,0.24159296375432887,0.20137460250875616,0.7756653992395437,0.19035760886392283,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6, 'recall': 0.0297029702970297, 'f1': 0.05660377358490566, 'support': 101}, {'label': 2, 'precision': 0.37662337662337664, 'recall': 0.15343915343915343, 'f1': 0.21804511278195488, 'support': 189}, {'label': 3, 'precision': 0.3843843843843844, 'recall': 0.9078014184397163, 'f1': 0.540084388185654, 'support': 282}, {'label': 4, 'precision': 0.5365853658536586, 'recall': 0.11702127659574468, 'f1': 0.19213973799126638, 'support': 188}]","[[0, 0, 4, 25, 0], [0, 3, 28, 70, 0], [0, 2, 29, 153, 5], [0, 0, 12, 256, 14], [0, 0, 4, 162, 22]]","{'accuracy': 0.3840887577349029, 'macro_f1': 0.19013425176818083, 'mae': 0.7833213296822897, 'quadratic_weighted_kappa': 0.1628933840735034}",1.347321841955487
3,0.4600760456273764,0.3275078217041562,0.3274525474614373,0.7110266159695817,0.36113241540491026,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5714285714285714, 'recall': 0.19801980198019803, 'f1': 0.29411764705882354, 'support': 101}, {'label': 2, 'precision': 0.39325842696629215, 'recall': 0.37037037037037035, 'f1': 0.3814713896457766, 'support': 189}, {'label': 3, 'precision': 0.4605543710021322, 'recall': 0.7659574468085106, 'f1': 0.5752330226364847, 'support': 282}, {'label': 4, 'precision': 0.5327102803738317, 'recall': 0.30319148936170215, 'f1': 0.3864406779661017, 'support': 188}]","[[0, 4, 14, 9, 2], [0, 20, 34, 44, 3], [0, 7, 70, 97, 15], [0, 2, 34, 216, 30], [0, 2, 26, 103, 57]]","{'accuracy': 0.4628299896317457, 'macro_f1': 0.3304458234397484, 'mae': 0.7184467416532331, 'quadratic_weighted_kappa': 0.3439716958354193}",1.254429596458551
4,0.5564005069708492,0.43572604474226556,0.43661350408725214,0.5842839036755386,0.5325802939795377,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5625, 'recall': 0.44554455445544555, 'f1': 0.4972375690607735, 'support': 101}, {'label': 2, 'precision': 0.5, 'recall': 0.5132275132275133, 'f1': 0.5065274151436031, 'support': 189}, {'label': 3, 'precision': 0.5670391061452514, 'recall': 0.7198581560283688, 'f1': 0.634375, 'support': 282}, {'label': 4, 'precision': 0.5987261146496815, 'recall': 0.5, 'f1': 0.5449275362318841, 'support': 188}]","[[0, 11, 11, 5, 2], [0, 45, 29, 20, 7], [0, 15, 97, 60, 17], [0, 2, 40, 203, 37], [0, 7, 17, 70, 94]]","{'accuracy': 0.552294590542573, 'macro_f1': 0.4306906321059441, 'mae': 0.6031460642928438, 'quadratic_weighted_kappa': 0.5027969102775295}",1.1418727155873984
5,0.6134347275031685,0.4847140995761176,0.48529286146084993,0.49429657794676807,0.612993618612542,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6136363636363636, 'recall': 0.5346534653465347, 'f1': 0.5714285714285714, 'support': 101}, {'label': 2, 'precision': 0.5360824742268041, 'recall': 0.5502645502645502, 'f1': 0.5430809399477807, 'support': 189}, {'label': 3, 'precision': 0.6143250688705234, 'recall': 0.7907801418439716, 'f1': 0.6914728682170542, 'support': 282}, {'label': 4, 'precision': 0.7152777777777778, 'recall': 0.5478723404255319, 'f1': 0.6204819277108434, 'support': 188}]","[[0, 10, 11, 5, 3], [0, 54, 35, 11, 1], [0, 14, 104, 55, 16], [0, 2, 36, 223, 21], [0, 8, 8, 69, 103]]","{'accuracy': 0.6198314413484692, 'macro_f1': 0.49171246464085466, 'mae': 0.5001207514930044, 'quadratic_weighted_kappa': 0.5941594374815207}",1.0423971156203702
6,0.6856780735107731,0.5556463397099588,0.5498649490373152,0.37389100126742714,0.7533416750769336,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6565656565656566, 'recall': 0.6435643564356436, 'f1': 0.65, 'support': 101}, {'label': 2, 'precision': 0.6201923076923077, 'recall': 0.6825396825396826, 'f1': 0.6498740554156172, 'support': 189}, {'label': 3, 'precision': 0.7003154574132492, 'recall': 0.7872340425531915, 'f1': 0.7412353923205343, 'support': 282}, {'label': 4, 'precision': 0.7575757575757576, 'recall': 0.6648936170212766, 'f1': 0.7082152974504249, 'support': 188}]","[[0, 16, 10, 3, 0], [0, 65, 31, 3, 2], [0, 14, 129, 37, 9], [0, 2, 29, 222, 29], [0, 2, 9, 52, 125]]","{'accuracy': 0.6893643825088276, 'macro_f1': 0.547734264002812, 'mae': 0.37699686575809505, 'quadratic_weighted_kappa': 0.7475125283802116}",0.9529990939888513
7,0.7376425855513308,0.5914450563597393,0.5845841651056036,0.3396704689480355,0.7395919122750196,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6372549019607843, 'recall': 0.6435643564356436, 'f1': 0.6403940886699507, 'support': 101}, {'label': 2, 'precision': 0.6502463054187192, 'recall': 0.6984126984126984, 'f1': 0.673469387755102, 'support': 189}, {'label': 3, 'precision': 0.7697160883280757, 'recall': 0.8652482269503546, 'f1': 0.8146911519198664, 'support': 282}, {'label': 4, 'precision': 0.844311377245509, 'recall': 0.75, 'f1': 0.7943661971830986, 'support': 188}]","[[0, 13, 11, 2, 3], [0, 65, 29, 3, 4], [0, 17, 132, 37, 3], [0, 3, 19, 244, 16], [0, 4, 12, 31, 141]]","{'accuracy': 0.7371662239816835, 'macro_f1': 0.5776798302006818, 'mae': 0.3526027480304747, 'quadratic_weighted_kappa': 0.7209093992026286}",0.8735139690273463
8,0.7325728770595691,0.5982739307365387,0.5881368453284341,0.31432192648922685,0.7966724306718268,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6548672566371682, 'recall': 0.7326732673267327, 'f1': 0.6915887850467289, 'support': 101}, {'label': 2, 'precision': 0.676923076923077, 'recall': 0.6984126984126984, 'f1': 0.6875, 'support': 189}, {'label': 3, 'precision': 0.7421383647798742, 'recall': 0.8368794326241135, 'f1': 0.7866666666666666, 'support': 282}, {'label': 4, 'precision': 0.8343558282208589, 'recall': 0.723404255319149, 'f1': 0.7749287749287749, 'support': 188}]","[[0, 20, 6, 2, 1], [0, 74, 23, 2, 2], [0, 16, 132, 37, 4], [0, 2, 24, 236, 20], [0, 1, 10, 41, 136]]","{'accuracy': 0.7391678227229921, 'macro_f1': 0.5887105785061889, 'mae': 0.3061806718661005, 'quadratic_weighted_kappa': 0.8014762086598543}",0.8198096647915278
9,0.7845373891001267,0.6510919945713609,0.6442347050860965,0.2522179974651457,0.8418483035508704,"[{'label': 0, 'precision': 1.0, 'recall': 0.034482758620689655, 'f1': 0.06666666666666667, 'support': 29}, {'label': 1, 'precision': 0.6890756302521008, 'recall': 0.8118811881188119, 'f1': 0.7454545454545455, 'support': 101}, {'label': 2, 'precision': 0.7988826815642458, 'recall': 0.7566137566137566, 'f1': 0.7771739130434783, 'support': 189}, {'label': 3, 'precision': 0.7841269841269841, 'recall': 0.875886524822695, 'f1': 0.8274706867671692, 'support': 282}, {'label': 4, 'precision': 0.8342857142857143, 'recall': 0.776595744680851, 'f1': 0.8044077134986226, 'support': 188}]","[[1, 22, 4, 1, 1], [0, 82, 15, 4, 0], [0, 12, 143, 28, 6], [0, 1, 12, 247, 22], [0, 2, 5, 35, 146]]","{'accuracy': 0.7938552484554362, 'macro_f1': 0.6555770395100732, 'mae': 0.24255663870379904, 'quadratic_weighted_kappa': 0.8507194596960674}",0.7588481214865381
10,0.8250950570342205,0.7125115654143063,0.7263454499163116,0.19771863117870722,0.8863944104031194,"[{'label': 0, 'precision': 1.0, 'recall': 0.20689655172413793, 'f1': 0.34285714285714286, 'support': 29}, {'label': 1, 'precision': 0.7053571428571429, 'recall': 0.7821782178217822, 'f1': 0.7417840375586855, 'support': 101}, {'label': 2, 'precision': 0.7892156862745098, 'recall': 0.8518518518518519, 'f1': 0.8193384223918575, 'support': 189}, {'label': 3, 'precision': 0.8683274021352313, 'recall': 0.8652482269503546, 'f1': 0.866785079928952, 'support': 282}, {'label': 4, 'precision': 0.8655913978494624, 'recall': 0.8563829787234043, 'f1': 0.8609625668449198, 'support': 188}]","[[6, 20, 3, 0, 0], [0, 79, 19, 1, 2], [0, 11, 161, 14, 3], [0, 1, 17, 244, 20], [0, 1, 4, 22, 161]]","{'accuracy': 0.8372663416819128, 'macro_f1': 0.7300501305620979, 'mae': 0.186943592507466, 'quadratic_weighted_kappa': 0.8901376232072564}",0.6957947476584044
