epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.37135614702154623,0.23100877970269168,0.18677617745531602,0.7984790874524715,0.19298107002914755,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5555555555555556, 'recall': 0.09900990099009901, 'f1': 0.16806722689075632, 'support': 101}, {'label': 2, 'precision': 0.25510204081632654, 'recall': 0.13227513227513227, 'f1': 0.17421602787456447, 'support': 189}, {'label': 3, 'precision': 0.38863287250384027, 'recall': 0.8971631205673759, 'f1': 0.5423365487674169, 'support': 282}, {'label': 4, 'precision': 0.3333333333333333, 'recall': 0.026595744680851064, 'f1': 0.04926108374384237, 'support': 188}]","[[0, 3, 9, 17, 0], [2, 10, 31, 57, 1], [1, 2, 25, 158, 3], [1, 1, 21, 253, 6], [3, 2, 12, 166, 5]]","{'accuracy': 0.3695352774414339, 'macro_f1': 0.1963324330404816, 'mae': 0.7999853076116842, 'quadratic_weighted_kappa': 0.18386953520361904}",1.421316390557283
2,0.4790874524714829,0.3725109593026172,0.3659740832913136,0.6349809885931559,0.5197767892584313,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.494949494949495, 'recall': 0.48514851485148514, 'f1': 0.49, 'support': 101}, {'label': 2, 'precision': 0.46153846153846156, 'recall': 0.38095238095238093, 'f1': 0.41739130434782606, 'support': 189}, {'label': 3, 'precision': 0.46756152125279643, 'recall': 0.7411347517730497, 'f1': 0.5733882030178327, 'support': 282}, {'label': 4, 'precision': 0.5517241379310345, 'recall': 0.2553191489361702, 'f1': 0.3490909090909091, 'support': 188}]","[[0, 17, 3, 9, 0], [0, 49, 29, 22, 1], [0, 19, 72, 90, 8], [0, 8, 35, 209, 30], [0, 6, 17, 117, 48]]","{'accuracy': 0.4718102814896451, 'macro_f1': 0.357496751026968, 'mae': 0.6611373237819718, 'quadratic_weighted_kappa': 0.4720493554121086}",1.2397579327131254
3,0.5095057034220533,0.40109593026171914,0.39471609121968837,0.6045627376425855,0.5456095943924266,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.48598130841121495, 'recall': 0.5148514851485149, 'f1': 0.5, 'support': 101}, {'label': 2, 'precision': 0.5031055900621118, 'recall': 0.42857142857142855, 'f1': 0.46285714285714286, 'support': 189}, {'label': 3, 'precision': 0.5036319612590799, 'recall': 0.7375886524822695, 'f1': 0.5985611510791367, 'support': 282}, {'label': 4, 'precision': 0.5648148148148148, 'recall': 0.324468085106383, 'f1': 0.41216216216216217, 'support': 188}]","[[0, 16, 5, 7, 1], [0, 52, 30, 17, 2], [0, 23, 81, 76, 9], [0, 6, 33, 208, 35], [0, 10, 12, 105, 61]]","{'accuracy': 0.49715333214102436, 'macro_f1': 0.38561414240535663, 'mae': 0.6350401779923934, 'quadratic_weighted_kappa': 0.5061618088670625}",1.144242176764818
4,0.5564005069708492,0.43950520685300554,0.43657897281091856,0.5399239543726235,0.6119384094830556,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5052631578947369, 'recall': 0.4752475247524752, 'f1': 0.4897959183673469, 'support': 101}, {'label': 2, 'precision': 0.5099009900990099, 'recall': 0.544973544973545, 'f1': 0.5268542199488491, 'support': 189}, {'label': 3, 'precision': 0.5714285714285714, 'recall': 0.7092198581560284, 'f1': 0.6329113924050633, 'support': 282}, {'label': 4, 'precision': 0.6197183098591549, 'recall': 0.46808510638297873, 'f1': 0.5333333333333333, 'support': 188}]","[[0, 17, 7, 3, 2], [0, 48, 39, 11, 3], [0, 20, 103, 56, 10], [0, 4, 39, 200, 39], [0, 6, 14, 80, 88]]","{'accuracy': 0.5457909882388389, 'macro_f1': 0.4284325383489865, 'mae': 0.5603084273686466, 'quadratic_weighted_kappa': 0.5867259371742238}",1.0866712791082676
5,0.6261089987325729,0.5083177568010094,0.49864383735709694,0.4664131812420786,0.6616891957078692,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5491803278688525, 'recall': 0.6633663366336634, 'f1': 0.600896860986547, 'support': 101}, {'label': 2, 'precision': 0.6583850931677019, 'recall': 0.5608465608465608, 'f1': 0.6057142857142858, 'support': 189}, {'label': 3, 'precision': 0.6197183098591549, 'recall': 0.7801418439716312, 'f1': 0.6907378335949764, 'support': 282}, {'label': 4, 'precision': 0.6688741721854304, 'recall': 0.5372340425531915, 'f1': 0.5958702064896755, 'support': 188}]","[[0, 18, 4, 5, 2], [0, 67, 21, 8, 5], [0, 25, 106, 49, 9], [0, 5, 23, 220, 34], [0, 7, 7, 73, 101]]","{'accuracy': 0.6245524007704895, 'macro_f1': 0.49511771712545044, 'mae': 0.47587900561432506, 'quadratic_weighted_kappa': 0.6413444799059071}",0.9818456876262814
6,0.6780735107731305,0.5533971330263725,0.5442074646074346,0.38783269961977185,0.7378701086780161,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6071428571428571, 'recall': 0.6732673267326733, 'f1': 0.6384976525821596, 'support': 101}, {'label': 2, 'precision': 0.6308411214953271, 'recall': 0.7142857142857143, 'f1': 0.6699751861042184, 'support': 189}, {'label': 3, 'precision': 0.6876971608832808, 'recall': 0.7730496453900709, 'f1': 0.7278797996661102, 'support': 282}, {'label': 4, 'precision': 0.7862068965517242, 'recall': 0.6063829787234043, 'f1': 0.6846846846846847, 'support': 188}]","[[0, 18, 7, 4, 0], [0, 68, 28, 4, 1], [1, 16, 135, 35, 2], [0, 5, 31, 218, 28], [0, 5, 13, 56, 114]]","{'accuracy': 0.6698995560260342, 'macro_f1': 0.5368164352341017, 'mae': 0.402566424901856, 'quadratic_weighted_kappa': 0.7239728946864752}",0.8918170740093719
7,0.7211660329531052,0.6017970212281684,0.6103154090578345,0.33079847908745247,0.7800162177720629,"[{'label': 0, 'precision': 1.0, 'recall': 0.10344827586206896, 'f1': 0.1875, 'support': 29}, {'label': 1, 'precision': 0.6238532110091743, 'recall': 0.6732673267326733, 'f1': 0.6476190476190476, 'support': 101}, {'label': 2, 'precision': 0.6461538461538462, 'recall': 0.6666666666666666, 'f1': 0.65625, 'support': 189}, {'label': 3, 'precision': 0.7491961414790996, 'recall': 0.8262411347517731, 'f1': 0.7858347386172007, 'support': 282}, {'label': 4, 'precision': 0.8128654970760234, 'recall': 0.7393617021276596, 'f1': 0.7743732590529248, 'support': 188}]","[[3, 17, 6, 1, 2], [0, 68, 30, 0, 3], [0, 19, 126, 38, 6], [0, 1, 27, 233, 21], [0, 4, 6, 39, 139]]","{'accuracy': 0.7389269340177832, 'macro_f1': 0.6259388237919836, 'mae': 0.3145099368479057, 'quadratic_weighted_kappa': 0.7850163829048799}",0.8286235141361319
8,0.7870722433460076,0.6854700365400408,0.698076063348429,0.2522179974651457,0.8366009747335179,"[{'label': 0, 'precision': 0.75, 'recall': 0.20689655172413793, 'f1': 0.32432432432432434, 'support': 29}, {'label': 1, 'precision': 0.7142857142857143, 'recall': 0.7920792079207921, 'f1': 0.7511737089201878, 'support': 101}, {'label': 2, 'precision': 0.766497461928934, 'recall': 0.798941798941799, 'f1': 0.7823834196891192, 'support': 189}, {'label': 3, 'precision': 0.797945205479452, 'recall': 0.8262411347517731, 'f1': 0.8118466898954704, 'support': 282}, {'label': 4, 'precision': 0.8388888888888889, 'recall': 0.8031914893617021, 'f1': 0.8206521739130435, 'support': 188}]","[[6, 19, 3, 0, 1], [0, 80, 14, 2, 5], [2, 9, 151, 25, 2], [0, 0, 28, 233, 21], [0, 4, 1, 32, 151]]","{'accuracy': 0.793383077993924, 'macro_f1': 0.7048782900749895, 'mae': 0.24901869145702574, 'quadratic_weighted_kappa': 0.8334499313687405}",0.7657234992817781
9,0.8010139416983524,0.697206918574679,0.7033858131566426,0.22813688212927757,0.8601678530626593,"[{'label': 0, 'precision': 0.7142857142857143, 'recall': 0.1724137931034483, 'f1': 0.2777777777777778, 'support': 29}, {'label': 1, 'precision': 0.7154471544715447, 'recall': 0.8712871287128713, 'f1': 0.7857142857142857, 'support': 101}, {'label': 2, 'precision': 0.7794117647058824, 'recall': 0.8412698412698413, 'f1': 0.8091603053435115, 'support': 189}, {'label': 3, 'precision': 0.8006756756756757, 'recall': 0.8404255319148937, 'f1': 0.8200692041522492, 'support': 282}, {'label': 4, 'precision': 0.89937106918239, 'recall': 0.7606382978723404, 'f1': 0.8242074927953891, 'support': 188}]","[[5, 22, 1, 1, 0], [1, 88, 10, 0, 2], [0, 8, 159, 22, 0], [0, 3, 28, 237, 14], [1, 2, 6, 36, 143]]","{'accuracy': 0.8002121584900855, 'macro_f1': 0.6893690270721122, 'mae': 0.2263653850956546, 'quadratic_weighted_kappa': 0.8662575577363034}",0.7232009369610833
10,0.844106463878327,0.7814093495783565,0.8024937028434362,0.1850443599493029,0.881331799697188,"[{'label': 0, 'precision': 0.7894736842105263, 'recall': 0.5172413793103449, 'f1': 0.625, 'support': 29}, {'label': 1, 'precision': 0.8383838383838383, 'recall': 0.8217821782178217, 'f1': 0.83, 'support': 101}, {'label': 2, 'precision': 0.8556701030927835, 'recall': 0.8783068783068783, 'f1': 0.8668407310704961, 'support': 189}, {'label': 3, 'precision': 0.826797385620915, 'recall': 0.8971631205673759, 'f1': 0.8605442176870748, 'support': 282}, {'label': 4, 'precision': 0.8713450292397661, 'recall': 0.7925531914893617, 'f1': 0.83008356545961, 'support': 188}]","[[15, 11, 1, 1, 1], [1, 83, 12, 3, 2], [2, 5, 166, 14, 2], [0, 0, 12, 253, 17], [1, 0, 3, 35, 149]]","{'accuracy': 0.8469983319758735, 'macro_f1': 0.8133230458836701, 'mae': 0.18297054513493635, 'quadratic_weighted_kappa': 0.8803408922190963}",0.6581145867950865
