epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.33460076045627374,0.20608019768542202,0.16911579640124033,0.9277566539923955,0.02617711382457899,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.13333333333333333, 'recall': 0.039603960396039604, 'f1': 0.061068702290076333, 'support': 101}, {'label': 2, 'precision': 0.26666666666666666, 'recall': 0.06349206349206349, 'f1': 0.10256410256410256, 'support': 189}, {'label': 3, 'precision': 0.3547351524879615, 'recall': 0.7836879432624113, 'f1': 0.48839779005524864, 'support': 282}, {'label': 4, 'precision': 0.2967032967032967, 'recall': 0.14361702127659576, 'f1': 0.1935483870967742, 'support': 188}]","[[0, 0, 1, 23, 5], [0, 4, 10, 78, 9], [0, 7, 12, 154, 16], [0, 12, 15, 221, 34], [0, 7, 7, 147, 27]]","{'accuracy': 0.344167252750971, 'macro_f1': 0.1754126409238584, 'mae': 0.9104200955619522, 'quadratic_weighted_kappa': 0.025574437807421746}",1.4728581810178865
2,0.3840304182509506,0.23054036913316459,0.17707937143429087,0.788339670468948,0.15127067365873337,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5, 'recall': 0.009900990099009901, 'f1': 0.019417475728155338, 'support': 101}, {'label': 2, 'precision': 0.28431372549019607, 'recall': 0.15343915343915343, 'f1': 0.19931271477663232, 'support': 189}, {'label': 3, 'precision': 0.3936651583710407, 'recall': 0.925531914893617, 'f1': 0.5523809523809524, 'support': 282}, {'label': 4, 'precision': 0.5454545454545454, 'recall': 0.06382978723404255, 'f1': 0.11428571428571428, 'support': 188}]","[[0, 0, 8, 21, 0], [0, 1, 35, 61, 4], [0, 0, 29, 158, 2], [0, 1, 16, 261, 4], [0, 0, 14, 162, 12]]","{'accuracy': 0.3776811947096928, 'macro_f1': 0.17208718083910501, 'mae': 0.7985943241259689, 'quadratic_weighted_kappa': 0.12019807093489465}",1.3538520457022392
3,0.4524714828897338,0.31673894846424866,0.3118995769429978,0.7008871989860583,0.3535165397513097,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5833333333333334, 'recall': 0.2079207920792079, 'f1': 0.30656934306569344, 'support': 101}, {'label': 2, 'precision': 0.39644970414201186, 'recall': 0.3544973544973545, 'f1': 0.3743016759776536, 'support': 189}, {'label': 3, 'precision': 0.4425287356321839, 'recall': 0.8191489361702128, 'f1': 0.5746268656716418, 'support': 282}, {'label': 4, 'precision': 0.6129032258064516, 'recall': 0.20212765957446807, 'f1': 0.304, 'support': 188}]","[[0, 4, 11, 14, 0], [0, 21, 34, 44, 2], [0, 8, 67, 106, 8], [0, 1, 36, 231, 14], [0, 2, 21, 127, 38]]","{'accuracy': 0.4452534421879191, 'macro_f1': 0.3075125218917118, 'mae': 0.7136203071967931, 'quadratic_weighted_kappa': 0.33122822777746874}",1.2768421877170848
4,0.5209125475285171,0.4068889513064781,0.408550054964867,0.6007604562737643,0.5405352490248347,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5897435897435898, 'recall': 0.45544554455445546, 'f1': 0.5139664804469274, 'support': 101}, {'label': 2, 'precision': 0.4666666666666667, 'recall': 0.48148148148148145, 'f1': 0.4739583333333333, 'support': 189}, {'label': 3, 'precision': 0.524547803617571, 'recall': 0.7198581560283688, 'f1': 0.6068759342301944, 'support': 282}, {'label': 4, 'precision': 0.5503875968992248, 'recall': 0.3776595744680851, 'f1': 0.4479495268138801, 'support': 188}]","[[0, 9, 13, 7, 0], [0, 46, 35, 16, 4], [0, 16, 91, 64, 18], [0, 3, 40, 203, 36], [0, 4, 16, 97, 71]]","{'accuracy': 0.4992622487591527, 'macro_f1': 0.3892625676665409, 'mae': 0.6363480925876245, 'quadratic_weighted_kappa': 0.49881416986600047}",1.1916304727017653
5,0.5728770595690748,0.4408808459366706,0.4413790177719239,0.5158428390367554,0.616525724889027,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5609756097560976, 'recall': 0.45544554455445546, 'f1': 0.5027322404371585, 'support': 101}, {'label': 2, 'precision': 0.5076142131979695, 'recall': 0.5291005291005291, 'f1': 0.5181347150259067, 'support': 189}, {'label': 3, 'precision': 0.572139303482587, 'recall': 0.8156028368794326, 'f1': 0.672514619883041, 'support': 282}, {'label': 4, 'precision': 0.7037037037037037, 'recall': 0.40425531914893614, 'f1': 0.5135135135135135, 'support': 188}]","[[0, 13, 13, 1, 2], [0, 46, 38, 16, 1], [0, 19, 100, 60, 10], [0, 0, 33, 230, 19], [0, 4, 13, 95, 76]]","{'accuracy': 0.5795279846192144, 'macro_f1': 0.44468524620720523, 'mae': 0.5170940248403072, 'quadratic_weighted_kappa': 0.5993884194581421}",1.0794850961034894
6,0.6615969581749049,0.5368317277523091,0.5296672250463519,0.41951837769328265,0.7108089064153269,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6176470588235294, 'recall': 0.6237623762376238, 'f1': 0.6206896551724138, 'support': 101}, {'label': 2, 'precision': 0.5754716981132075, 'recall': 0.6455026455026455, 'f1': 0.6084788029925187, 'support': 189}, {'label': 3, 'precision': 0.696078431372549, 'recall': 0.7553191489361702, 'f1': 0.7244897959183674, 'support': 282}, {'label': 4, 'precision': 0.7337278106508875, 'recall': 0.6595744680851063, 'f1': 0.6946778711484594, 'support': 188}]","[[0, 13, 10, 6, 0], [0, 63, 30, 6, 2], [0, 22, 122, 33, 12], [0, 3, 35, 213, 31], [0, 1, 15, 48, 124]]","{'accuracy': 0.671057173228797, 'macro_f1': 0.5320144923981436, 'mae': 0.42070994345394186, 'quadratic_weighted_kappa': 0.6967532093156374}",0.9892236993037854
7,0.697084917617237,0.5659469695703108,0.5590714792180606,0.34980988593155893,0.7681744374855022,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6481481481481481, 'recall': 0.693069306930693, 'f1': 0.6698564593301436, 'support': 101}, {'label': 2, 'precision': 0.6436170212765957, 'recall': 0.6402116402116402, 'f1': 0.6419098143236074, 'support': 189}, {'label': 3, 'precision': 0.6955223880597015, 'recall': 0.8262411347517731, 'f1': 0.7552674230145867, 'support': 282}, {'label': 4, 'precision': 0.7974683544303798, 'recall': 0.6702127659574468, 'f1': 0.7283236994219653, 'support': 188}]","[[0, 18, 5, 2, 4], [0, 70, 29, 2, 0], [0, 19, 121, 43, 6], [0, 0, 27, 233, 22], [0, 1, 6, 55, 126]]","{'accuracy': 0.7109466852602415, 'macro_f1': 0.5660917977786702, 'mae': 0.3417708225078931, 'quadratic_weighted_kappa': 0.7642364185126558}",0.9136155800674352
8,0.7300380228136882,0.5983933043760302,0.5860316382384467,0.3320659062103929,0.7746426661480869,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.65, 'recall': 0.7722772277227723, 'f1': 0.7058823529411765, 'support': 101}, {'label': 2, 'precision': 0.717391304347826, 'recall': 0.6984126984126984, 'f1': 0.707774798927614, 'support': 189}, {'label': 3, 'precision': 0.7339449541284404, 'recall': 0.851063829787234, 'f1': 0.7881773399014779, 'support': 282}, {'label': 4, 'precision': 0.7974683544303798, 'recall': 0.6702127659574468, 'f1': 0.7283236994219653, 'support': 188}]","[[0, 19, 7, 2, 1], [0, 78, 17, 5, 1], [0, 17, 132, 30, 10], [0, 4, 18, 240, 20], [0, 2, 10, 50, 126]]","{'accuracy': 0.7472412850673775, 'macro_f1': 0.5985648505152374, 'mae': 0.3012936250139976, 'quadratic_weighted_kappa': 0.8086209303724428}",0.8570641384982942
9,0.7921419518377694,0.6570492864889326,0.637096349927314,0.2458808618504436,0.8449119574720265,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6544117647058824, 'recall': 0.8811881188118812, 'f1': 0.7510548523206751, 'support': 101}, {'label': 2, 'precision': 0.7777777777777778, 'recall': 0.7037037037037037, 'f1': 0.7388888888888889, 'support': 189}, {'label': 3, 'precision': 0.8038585209003215, 'recall': 0.8865248226950354, 'f1': 0.8431703204047217, 'support': 282}, {'label': 4, 'precision': 0.8947368421052632, 'recall': 0.8138297872340425, 'f1': 0.8523676880222841, 'support': 188}]","[[0, 22, 5, 1, 1], [0, 89, 10, 2, 0], [0, 20, 133, 31, 5], [0, 2, 18, 250, 12], [0, 3, 5, 27, 153]]","{'accuracy': 0.8075955216714239, 'macro_f1': 0.6447206797113413, 'mae': 0.22826513406628107, 'quadratic_weighted_kappa': 0.8562183392347138}",0.7614867146326411
10,0.7921419518377694,0.691098027631083,0.7148859239684822,0.2370088719898606,0.8633876963090401,"[{'label': 0, 'precision': 1.0, 'recall': 0.27586206896551724, 'f1': 0.43243243243243246, 'support': 29}, {'label': 1, 'precision': 0.6886792452830188, 'recall': 0.7227722772277227, 'f1': 0.7053140096618358, 'support': 101}, {'label': 2, 'precision': 0.7241379310344828, 'recall': 0.7777777777777778, 'f1': 0.75, 'support': 189}, {'label': 3, 'precision': 0.8187919463087249, 'recall': 0.8652482269503546, 'f1': 0.8413793103448276, 'support': 282}, {'label': 4, 'precision': 0.8793103448275862, 'recall': 0.8138297872340425, 'f1': 0.8453038674033149, 'support': 188}]","[[8, 17, 4, 0, 0], [0, 73, 23, 4, 1], [0, 15, 147, 21, 6], [0, 1, 23, 244, 14], [0, 0, 6, 29, 153]]","{'accuracy': 0.8025867465191425, 'macro_f1': 0.7034329264730239, 'mae': 0.2262224590727864, 'quadratic_weighted_kappa': 0.8695754988698767}",0.7584375418033286
