epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.3358681875792142,0.19992119779353823,0.15300555051758236,0.9150823827629911,0.03466302266642307,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 101}, {'label': 2, 'precision': 0.2641509433962264, 'recall': 0.07407407407407407, 'f1': 0.11570247933884298, 'support': 189}, {'label': 3, 'precision': 0.3581395348837209, 'recall': 0.8191489361702128, 'f1': 0.49838187702265374, 'support': 282}, {'label': 4, 'precision': 0.2597402597402597, 'recall': 0.10638297872340426, 'f1': 0.1509433962264151, 'support': 188}]","[[0, 0, 3, 25, 1], [0, 0, 17, 76, 8], [3, 0, 14, 158, 14], [4, 0, 13, 231, 34], [5, 2, 6, 155, 20]]","{'accuracy': 0.3352691436079753, 'macro_f1': 0.1485752760603674, 'mae': 0.9078506898876892, 'quadratic_weighted_kappa': 0.013867587676059334}",1.460108292722279
2,0.42585551330798477,0.2771542149149059,0.2579737649945565,0.7237008871989861,0.2997564881228739,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.75, 'recall': 0.0891089108910891, 'f1': 0.1592920353982301, 'support': 101}, {'label': 2, 'precision': 0.39090909090909093, 'recall': 0.2275132275132275, 'f1': 0.28762541806020064, 'support': 189}, {'label': 3, 'precision': 0.4095394736842105, 'recall': 0.8829787234042553, 'f1': 0.5595505617977528, 'support': 282}, {'label': 4, 'precision': 0.5932203389830508, 'recall': 0.18617021276595744, 'f1': 0.2834008097165992, 'support': 188}]","[[0, 1, 13, 14, 1], [0, 9, 31, 60, 1], [0, 2, 43, 140, 4], [0, 0, 15, 249, 18], [0, 0, 8, 145, 35]]","{'accuracy': 0.4239804751351216, 'macro_f1': 0.25427795703279427, 'mae': 0.7259729301556688, 'quadratic_weighted_kappa': 0.28461727984067775}",1.3077233248639317
3,0.49429657794676807,0.36318276204520145,0.3666778962222662,0.6349809885931559,0.4740291013377037,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5555555555555556, 'recall': 0.24752475247524752, 'f1': 0.3424657534246575, 'support': 101}, {'label': 2, 'precision': 0.45454545454545453, 'recall': 0.47619047619047616, 'f1': 0.46511627906976744, 'support': 189}, {'label': 3, 'precision': 0.4782608695652174, 'recall': 0.7411347517730497, 'f1': 0.5813630041724618, 'support': 282}, {'label': 4, 'precision': 0.6055045871559633, 'recall': 0.35106382978723405, 'f1': 0.4444444444444444, 'support': 188}]","[[0, 6, 11, 12, 0], [0, 25, 45, 30, 1], [0, 7, 90, 83, 9], [0, 5, 35, 209, 33], [0, 2, 17, 103, 66]]","{'accuracy': 0.4988109940553731, 'macro_f1': 0.37078375872596514, 'mae': 0.6212500674701862, 'quadratic_weighted_kappa': 0.4913648938337237}",1.2221749171860166
4,0.5754119138149556,0.4525210575768823,0.45430425051789375,0.5259822560202788,0.6062180539426874,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6052631578947368, 'recall': 0.45544554455445546, 'f1': 0.519774011299435, 'support': 101}, {'label': 2, 'precision': 0.5138888888888888, 'recall': 0.5873015873015873, 'f1': 0.5481481481481482, 'support': 189}, {'label': 3, 'precision': 0.58, 'recall': 0.7198581560283688, 'f1': 0.6424050632911392, 'support': 282}, {'label': 4, 'precision': 0.6394557823129252, 'recall': 0.5, 'f1': 0.5611940298507463, 'support': 188}]","[[0, 12, 11, 4, 2], [0, 46, 39, 13, 3], [0, 12, 111, 59, 7], [0, 2, 36, 203, 41], [0, 4, 19, 71, 94]]","{'accuracy': 0.5737829083315811, 'macro_f1': 0.4484139553049274, 'mae': 0.5354157754559976, 'quadratic_weighted_kappa': 0.5911892348241994}",1.1195376957324068
5,0.605830164765526,0.4764814982004785,0.477771798935693,0.47655259822560203,0.6540540362340461,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5777777777777777, 'recall': 0.5148514851485149, 'f1': 0.5445026178010471, 'support': 101}, {'label': 2, 'precision': 0.535, 'recall': 0.5661375661375662, 'f1': 0.5501285347043702, 'support': 189}, {'label': 3, 'precision': 0.5946666666666667, 'recall': 0.7907801418439716, 'f1': 0.6788432267884322, 'support': 282}, {'label': 4, 'precision': 0.7741935483870968, 'recall': 0.5106382978723404, 'f1': 0.6153846153846154, 'support': 188}]","[[0, 13, 11, 5, 0], [0, 52, 37, 10, 2], [0, 16, 107, 64, 2], [0, 3, 32, 223, 24], [0, 6, 13, 73, 96]]","{'accuracy': 0.6169668485743449, 'macro_f1': 0.4806641495547641, 'mae': 0.4694335585830536, 'quadratic_weighted_kappa': 0.6537598806852957}",1.0221503018879619
6,0.6869455006337135,0.5615869337693647,0.5507432812132507,0.376425855513308,0.7474034353441588,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6071428571428571, 'recall': 0.6732673267326733, 'f1': 0.6384976525821596, 'support': 101}, {'label': 2, 'precision': 0.6292682926829268, 'recall': 0.6825396825396826, 'f1': 0.6548223350253807, 'support': 189}, {'label': 3, 'precision': 0.7152317880794702, 'recall': 0.7659574468085106, 'f1': 0.7397260273972602, 'support': 282}, {'label': 4, 'precision': 0.7588235294117647, 'recall': 0.6861702127659575, 'f1': 0.7206703910614525, 'support': 188}]","[[0, 19, 5, 3, 2], [0, 68, 28, 4, 1], [0, 19, 129, 33, 8], [0, 3, 33, 216, 30], [0, 3, 10, 46, 129]]","{'accuracy': 0.693738172577055, 'macro_f1': 0.5478801329600633, 'mae': 0.3729956017494717, 'quadratic_weighted_kappa': 0.7430933584063362}",0.9384070784420115
7,0.7021546261089987,0.5774849378170532,0.577839777514441,0.36628643852978454,0.7287552519190703,"[{'label': 0, 'precision': 1.0, 'recall': 0.034482758620689655, 'f1': 0.06666666666666667, 'support': 29}, {'label': 1, 'precision': 0.6568627450980392, 'recall': 0.6633663366336634, 'f1': 0.6600985221674877, 'support': 101}, {'label': 2, 'precision': 0.6328502415458938, 'recall': 0.6931216931216931, 'f1': 0.6616161616161617, 'support': 189}, {'label': 3, 'precision': 0.7038216560509554, 'recall': 0.7836879432624113, 'f1': 0.7416107382550335, 'support': 282}, {'label': 4, 'precision': 0.8121212121212121, 'recall': 0.7127659574468085, 'f1': 0.7592067988668555, 'support': 188}]","[[1, 14, 7, 1, 6], [0, 67, 25, 6, 3], [0, 16, 131, 41, 1], [0, 2, 38, 221, 21], [0, 3, 6, 45, 134]]","{'accuracy': 0.7175629426346323, 'macro_f1': 0.5812247890625151, 'mae': 0.36051082785717103, 'quadratic_weighted_kappa': 0.7181126289177229}",0.886706590803555
8,0.7604562737642585,0.6200503687653466,0.6075879257092696,0.28010139416983526,0.8257385839680317,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6410256410256411, 'recall': 0.7425742574257426, 'f1': 0.6880733944954128, 'support': 101}, {'label': 2, 'precision': 0.697560975609756, 'recall': 0.7566137566137566, 'f1': 0.7258883248730964, 'support': 189}, {'label': 3, 'precision': 0.7915309446254072, 'recall': 0.8617021276595744, 'f1': 0.8251273344651953, 'support': 282}, {'label': 4, 'precision': 0.86875, 'recall': 0.7393617021276596, 'f1': 0.7988505747126436, 'support': 188}]","[[0, 20, 9, 0, 0], [0, 75, 21, 4, 1], [0, 20, 143, 21, 5], [0, 0, 24, 243, 15], [0, 2, 8, 39, 139]]","{'accuracy': 0.7748220297609985, 'macro_f1': 0.6131513848158449, 'mae': 0.2611002353198973, 'quadratic_weighted_kappa': 0.8420352421236521}",0.8139362023206114
9,0.8124207858048162,0.7117427701963852,0.722555205293361,0.21419518377693283,0.8726628217589258,"[{'label': 0, 'precision': 0.75, 'recall': 0.20689655172413793, 'f1': 0.32432432432432434, 'support': 29}, {'label': 1, 'precision': 0.7631578947368421, 'recall': 0.8613861386138614, 'f1': 0.8093023255813954, 'support': 101}, {'label': 2, 'precision': 0.7626262626262627, 'recall': 0.798941798941799, 'f1': 0.7803617571059431, 'support': 189}, {'label': 3, 'precision': 0.8229166666666666, 'recall': 0.8404255319148937, 'f1': 0.8315789473684211, 'support': 282}, {'label': 4, 'precision': 0.8839779005524862, 'recall': 0.851063829787234, 'f1': 0.8672086720867209, 'support': 188}]","[[6, 15, 6, 1, 1], [1, 87, 11, 1, 1], [1, 11, 151, 26, 0], [0, 0, 26, 237, 19], [0, 1, 4, 23, 160]]","{'accuracy': 0.8297648452536033, 'macro_f1': 0.7221090993606201, 'mae': 0.19246541296990466, 'quadratic_weighted_kappa': 0.8897567824461974}",0.7467637116464825
10,0.8301647655259823,0.785173360818596,0.7969954757816243,0.19518377693282637,0.885328581909653,"[{'label': 0, 'precision': 0.75, 'recall': 0.6206896551724138, 'f1': 0.6792452830188679, 'support': 29}, {'label': 1, 'precision': 0.78, 'recall': 0.7722772277227723, 'f1': 0.7761194029850746, 'support': 101}, {'label': 2, 'precision': 0.7817258883248731, 'recall': 0.8148148148148148, 'f1': 0.7979274611398963, 'support': 189}, {'label': 3, 'precision': 0.8395904436860068, 'recall': 0.8723404255319149, 'f1': 0.8556521739130435, 'support': 282}, {'label': 4, 'precision': 0.9085714285714286, 'recall': 0.8457446808510638, 'f1': 0.8760330578512396, 'support': 188}]","[[18, 11, 0, 0, 0], [2, 78, 18, 2, 1], [2, 9, 154, 22, 2], [1, 0, 22, 246, 13], [1, 2, 3, 23, 159]]","{'accuracy': 0.8384999685810477, 'macro_f1': 0.7982093311024165, 'mae': 0.18751639424823707, 'quadratic_weighted_kappa': 0.8876074524976179}",0.7068905827361519
