modality,seed,strategy,accuracy,macro_f1,mae,confusion_matrix
M,42,Hard Label,0.3140096618357488,0.20423853980108983,1.0338164251207729,"[[0, 3, 1, 1, 2], [0, 4, 2, 12, 4], [0, 9, 3, 14, 9], [0, 5, 6, 21, 12], [0, 13, 3, 46, 37]]"
M,42,Soft Label,0.2946859903381642,0.2219786113734194,0.9130434782608695,"[[0, 3, 2, 2, 0], [0, 3, 7, 10, 2], [0, 4, 12, 13, 6], [0, 1, 7, 24, 12], [0, 1, 14, 62, 22]]"
M,3407,Hard Label,0.3285024154589372,0.18300552821100763,0.8454106280193237,"[[0, 2, 2, 2, 1], [0, 1, 3, 16, 2], [0, 2, 1, 27, 5], [0, 0, 3, 34, 7], [0, 1, 0, 66, 32]]"
M,3407,Soft Label,0.2753623188405797,0.15346763410413716,0.966183574879227,"[[0, 1, 2, 2, 2], [0, 0, 6, 13, 3], [0, 1, 3, 23, 8], [0, 0, 7, 20, 17], [0, 0, 11, 54, 34]]"
M,2026,Hard Label,0.3671497584541063,0.25055140481953064,0.8840579710144928,"[[0, 0, 5, 2, 0], [0, 4, 6, 11, 1], [0, 2, 7, 17, 9], [0, 3, 5, 19, 17], [0, 8, 2, 43, 46]]"
M,2026,Soft Label,0.36231884057971014,0.21766592380126976,0.8647342995169082,"[[0, 2, 1, 4, 0], [0, 2, 3, 10, 7], [0, 6, 3, 15, 11], [0, 0, 1, 23, 20], [1, 0, 0, 51, 47]]"
MB,42,Hard Label,0.357487922705314,0.26802155155874346,0.8502415458937198,"[[0, 3, 1, 2, 1], [0, 4, 11, 3, 4], [0, 3, 14, 15, 3], [0, 0, 9, 29, 6], [0, 2, 17, 53, 27]]"
MB,42,Soft Label,0.3188405797101449,0.2571858940279993,0.9468599033816425,"[[0, 2, 1, 3, 1], [0, 7, 7, 6, 2], [0, 4, 12, 14, 5], [0, 2, 8, 28, 6], [0, 5, 18, 57, 19]]"
MB,3407,Hard Label,0.2898550724637681,0.1923155179038662,1.0628019323671498,"[[0, 2, 0, 3, 2], [0, 4, 1, 9, 8], [1, 7, 2, 17, 8], [0, 2, 1, 24, 17], [4, 6, 1, 58, 30]]"
MB,3407,Soft Label,0.3140096618357488,0.20533277664266741,0.8792270531400966,"[[0, 2, 1, 4, 0], [1, 1, 11, 7, 2], [0, 3, 8, 18, 6], [0, 3, 4, 31, 6], [0, 0, 11, 63, 25]]"
MB,2026,Hard Label,0.32367149758454106,0.22126245662789232,0.9758454106280193,"[[0, 2, 0, 2, 3], [0, 4, 5, 10, 3], [0, 3, 4, 15, 13], [1, 3, 7, 20, 13], [1, 1, 10, 48, 39]]"
