epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.35107731305449935,0.19925700776764604,0.12001948615984856,0.8631178707224335,0.02061312770359225,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 101}, {'label': 2, 'precision': 0.1875, 'recall': 0.031746031746031744, 'f1': 0.05429864253393665, 'support': 189}, {'label': 3, 'precision': 0.36253369272237196, 'recall': 0.9539007092198581, 'f1': 0.525390625, 'support': 282}, {'label': 4, 'precision': 0.25, 'recall': 0.010638297872340425, 'f1': 0.02040816326530612, 'support': 188}]","[[0, 0, 2, 27, 0], [0, 0, 10, 89, 2], [3, 0, 6, 179, 1], [3, 0, 7, 269, 3], [1, 0, 7, 178, 2]]","{'accuracy': 0.34108663453877386, 'macro_f1': 0.11573699177446925, 'mae': 0.8571424744761292, 'quadratic_weighted_kappa': 0.019263054988975736}",1.4509084721784025
2,0.41064638783269963,0.2707633225328612,0.2519197100663798,0.7427122940430925,0.2976207934268713,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6, 'recall': 0.0594059405940594, 'f1': 0.10810810810810811, 'support': 101}, {'label': 2, 'precision': 0.36363636363636365, 'recall': 0.31746031746031744, 'f1': 0.3389830508474576, 'support': 189}, {'label': 3, 'precision': 0.4076782449725777, 'recall': 0.7907801418439716, 'f1': 0.5379975874547648, 'support': 282}, {'label': 4, 'precision': 0.5223880597014925, 'recall': 0.18617021276595744, 'f1': 0.27450980392156865, 'support': 188}]","[[0, 2, 12, 15, 0], [0, 6, 42, 52, 1], [0, 1, 60, 121, 7], [0, 0, 35, 223, 24], [0, 1, 16, 136, 35]]","{'accuracy': 0.39036980912583613, 'macro_f1': 0.23329516226028443, 'mae': 0.7558579025512995, 'quadratic_weighted_kappa': 0.2860571609296232}",1.3179554983085855
3,0.43979721166032953,0.3089768753977728,0.30659333236565967,0.6920152091254753,0.4182453006831105,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.48484848484848486, 'recall': 0.15841584158415842, 'f1': 0.23880597014925373, 'support': 101}, {'label': 2, 'precision': 0.3672316384180791, 'recall': 0.3439153439153439, 'f1': 0.3551912568306011, 'support': 189}, {'label': 3, 'precision': 0.4411764705882353, 'recall': 0.7446808510638298, 'f1': 0.554089709762533, 'support': 282}, {'label': 4, 'precision': 0.5436893203883495, 'recall': 0.2978723404255319, 'f1': 0.3848797250859107, 'support': 188}]","[[0, 6, 13, 9, 1], [0, 16, 49, 36, 0], [0, 6, 65, 109, 9], [0, 1, 34, 210, 37], [0, 4, 16, 112, 56]]","{'accuracy': 0.4285030722096144, 'macro_f1': 0.29278806840011795, 'mae': 0.7131565554032945, 'quadratic_weighted_kappa': 0.3830869870440585}",1.2463412316579783
4,0.5437262357414449,0.4264915853287456,0.42793866266347225,0.5513307984790875,0.6022328114586724,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5274725274725275, 'recall': 0.4752475247524752, 'f1': 0.5, 'support': 101}, {'label': 2, 'precision': 0.4772727272727273, 'recall': 0.4444444444444444, 'f1': 0.4602739726027397, 'support': 189}, {'label': 3, 'precision': 0.5294117647058824, 'recall': 0.7340425531914894, 'f1': 0.6151560178306092, 'support': 282}, {'label': 4, 'precision': 0.6870229007633588, 'recall': 0.4787234042553192, 'f1': 0.5642633228840125, 'support': 188}]","[[0, 14, 8, 7, 0], [0, 48, 38, 14, 1], [0, 16, 84, 83, 6], [0, 6, 35, 207, 34], [0, 7, 11, 80, 90]]","{'accuracy': 0.5249622469062402, 'macro_f1': 0.4111860918016479, 'mae': 0.5881673808436231, 'quadratic_weighted_kappa': 0.5633014781439094}",1.1362810292775791
5,0.5525982256020279,0.4432956821518018,0.43857315484831316,0.5437262357414449,0.6050912855337272,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5384615384615384, 'recall': 0.5544554455445545, 'f1': 0.5463414634146342, 'support': 101}, {'label': 2, 'precision': 0.4811320754716981, 'recall': 0.5396825396825397, 'f1': 0.5087281795511222, 'support': 189}, {'label': 3, 'precision': 0.5583333333333333, 'recall': 0.7127659574468085, 'f1': 0.6261682242990654, 'support': 282}, {'label': 4, 'precision': 0.6814159292035398, 'recall': 0.4095744680851064, 'f1': 0.5116279069767442, 'support': 188}]","[[0, 16, 7, 5, 1], [0, 56, 37, 7, 1], [0, 18, 102, 61, 8], [0, 6, 49, 201, 26], [0, 8, 17, 86, 77]]","{'accuracy': 0.5343104224721237, 'macro_f1': 0.41819257608172433, 'mae': 0.5754869434112443, 'quadratic_weighted_kappa': 0.5647109112941113}",1.0907666095460473
6,0.6362484157160964,0.516925198092251,0.5072047343658801,0.46514575411913817,0.6493454877358382,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5409836065573771, 'recall': 0.6534653465346535, 'f1': 0.5919282511210763, 'support': 101}, {'label': 2, 'precision': 0.6284153005464481, 'recall': 0.6084656084656085, 'f1': 0.6182795698924731, 'support': 189}, {'label': 3, 'precision': 0.6345029239766082, 'recall': 0.7695035460992907, 'f1': 0.6955128205128205, 'support': 282}, {'label': 4, 'precision': 0.7323943661971831, 'recall': 0.5531914893617021, 'f1': 0.6303030303030303, 'support': 188}]","[[0, 18, 4, 4, 3], [0, 66, 24, 10, 1], [0, 19, 115, 47, 8], [0, 8, 31, 217, 26], [0, 11, 9, 64, 104]]","{'accuracy': 0.6273510741656455, 'macro_f1': 0.4944412956719006, 'mae': 0.4845343127184724, 'quadratic_weighted_kappa': 0.6229052997178692}",1.0196472683635804
7,0.6489226869455006,0.5314957483590305,0.5168726212489636,0.4524714828897338,0.6767838741522461,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5354330708661418, 'recall': 0.6732673267326733, 'f1': 0.5964912280701754, 'support': 101}, {'label': 2, 'precision': 0.6060606060606061, 'recall': 0.6349206349206349, 'f1': 0.6201550387596899, 'support': 189}, {'label': 3, 'precision': 0.7009966777408638, 'recall': 0.74822695035461, 'f1': 0.7238421955403087, 'support': 282}, {'label': 4, 'precision': 0.6932515337423313, 'recall': 0.601063829787234, 'f1': 0.6438746438746439, 'support': 188}]","[[0, 19, 8, 2, 0], [0, 68, 24, 6, 3], [0, 23, 120, 35, 11], [0, 6, 29, 211, 36], [0, 11, 17, 47, 113]]","{'accuracy': 0.6615303023711642, 'macro_f1': 0.5206373842785139, 'mae': 0.4510277119188198, 'quadratic_weighted_kappa': 0.6680974673823267}",0.9740373645596329
8,0.6818757921419518,0.5510555260186607,0.5402719218170904,0.3865652724968314,0.7378818137027352,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5338983050847458, 'recall': 0.6237623762376238, 'f1': 0.5753424657534246, 'support': 101}, {'label': 2, 'precision': 0.5958549222797928, 'recall': 0.6084656084656085, 'f1': 0.6020942408376964, 'support': 189}, {'label': 3, 'precision': 0.7222222222222222, 'recall': 0.7836879432624113, 'f1': 0.7517006802721088, 'support': 282}, {'label': 4, 'precision': 0.8081395348837209, 'recall': 0.7393617021276596, 'f1': 0.7722222222222223, 'support': 188}]","[[0, 20, 5, 3, 1], [0, 63, 33, 4, 1], [0, 23, 115, 45, 6], [0, 4, 32, 221, 25], [0, 8, 8, 33, 139]]","{'accuracy': 0.6930906904032824, 'macro_f1': 0.5376375637024209, 'mae': 0.3876523214980556, 'quadratic_weighted_kappa': 0.7270825594050039}",0.9229773039751331
9,0.7427122940430925,0.6119652846743641,0.5970737070848541,0.3105196451204056,0.7925415364147326,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6363636363636364, 'recall': 0.7623762376237624, 'f1': 0.6936936936936937, 'support': 101}, {'label': 2, 'precision': 0.6911764705882353, 'recall': 0.746031746031746, 'f1': 0.7175572519083969, 'support': 189}, {'label': 3, 'precision': 0.7710437710437711, 'recall': 0.8120567375886525, 'f1': 0.7910189982728842, 'support': 282}, {'label': 4, 'precision': 0.8323353293413174, 'recall': 0.7393617021276596, 'f1': 0.7830985915492957, 'support': 188}]","[[0, 21, 7, 0, 1], [0, 77, 19, 3, 2], [0, 15, 141, 29, 4], [0, 2, 30, 229, 21], [0, 6, 7, 36, 139]]","{'accuracy': 0.7467349162846041, 'macro_f1': 0.5955263249472793, 'mae': 0.31218097679106155, 'quadratic_weighted_kappa': 0.7877109957591086}",0.8213288149452934
10,0.7743979721166033,0.6491998153454028,0.6481387914984842,0.2674271229404309,0.8262442770088231,"[{'label': 0, 'precision': 1.0, 'recall': 0.06896551724137931, 'f1': 0.12903225806451613, 'support': 29}, {'label': 1, 'precision': 0.6869565217391305, 'recall': 0.7821782178217822, 'f1': 0.7314814814814815, 'support': 101}, {'label': 2, 'precision': 0.7038834951456311, 'recall': 0.7671957671957672, 'f1': 0.7341772151898734, 'support': 189}, {'label': 3, 'precision': 0.8033898305084746, 'recall': 0.8404255319148937, 'f1': 0.8214904679376083, 'support': 282}, {'label': 4, 'precision': 0.8654970760233918, 'recall': 0.7872340425531915, 'f1': 0.8245125348189415, 'support': 188}]","[[2, 18, 7, 0, 2], [0, 79, 22, 0, 0], [0, 12, 145, 26, 6], [0, 3, 27, 237, 15], [0, 3, 5, 32, 148]]","{'accuracy': 0.7702004629864602, 'macro_f1': 0.6441250612817055, 'mae': 0.27571724836037376, 'quadratic_weighted_kappa': 0.8154116005539808}",0.7664658676535457
