epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.33840304182509506,0.19358887763143084,0.12358334740352037,0.8808618504435995,0.020726116624272595,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 101}, {'label': 2, 'precision': 0.18518518518518517, 'recall': 0.026455026455026454, 'f1': 0.046296296296296294, 'support': 189}, {'label': 3, 'precision': 0.35664335664335667, 'recall': 0.9042553191489362, 'f1': 0.5115346038114343, 'support': 282}, {'label': 4, 'precision': 0.15555555555555556, 'recall': 0.03723404255319149, 'f1': 0.060085836909871244, 'support': 188}]","[[0, 0, 4, 23, 2], [0, 0, 8, 90, 3], [0, 0, 5, 172, 12], [0, 0, 6, 255, 21], [1, 1, 4, 175, 7]]","{'accuracy': 0.32757147006055803, 'macro_f1': 0.11745670236553749, 'mae': 0.880803231560096, 'quadratic_weighted_kappa': 8.704238520440555e-05}",1.445210476640815
2,0.42458808618504434,0.29445146642323805,0.28683422463108094,0.7376425855513308,0.3108664193281364,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5581395348837209, 'recall': 0.2376237623762376, 'f1': 0.3333333333333333, 'support': 101}, {'label': 2, 'precision': 0.4077669902912621, 'recall': 0.2222222222222222, 'f1': 0.2876712328767123, 'support': 189}, {'label': 3, 'precision': 0.40273037542662116, 'recall': 0.8368794326241135, 'f1': 0.543778801843318, 'support': 282}, {'label': 4, 'precision': 0.5789473684210527, 'recall': 0.17553191489361702, 'f1': 0.2693877551020408, 'support': 188}]","[[0, 6, 6, 17, 0], [0, 24, 20, 57, 0], [0, 4, 42, 137, 6], [0, 5, 23, 236, 18], [0, 4, 12, 139, 33]]","{'accuracy': 0.4255833754266734, 'macro_f1': 0.28108051101580134, 'mae': 0.7371545425763057, 'quadratic_weighted_kappa': 0.2858138855221507}",1.3343511661195937
3,0.4714828897338403,0.35213256381362557,0.35326549932837226,0.6590621039290241,0.4668486257793837,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5142857142857142, 'recall': 0.3564356435643564, 'f1': 0.42105263157894735, 'support': 101}, {'label': 2, 'precision': 0.43537414965986393, 'recall': 0.3386243386243386, 'f1': 0.38095238095238093, 'support': 189}, {'label': 3, 'precision': 0.4584221748400853, 'recall': 0.7624113475177305, 'f1': 0.5725699067909454, 'support': 282}, {'label': 4, 'precision': 0.5533980582524272, 'recall': 0.30319148936170215, 'f1': 0.3917525773195876, 'support': 188}]","[[0, 11, 6, 11, 1], [0, 36, 33, 31, 1], [0, 14, 64, 101, 10], [0, 4, 29, 215, 34], [0, 5, 15, 111, 57]]","{'accuracy': 0.4658654028191662, 'macro_f1': 0.3364049109063997, 'mae': 0.6721159818543464, 'quadratic_weighted_kappa': 0.43063962442514125}",1.2332234489902647
4,0.5842839036755386,0.4570769842941741,0.45921981716702953,0.5031685678073511,0.6347310583911466,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5697674418604651, 'recall': 0.48514851485148514, 'f1': 0.5240641711229946, 'support': 101}, {'label': 2, 'precision': 0.5384615384615384, 'recall': 0.5555555555555556, 'f1': 0.546875, 'support': 189}, {'label': 3, 'precision': 0.5644329896907216, 'recall': 0.776595744680851, 'f1': 0.6537313432835821, 'support': 282}, {'label': 4, 'precision': 0.7333333333333333, 'recall': 0.46808510638297873, 'f1': 0.5714285714285714, 'support': 188}]","[[0, 14, 11, 3, 1], [0, 49, 33, 19, 0], [0, 15, 105, 64, 5], [0, 4, 33, 219, 26], [0, 4, 13, 83, 88]]","{'accuracy': 0.5809440428457837, 'macro_f1': 0.4501221469513738, 'mae': 0.5174450208613788, 'quadratic_weighted_kappa': 0.6160965096582955}",1.098511643811626
5,0.6020278833967047,0.4771513169554037,0.4798434529518543,0.4664131812420786,0.6804242163734955,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6265060240963856, 'recall': 0.5148514851485149, 'f1': 0.5652173913043478, 'support': 101}, {'label': 2, 'precision': 0.5253456221198156, 'recall': 0.6031746031746031, 'f1': 0.5615763546798029, 'support': 189}, {'label': 3, 'precision': 0.5888888888888889, 'recall': 0.75177304964539, 'f1': 0.660436137071651, 'support': 282}, {'label': 4, 'precision': 0.751937984496124, 'recall': 0.5159574468085106, 'f1': 0.61198738170347, 'support': 188}]","[[0, 14, 10, 5, 0], [0, 52, 39, 9, 1], [0, 13, 114, 59, 3], [0, 3, 39, 212, 28], [0, 1, 15, 75, 97]]","{'accuracy': 0.6121929502315738, 'macro_f1': 0.48321796289574304, 'mae': 0.46304157412173963, 'quadratic_weighted_kappa': 0.6746739442389413}",1.022193580979177
6,0.6692015209125475,0.5440432999733611,0.5365285728661779,0.394169835234474,0.7366113039797761,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6203703703703703, 'recall': 0.6633663366336634, 'f1': 0.6411483253588517, 'support': 101}, {'label': 2, 'precision': 0.6321243523316062, 'recall': 0.6455026455026455, 'f1': 0.6387434554973822, 'support': 189}, {'label': 3, 'precision': 0.6737804878048781, 'recall': 0.7836879432624113, 'f1': 0.7245901639344262, 'support': 282}, {'label': 4, 'precision': 0.7375, 'recall': 0.6276595744680851, 'f1': 0.6781609195402298, 'support': 188}]","[[0, 18, 7, 3, 1], [0, 67, 28, 5, 1], [0, 17, 122, 41, 9], [0, 2, 28, 221, 31], [0, 4, 8, 58, 118]]","{'accuracy': 0.6836858902318477, 'macro_f1': 0.5434781633265444, 'mae': 0.3825697420181763, 'quadratic_weighted_kappa': 0.7403506450894051}",0.9393895513960013
7,0.6907477820025348,0.5648606248669447,0.5541945275441925,0.36628643852978454,0.7690873162619647,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6194690265486725, 'recall': 0.693069306930693, 'f1': 0.6542056074766355, 'support': 101}, {'label': 2, 'precision': 0.6443298969072165, 'recall': 0.6613756613756614, 'f1': 0.6527415143603134, 'support': 189}, {'label': 3, 'precision': 0.7106109324758842, 'recall': 0.7836879432624113, 'f1': 0.7453625632377741, 'support': 282}, {'label': 4, 'precision': 0.7543859649122807, 'recall': 0.6861702127659575, 'f1': 0.7186629526462396, 'support': 188}]","[[0, 18, 10, 1, 0], [0, 70, 20, 8, 3], [0, 24, 125, 33, 7], [0, 1, 28, 221, 32], [0, 0, 11, 48, 129]]","{'accuracy': 0.7037815730261042, 'macro_f1': 0.5566981491690711, 'mae': 0.35521219272868765, 'quadratic_weighted_kappa': 0.7730601869565903}",0.889419431317744
8,0.7490494296577946,0.6199449699013851,0.6215406633158362,0.30038022813688214,0.806163785668362,"[{'label': 0, 'precision': 1.0, 'recall': 0.06896551724137931, 'f1': 0.12903225806451613, 'support': 29}, {'label': 1, 'precision': 0.6396396396396397, 'recall': 0.7029702970297029, 'f1': 0.6698113207547169, 'support': 101}, {'label': 2, 'precision': 0.7052631578947368, 'recall': 0.708994708994709, 'f1': 0.7071240105540897, 'support': 189}, {'label': 3, 'precision': 0.7785016286644951, 'recall': 0.8475177304964538, 'f1': 0.8115449915110357, 'support': 282}, {'label': 4, 'precision': 0.8100558659217877, 'recall': 0.7712765957446809, 'f1': 0.7901907356948229, 'support': 188}]","[[2, 20, 6, 0, 1], [0, 71, 25, 3, 2], [0, 15, 134, 28, 12], [0, 3, 21, 239, 19], [0, 2, 4, 37, 145]]","{'accuracy': 0.7616803983600918, 'macro_f1': 0.6299966560192432, 'mae': 0.29080138670366046, 'quadratic_weighted_kappa': 0.8136507273983009}",0.8299006901313144
9,0.7959442332065906,0.6549586873580976,0.6374887560712007,0.24334600760456274,0.8444828524568462,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6532258064516129, 'recall': 0.801980198019802, 'f1': 0.72, 'support': 101}, {'label': 2, 'precision': 0.7777777777777778, 'recall': 0.7777777777777778, 'f1': 0.7777777777777778, 'support': 189}, {'label': 3, 'precision': 0.8327645051194539, 'recall': 0.8652482269503546, 'f1': 0.8486956521739131, 'support': 282}, {'label': 4, 'precision': 0.8524590163934426, 'recall': 0.8297872340425532, 'f1': 0.8409703504043127, 'support': 188}]","[[0, 22, 6, 1, 0], [0, 81, 15, 2, 3], [0, 17, 147, 21, 4], [0, 1, 17, 244, 20], [0, 3, 4, 25, 156]]","{'accuracy': 0.8089830712267653, 'macro_f1': 0.6409018512894605, 'mae': 0.2327599374521163, 'quadratic_weighted_kappa': 0.8466256635239605}",0.7431604427076565
10,0.8301647655259823,0.7444522351127612,0.7645439916738754,0.20278833967046894,0.8775830364325939,"[{'label': 0, 'precision': 0.8333333333333334, 'recall': 0.3448275862068966, 'f1': 0.4878048780487805, 'support': 29}, {'label': 1, 'precision': 0.7747747747747747, 'recall': 0.8514851485148515, 'f1': 0.8113207547169812, 'support': 101}, {'label': 2, 'precision': 0.7967914438502673, 'recall': 0.7883597883597884, 'f1': 0.7925531914893617, 'support': 189}, {'label': 3, 'precision': 0.8333333333333334, 'recall': 0.8865248226950354, 'f1': 0.8591065292096219, 'support': 282}, {'label': 4, 'precision': 0.8938547486033519, 'recall': 0.851063829787234, 'f1': 0.8719346049046321, 'support': 188}]","[[10, 12, 6, 1, 0], [1, 86, 11, 3, 0], [1, 10, 149, 23, 6], [0, 2, 17, 250, 13], [0, 1, 4, 23, 160]]","{'accuracy': 0.8355660627782894, 'macro_f1': 0.7571928229893444, 'mae': 0.19846640266690513, 'quadratic_weighted_kappa': 0.8784714108474366}",0.6841886662258395
