epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.3688212927756654,0.21713836530562883,0.1575450524538885,0.8174904942965779,0.10868713704252453,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.16666666666666666, 'recall': 0.009900990099009901, 'f1': 0.018691588785046728, 'support': 101}, {'label': 2, 'precision': 0.3404255319148936, 'recall': 0.08465608465608465, 'f1': 0.13559322033898305, 'support': 189}, {'label': 3, 'precision': 0.3693820224719101, 'recall': 0.9326241134751773, 'f1': 0.5291750503018109, 'support': 282}, {'label': 4, 'precision': 0.4782608695652174, 'recall': 0.05851063829787234, 'f1': 0.10426540284360189, 'support': 188}]","[[0, 1, 3, 24, 1], [0, 1, 18, 82, 0], [0, 1, 16, 169, 3], [1, 3, 7, 263, 8], [0, 0, 3, 174, 11]]","{'accuracy': 0.3639171055249825, 'macro_f1': 0.15022022462715745, 'mae': 0.8126444566897798, 'quadratic_weighted_kappa': 0.09241902927700463}",1.4242978360414202
2,0.449936628643853,0.33197942894593413,0.3306812614819351,0.6831432192648923,0.4308114024059636,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.559322033898305, 'recall': 0.32673267326732675, 'f1': 0.4125, 'support': 101}, {'label': 2, 'precision': 0.41566265060240964, 'recall': 0.36507936507936506, 'f1': 0.38873239436619716, 'support': 189}, {'label': 3, 'precision': 0.44654088050314467, 'recall': 0.7553191489361702, 'f1': 0.5612648221343873, 'support': 282}, {'label': 4, 'precision': 0.45977011494252873, 'recall': 0.2127659574468085, 'f1': 0.2909090909090909, 'support': 188}]","[[0, 7, 10, 11, 1], [0, 33, 40, 27, 1], [0, 10, 69, 99, 11], [0, 4, 31, 213, 34], [0, 5, 16, 127, 40]]","{'accuracy': 0.43648167348619055, 'macro_f1': 0.320050925712017, 'mae': 0.7064559200154032, 'quadratic_weighted_kappa': 0.3901860482454308}",1.2698410575682975
3,0.5082382762991128,0.38799436681256777,0.38857485971023087,0.6121673003802282,0.5222438473076207,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5063291139240507, 'recall': 0.39603960396039606, 'f1': 0.4444444444444444, 'support': 101}, {'label': 2, 'precision': 0.425414364640884, 'recall': 0.4074074074074074, 'f1': 0.41621621621621624, 'support': 189}, {'label': 3, 'precision': 0.5209876543209877, 'recall': 0.74822695035461, 'f1': 0.6142649199417758, 'support': 282}, {'label': 4, 'precision': 0.5887096774193549, 'recall': 0.3882978723404255, 'f1': 0.46794871794871795, 'support': 188}]","[[0, 11, 9, 6, 3], [0, 40, 44, 14, 3], [0, 18, 77, 85, 9], [0, 5, 30, 211, 36], [0, 5, 21, 89, 73]]","{'accuracy': 0.5062880199534516, 'macro_f1': 0.38160885387711097, 'mae': 0.6294473023606912, 'quadratic_weighted_kappa': 0.4873113389482545}",1.1848424302912182
4,0.5513307984790875,0.4433947700747785,0.4383455686267249,0.5335868187579215,0.6293307596900461,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5523809523809524, 'recall': 0.5742574257425742, 'f1': 0.5631067961165048, 'support': 101}, {'label': 2, 'precision': 0.5337078651685393, 'recall': 0.5026455026455027, 'f1': 0.5177111716621253, 'support': 189}, {'label': 3, 'precision': 0.5471698113207547, 'recall': 0.7198581560283688, 'f1': 0.6217457886676876, 'support': 282}, {'label': 4, 'precision': 0.5851851851851851, 'recall': 0.42021276595744683, 'f1': 0.4891640866873065, 'support': 188}]","[[0, 17, 8, 2, 2], [0, 58, 32, 10, 1], [0, 20, 95, 66, 8], [0, 2, 32, 203, 45], [0, 8, 11, 90, 79]]","{'accuracy': 0.529679289029388, 'macro_f1': 0.42025225415765377, 'mae': 0.5721035049049819, 'quadratic_weighted_kappa': 0.5872410760881632}",1.0849408575337196
5,0.5741444866920152,0.46657276163279954,0.4591215556485352,0.5069708491761724,0.655827221631189,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5221238938053098, 'recall': 0.5841584158415841, 'f1': 0.5514018691588785, 'support': 101}, {'label': 2, 'precision': 0.5240384615384616, 'recall': 0.5767195767195767, 'f1': 0.5491183879093199, 'support': 189}, {'label': 3, 'precision': 0.5808383233532934, 'recall': 0.6879432624113475, 'f1': 0.6298701298701299, 'support': 282}, {'label': 4, 'precision': 0.6791044776119403, 'recall': 0.48404255319148937, 'f1': 0.5652173913043478, 'support': 188}]","[[0, 18, 7, 4, 0], [0, 59, 35, 6, 1], [0, 21, 109, 55, 4], [0, 6, 44, 194, 38], [0, 9, 13, 75, 91]]","{'accuracy': 0.5680561698363555, 'macro_f1': 0.4527082912442211, 'mae': 0.5225152039533099, 'quadratic_weighted_kappa': 0.6369962630937769}",1.0398364166040988
6,0.6451204055766794,0.5317850984693201,0.5200427540639797,0.4233206590621039,0.7194530256361942,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5867768595041323, 'recall': 0.7029702970297029, 'f1': 0.6396396396396397, 'support': 101}, {'label': 2, 'precision': 0.6010362694300518, 'recall': 0.6137566137566137, 'f1': 0.6073298429319371, 'support': 189}, {'label': 3, 'precision': 0.653125, 'recall': 0.7411347517730497, 'f1': 0.6943521594684385, 'support': 282}, {'label': 4, 'precision': 0.7290322580645161, 'recall': 0.601063829787234, 'f1': 0.6588921282798834, 'support': 188}]","[[0, 19, 7, 2, 1], [0, 71, 25, 3, 2], [0, 20, 116, 44, 9], [0, 5, 38, 209, 30], [0, 6, 7, 62, 113]]","{'accuracy': 0.6543170748310828, 'macro_f1': 0.5229667591321958, 'mae': 0.4202355877640098, 'quadratic_weighted_kappa': 0.7127238309290593}",0.970429028395011
7,0.7110266159695817,0.5921580312662157,0.5852252532751995,0.34980988593155893,0.7652945200204757,"[{'label': 0, 'precision': 1.0, 'recall': 0.034482758620689655, 'f1': 0.06666666666666667, 'support': 29}, {'label': 1, 'precision': 0.6341463414634146, 'recall': 0.7722772277227723, 'f1': 0.6964285714285714, 'support': 101}, {'label': 2, 'precision': 0.7127659574468085, 'recall': 0.708994708994709, 'f1': 0.7108753315649867, 'support': 189}, {'label': 3, 'precision': 0.7111801242236024, 'recall': 0.8120567375886525, 'f1': 0.7582781456953642, 'support': 282}, {'label': 4, 'precision': 0.7677419354838709, 'recall': 0.6329787234042553, 'f1': 0.6938775510204082, 'support': 188}]","[[1, 20, 6, 2, 0], [0, 78, 17, 4, 2], [0, 16, 134, 35, 4], [0, 2, 21, 229, 30], [0, 7, 10, 52, 119]]","{'accuracy': 0.7148243781262864, 'macro_f1': 0.5789528798480736, 'mae': 0.3515556711611881, 'quadratic_weighted_kappa': 0.7603055003848843}",0.8825868845590318
8,0.7515842839036755,0.626626326993528,0.6259834136444002,0.302915082382763,0.7982277271605762,"[{'label': 0, 'precision': 1.0, 'recall': 0.06896551724137931, 'f1': 0.12903225806451613, 'support': 29}, {'label': 1, 'precision': 0.6333333333333333, 'recall': 0.7524752475247525, 'f1': 0.6877828054298643, 'support': 101}, {'label': 2, 'precision': 0.6915422885572139, 'recall': 0.7354497354497355, 'f1': 0.7128205128205128, 'support': 189}, {'label': 3, 'precision': 0.7810457516339869, 'recall': 0.8475177304964538, 'f1': 0.8129251700680272, 'support': 282}, {'label': 4, 'precision': 0.85625, 'recall': 0.7287234042553191, 'f1': 0.7873563218390804, 'support': 188}]","[[2, 21, 5, 0, 1], [0, 76, 21, 4, 0], [0, 15, 139, 29, 6], [0, 3, 24, 239, 16], [0, 5, 12, 34, 137]]","{'accuracy': 0.7518670511057458, 'macro_f1': 0.6118814132816219, 'mae': 0.31485165823591443, 'quadratic_weighted_kappa': 0.7806450623973463}",0.8271308897868158
9,0.7756653992395437,0.6654326317235014,0.6766601176314071,0.2585551330798479,0.8402824636652213,"[{'label': 0, 'precision': 0.8333333333333334, 'recall': 0.1724137931034483, 'f1': 0.2857142857142857, 'support': 29}, {'label': 1, 'precision': 0.6610169491525424, 'recall': 0.7722772277227723, 'f1': 0.7123287671232876, 'support': 101}, {'label': 2, 'precision': 0.7619047619047619, 'recall': 0.7619047619047619, 'f1': 0.7619047619047619, 'support': 189}, {'label': 3, 'precision': 0.7901639344262295, 'recall': 0.8546099290780141, 'f1': 0.8211243611584327, 'support': 282}, {'label': 4, 'precision': 0.8421052631578947, 'recall': 0.7659574468085106, 'f1': 0.8022284122562674, 'support': 188}]","[[5, 21, 2, 0, 1], [1, 78, 17, 1, 4], [0, 16, 144, 24, 5], [0, 1, 23, 241, 17], [0, 2, 3, 39, 144]]","{'accuracy': 0.7804215919902617, 'macro_f1': 0.6660513878315187, 'mae': 0.25842175955800784, 'quadratic_weighted_kappa': 0.8350033975714275}",0.7708429047514428
10,0.8010139416983524,0.7060232435569308,0.7199363089080653,0.2256020278833967,0.8667592128801431,"[{'label': 0, 'precision': 0.7272727272727273, 'recall': 0.27586206896551724, 'f1': 0.4, 'support': 29}, {'label': 1, 'precision': 0.6779661016949152, 'recall': 0.7920792079207921, 'f1': 0.730593607305936, 'support': 101}, {'label': 2, 'precision': 0.7696335078534031, 'recall': 0.7777777777777778, 'f1': 0.7736842105263158, 'support': 189}, {'label': 3, 'precision': 0.8225255972696246, 'recall': 0.8546099290780141, 'f1': 0.8382608695652174, 'support': 282}, {'label': 4, 'precision': 0.8863636363636364, 'recall': 0.8297872340425532, 'f1': 0.8571428571428571, 'support': 188}]","[[8, 18, 1, 1, 1], [2, 80, 18, 1, 0], [0, 16, 147, 23, 3], [1, 1, 23, 241, 16], [0, 3, 2, 27, 156]]","{'accuracy': 0.800352687810816, 'macro_f1': 0.709523445351403, 'mae': 0.2288367475261603, 'quadratic_weighted_kappa': 0.8623266458833208}",0.7055757199101272
