epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.36248415716096327,0.2163953730732749,0.16583087594335882,0.8365019011406845,0.12834097043500092,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 1.0, 'recall': 0.009900990099009901, 'f1': 0.0196078431372549, 'support': 101}, {'label': 2, 'precision': 0.25882352941176473, 'recall': 0.1164021164021164, 'f1': 0.16058394160583941, 'support': 189}, {'label': 3, 'precision': 0.38699690402476783, 'recall': 0.8865248226950354, 'f1': 0.5387931034482759, 'support': 282}, {'label': 4, 'precision': 0.2708333333333333, 'recall': 0.06914893617021277, 'f1': 0.11016949152542373, 'support': 188}]","[[0, 0, 8, 20, 1], [2, 1, 33, 58, 7], [2, 0, 22, 154, 11], [2, 0, 14, 250, 16], [3, 0, 8, 164, 13]]","{'accuracy': 0.3561409852983471, 'macro_f1': 0.1635852878840506, 'mae': 0.8313031352892035, 'quadratic_weighted_kappa': 0.13068906618632337}",1.4161425458765453
2,0.449936628643853,0.32724444176940487,0.3252450767620406,0.6628643852978454,0.4802071982046605,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.42105263157894735, 'recall': 0.2376237623762376, 'f1': 0.3037974683544304, 'support': 101}, {'label': 2, 'precision': 0.42134831460674155, 'recall': 0.3968253968253968, 'f1': 0.4087193460490463, 'support': 189}, {'label': 3, 'precision': 0.4603174603174603, 'recall': 0.7198581560283688, 'f1': 0.5615491009681881, 'support': 282}, {'label': 4, 'precision': 0.4690265486725664, 'recall': 0.28191489361702127, 'f1': 0.3521594684385382, 'support': 188}]","[[0, 11, 9, 7, 2], [0, 24, 56, 20, 1], [0, 11, 75, 90, 13], [0, 4, 31, 203, 44], [0, 7, 7, 121, 53]]","{'accuracy': 0.43798320737555874, 'macro_f1': 0.31460004519194135, 'mae': 0.6843514685137787, 'quadratic_weighted_kappa': 0.44340844709270766}",1.2465664595554387
3,0.49049429657794674,0.388945733479123,0.3857632373620762,0.6172370088719898,0.544731543932401,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5208333333333334, 'recall': 0.49504950495049505, 'f1': 0.5076142131979695, 'support': 101}, {'label': 2, 'precision': 0.4702702702702703, 'recall': 0.4603174603174603, 'f1': 0.46524064171123, 'support': 189}, {'label': 3, 'precision': 0.47761194029850745, 'recall': 0.6808510638297872, 'f1': 0.5614035087719298, 'support': 282}, {'label': 4, 'precision': 0.5471698113207547, 'recall': 0.30851063829787234, 'f1': 0.3945578231292517, 'support': 188}]","[[0, 15, 8, 5, 1], [0, 50, 30, 18, 3], [0, 18, 87, 79, 5], [0, 7, 44, 192, 39], [0, 6, 16, 108, 58]]","{'accuracy': 0.4778660630199736, 'macro_f1': 0.37823313175904794, 'mae': 0.6441864867891361, 'quadratic_weighted_kappa': 0.5090085443431285}",1.1911827809306001
4,0.5564005069708492,0.44902578403737026,0.440230890729865,0.5475285171102662,0.61024246119214,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5041322314049587, 'recall': 0.6039603960396039, 'f1': 0.5495495495495496, 'support': 101}, {'label': 2, 'precision': 0.5403726708074534, 'recall': 0.4603174603174603, 'f1': 0.49714285714285716, 'support': 189}, {'label': 3, 'precision': 0.553475935828877, 'recall': 0.7340425531914894, 'f1': 0.6310975609756098, 'support': 282}, {'label': 4, 'precision': 0.631578947368421, 'recall': 0.44680851063829785, 'f1': 0.5233644859813084, 'support': 188}]","[[0, 17, 7, 5, 0], [0, 61, 27, 11, 2], [0, 24, 87, 69, 9], [0, 8, 29, 207, 38], [0, 11, 11, 82, 84]]","{'accuracy': 0.5377586122168164, 'macro_f1': 0.42460748290471406, 'mae': 0.5787476163890922, 'quadratic_weighted_kappa': 0.5753159670107855}",1.1071208812135858
5,0.5754119138149556,0.4550428396436401,0.45077179325226463,0.5057034220532319,0.6435987786730031,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.509090909090909, 'recall': 0.5544554455445545, 'f1': 0.5308056872037915, 'support': 101}, {'label': 2, 'precision': 0.5562130177514792, 'recall': 0.4973544973544973, 'f1': 0.5251396648044693, 'support': 189}, {'label': 3, 'precision': 0.5606060606060606, 'recall': 0.7872340425531915, 'f1': 0.6548672566371682, 'support': 282}, {'label': 4, 'precision': 0.7192982456140351, 'recall': 0.43617021276595747, 'f1': 0.543046357615894, 'support': 188}]","[[0, 19, 5, 4, 1], [0, 56, 31, 13, 1], [0, 23, 94, 68, 4], [0, 5, 29, 222, 26], [0, 7, 10, 89, 82]]","{'accuracy': 0.5697103877501533, 'macro_f1': 0.4456468192849483, 'mae': 0.5252190364210108, 'quadratic_weighted_kappa': 0.616305186410482}",1.0481869452202124
6,0.6628643852978454,0.5453683362257198,0.5325854318596691,0.4144486692015209,0.709694895257329,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5645161290322581, 'recall': 0.693069306930693, 'f1': 0.6222222222222222, 'support': 101}, {'label': 2, 'precision': 0.6373056994818653, 'recall': 0.6507936507936508, 'f1': 0.643979057591623, 'support': 189}, {'label': 3, 'precision': 0.6730769230769231, 'recall': 0.7446808510638298, 'f1': 0.7070707070707071, 'support': 282}, {'label': 4, 'precision': 0.75, 'recall': 0.6382978723404256, 'f1': 0.6896551724137931, 'support': 188}]","[[0, 20, 4, 3, 2], [0, 70, 23, 7, 1], [0, 20, 123, 40, 6], [0, 4, 37, 210, 31], [0, 10, 6, 52, 120]]","{'accuracy': 0.6695738160090036, 'macro_f1': 0.5314423450725996, 'mae': 0.42669212206021323, 'quadratic_weighted_kappa': 0.682509256981369}",0.9479020019598938
7,0.6945500633713562,0.5731127740171564,0.5768664266390975,0.37515842839036756,0.7374407812339285,"[{'label': 0, 'precision': 1.0, 'recall': 0.06896551724137931, 'f1': 0.12903225806451613, 'support': 29}, {'label': 1, 'precision': 0.5775862068965517, 'recall': 0.6633663366336634, 'f1': 0.6175115207373272, 'support': 101}, {'label': 2, 'precision': 0.6536312849162011, 'recall': 0.6190476190476191, 'f1': 0.6358695652173914, 'support': 189}, {'label': 3, 'precision': 0.7009063444108762, 'recall': 0.8226950354609929, 'f1': 0.7569331158238173, 'support': 282}, {'label': 4, 'precision': 0.8074534161490683, 'recall': 0.6914893617021277, 'f1': 0.7449856733524355, 'support': 188}]","[[2, 16, 7, 2, 2], [0, 67, 24, 8, 2], [0, 24, 117, 40, 8], [0, 2, 29, 232, 19], [0, 7, 2, 49, 130]]","{'accuracy': 0.6895170564630799, 'macro_f1': 0.5701795074170483, 'mae': 0.3915621785095977, 'quadratic_weighted_kappa': 0.7162486275238003}",0.8871279407967784
8,0.7389100126742713,0.601028608433285,0.5878572262149391,0.33079847908745247,0.762615354408011,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.576, 'recall': 0.7128712871287128, 'f1': 0.6371681415929203, 'support': 101}, {'label': 2, 'precision': 0.7513812154696132, 'recall': 0.7195767195767195, 'f1': 0.7351351351351352, 'support': 189}, {'label': 3, 'precision': 0.7555555555555555, 'recall': 0.8439716312056738, 'f1': 0.7973199329983249, 'support': 282}, {'label': 4, 'precision': 0.8154761904761905, 'recall': 0.7287234042553191, 'f1': 0.7696629213483146, 'support': 188}]","[[0, 23, 3, 1, 2], [0, 72, 20, 7, 2], [0, 16, 136, 31, 6], [0, 7, 16, 238, 21], [0, 7, 6, 38, 137]]","{'accuracy': 0.740148073897376, 'macro_f1': 0.5824727305909088, 'mae': 0.33982233388034533, 'quadratic_weighted_kappa': 0.7448536456212299}",0.8081319113043627
9,0.7756653992395437,0.6763548950360221,0.6883595861069985,0.26489226869455007,0.8315723890301165,"[{'label': 0, 'precision': 1.0, 'recall': 0.20689655172413793, 'f1': 0.34285714285714286, 'support': 29}, {'label': 1, 'precision': 0.6507936507936508, 'recall': 0.8118811881188119, 'f1': 0.7224669603524229, 'support': 101}, {'label': 2, 'precision': 0.7606382978723404, 'recall': 0.7566137566137566, 'f1': 0.7586206896551724, 'support': 189}, {'label': 3, 'precision': 0.8006756756756757, 'recall': 0.8404255319148937, 'f1': 0.8200692041522492, 'support': 282}, {'label': 4, 'precision': 0.8323699421965318, 'recall': 0.7659574468085106, 'f1': 0.7977839335180056, 'support': 188}]","[[6, 16, 5, 0, 2], [0, 82, 16, 2, 1], [0, 22, 143, 22, 2], [0, 2, 19, 237, 24], [0, 4, 5, 35, 144]]","{'accuracy': 0.7912976450286758, 'macro_f1': 0.7065108931136442, 'mae': 0.258171978886464, 'quadratic_weighted_kappa': 0.8229534682839181}",0.7721557338428134
10,0.7946768060836502,0.7044486906853701,0.731457639662273,0.23447401774397972,0.8540515921825381,"[{'label': 0, 'precision': 0.9090909090909091, 'recall': 0.3448275862068966, 'f1': 0.5, 'support': 29}, {'label': 1, 'precision': 0.71, 'recall': 0.7029702970297029, 'f1': 0.7064676616915423, 'support': 101}, {'label': 2, 'precision': 0.7307692307692307, 'recall': 0.8042328042328042, 'f1': 0.7657430730478589, 'support': 189}, {'label': 3, 'precision': 0.8, 'recall': 0.851063829787234, 'f1': 0.8247422680412371, 'support': 282}, {'label': 4, 'precision': 0.9058823529411765, 'recall': 0.8191489361702128, 'f1': 0.8603351955307262, 'support': 188}]","[[10, 16, 2, 0, 1], [0, 71, 25, 4, 1], [0, 9, 152, 27, 1], [0, 1, 28, 240, 13], [1, 3, 1, 29, 154]]","{'accuracy': 0.7955919914701571, 'macro_f1': 0.7224993081610332, 'mae': 0.2353963098037604, 'quadratic_weighted_kappa': 0.8542223536296405}",0.7103499814735771
