epoch,accuracy,balanced_accuracy,macro_f1,mae,quadratic_weighted_kappa,per_class,confusion_matrix,patient_group_macro,loss
1,0.3396704689480355,0.20506474152987736,0.16325163103694323,0.908745247148289,0.037522828485921145,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.2, 'recall': 0.009900990099009901, 'f1': 0.018867924528301886, 'support': 101}, {'label': 2, 'precision': 0.2261904761904762, 'recall': 0.10052910052910052, 'f1': 0.1391941391941392, 'support': 189}, {'label': 3, 'precision': 0.3719412724306688, 'recall': 0.8085106382978723, 'f1': 0.5094972067039106, 'support': 282}, {'label': 4, 'precision': 0.24691358024691357, 'recall': 0.10638297872340426, 'f1': 0.14869888475836432, 'support': 188}]","[[0, 0, 5, 23, 1], [0, 1, 23, 65, 12], [0, 2, 19, 150, 18], [3, 1, 20, 228, 30], [3, 1, 17, 147, 20]]","{'accuracy': 0.3297521064796352, 'macro_f1': 0.1571740633619057, 'mae': 0.9032446009752764, 'quadratic_weighted_kappa': 0.03181475370108666}",1.4485655071164265
2,0.4435994930291508,0.3181833026261086,0.318094411992361,0.688212927756654,0.4097668539567376,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.6388888888888888, 'recall': 0.22772277227722773, 'f1': 0.3357664233576642, 'support': 101}, {'label': 2, 'precision': 0.365, 'recall': 0.3862433862433862, 'f1': 0.37532133676092544, 'support': 189}, {'label': 3, 'precision': 0.4470338983050847, 'recall': 0.74822695035461, 'f1': 0.5596816976127321, 'support': 282}, {'label': 4, 'precision': 0.5308641975308642, 'recall': 0.22872340425531915, 'f1': 0.31970260223048325, 'support': 188}]","[[0, 4, 15, 9, 1], [0, 23, 48, 29, 1], [0, 5, 73, 104, 7], [0, 1, 41, 211, 29], [0, 3, 23, 119, 43]]","{'accuracy': 0.43939247830279654, 'macro_f1': 0.31136848901902725, 'mae': 0.7025886397124279, 'quadratic_weighted_kappa': 0.37432250184155536}",1.2916369439682278
3,0.5335868187579215,0.4125649951013338,0.4123295840097897,0.5766793409378961,0.554318209643305,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5444444444444444, 'recall': 0.48514851485148514, 'f1': 0.5130890052356021, 'support': 101}, {'label': 2, 'precision': 0.49019607843137253, 'recall': 0.3968253968253968, 'f1': 0.43859649122807015, 'support': 189}, {'label': 3, 'precision': 0.5160550458715596, 'recall': 0.7978723404255319, 'f1': 0.6267409470752089, 'support': 282}, {'label': 4, 'precision': 0.6545454545454545, 'recall': 0.3829787234042553, 'f1': 0.48322147651006714, 'support': 188}]","[[0, 14, 6, 8, 1], [0, 49, 31, 19, 2], [0, 17, 75, 89, 8], [0, 3, 27, 225, 27], [0, 7, 14, 95, 72]]","{'accuracy': 0.5299470651073199, 'macro_f1': 0.40813497664560894, 'mae': 0.6041884786701566, 'quadratic_weighted_kappa': 0.499911560880288}",1.1737567060196203
4,0.5602027883396705,0.45102844124331387,0.4478979825609664,0.541191381495564,0.6078160054811451,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5428571428571428, 'recall': 0.5643564356435643, 'f1': 0.5533980582524272, 'support': 101}, {'label': 2, 'precision': 0.5028571428571429, 'recall': 0.4656084656084656, 'f1': 0.4835164835164835, 'support': 189}, {'label': 3, 'precision': 0.547945205479452, 'recall': 0.7092198581560284, 'f1': 0.6182380216383307, 'support': 282}, {'label': 4, 'precision': 0.6736111111111112, 'recall': 0.5159574468085106, 'f1': 0.5843373493975904, 'support': 188}]","[[0, 15, 5, 7, 2], [0, 57, 30, 12, 2], [0, 20, 88, 73, 8], [0, 7, 40, 200, 35], [0, 6, 12, 73, 97]]","{'accuracy': 0.5351843728575698, 'macro_f1': 0.4278987728364518, 'mae': 0.5833962014486554, 'quadratic_weighted_kappa': 0.5622559701908052}",1.0951842924790087
5,0.6185044359949303,0.5096427930533681,0.4994925362823038,0.46514575411913817,0.671434982307404,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5785123966942148, 'recall': 0.693069306930693, 'f1': 0.6306306306306306, 'support': 101}, {'label': 2, 'precision': 0.5631578947368421, 'recall': 0.5661375661375662, 'f1': 0.5646437994722955, 'support': 189}, {'label': 3, 'precision': 0.6149253731343284, 'recall': 0.7304964539007093, 'f1': 0.6677471636952999, 'support': 282}, {'label': 4, 'precision': 0.7342657342657343, 'recall': 0.5585106382978723, 'f1': 0.6344410876132931, 'support': 188}]","[[0, 17, 4, 6, 2], [0, 70, 24, 6, 1], [0, 23, 107, 52, 7], [0, 3, 45, 206, 28], [0, 8, 10, 65, 105]]","{'accuracy': 0.6268517041559218, 'macro_f1': 0.5030633876449755, 'mae': 0.4713268022193059, 'quadratic_weighted_kappa': 0.6498262357410193}",0.9981464893947838
6,0.6615969581749049,0.5325054643255612,0.5243561102019815,0.4093789607097592,0.7155742773047165,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5446428571428571, 'recall': 0.6039603960396039, 'f1': 0.5727699530516432, 'support': 101}, {'label': 2, 'precision': 0.6019417475728155, 'recall': 0.656084656084656, 'f1': 0.6278481012658228, 'support': 189}, {'label': 3, 'precision': 0.6875, 'recall': 0.7801418439716312, 'f1': 0.7308970099667774, 'support': 282}, {'label': 4, 'precision': 0.7748344370860927, 'recall': 0.6223404255319149, 'f1': 0.6902654867256637, 'support': 188}]","[[0, 20, 5, 3, 1], [0, 61, 35, 4, 1], [0, 19, 124, 42, 4], [0, 3, 31, 220, 28], [0, 9, 11, 51, 117]]","{'accuracy': 0.6473039920598669, 'macro_f1': 0.5110553091098196, 'mae': 0.43995358856801275, 'quadratic_weighted_kappa': 0.6820262498773484}",0.9399167253943904
7,0.7414448669201521,0.6096102467389597,0.5916960484731892,0.30798479087452474,0.7982726111908918,"[{'label': 0, 'precision': 0.0, 'recall': 0.0, 'f1': 0.0, 'support': 29}, {'label': 1, 'precision': 0.5766423357664233, 'recall': 0.7821782178217822, 'f1': 0.6638655462184874, 'support': 101}, {'label': 2, 'precision': 0.7010869565217391, 'recall': 0.6825396825396826, 'f1': 0.6916890080428955, 'support': 189}, {'label': 3, 'precision': 0.780327868852459, 'recall': 0.8439716312056738, 'f1': 0.8109028960817717, 'support': 282}, {'label': 4, 'precision': 0.852760736196319, 'recall': 0.7393617021276596, 'f1': 0.792022792022792, 'support': 188}]","[[0, 24, 3, 0, 2], [0, 79, 20, 1, 1], [0, 25, 129, 30, 5], [0, 3, 25, 238, 16], [0, 6, 7, 36, 139]]","{'accuracy': 0.7424425838785329, 'macro_f1': 0.5878873059947792, 'mae': 0.3182131538263853, 'quadratic_weighted_kappa': 0.7809503105846513}",0.8208886239918466
8,0.7807351077313055,0.6566038789533847,0.6507652983927219,0.2623574144486692,0.8273345988778774,"[{'label': 0, 'precision': 1.0, 'recall': 0.06896551724137931, 'f1': 0.12903225806451613, 'support': 29}, {'label': 1, 'precision': 0.6356589147286822, 'recall': 0.8118811881188119, 'f1': 0.7130434782608696, 'support': 101}, {'label': 2, 'precision': 0.7405405405405405, 'recall': 0.7248677248677249, 'f1': 0.732620320855615, 'support': 189}, {'label': 3, 'precision': 0.8156996587030717, 'recall': 0.8475177304964538, 'f1': 0.831304347826087, 'support': 282}, {'label': 4, 'precision': 0.8666666666666667, 'recall': 0.8297872340425532, 'f1': 0.8478260869565217, 'support': 188}]","[[2, 22, 2, 1, 2], [0, 82, 16, 1, 2], [0, 19, 137, 30, 3], [0, 2, 24, 239, 17], [0, 4, 6, 22, 156]]","{'accuracy': 0.7901747699367352, 'macro_f1': 0.6626031388241568, 'mae': 0.2590055579321173, 'quadratic_weighted_kappa': 0.8236810991458691}",0.7650489044129017
9,0.7731305449936628,0.677489669101068,0.682115354389462,0.27122940430925224,0.8284075563957869,"[{'label': 0, 'precision': 0.6, 'recall': 0.20689655172413793, 'f1': 0.3076923076923077, 'support': 29}, {'label': 1, 'precision': 0.6268656716417911, 'recall': 0.8316831683168316, 'f1': 0.7148936170212766, 'support': 101}, {'label': 2, 'precision': 0.75, 'recall': 0.746031746031746, 'f1': 0.7480106100795756, 'support': 189}, {'label': 3, 'precision': 0.7952218430034129, 'recall': 0.8262411347517731, 'f1': 0.8104347826086956, 'support': 282}, {'label': 4, 'precision': 0.8902439024390244, 'recall': 0.776595744680851, 'f1': 0.8295454545454546, 'support': 188}]","[[6, 22, 1, 0, 0], [2, 84, 11, 2, 2], [1, 17, 141, 29, 1], [0, 5, 29, 233, 15], [1, 6, 6, 29, 146]]","{'accuracy': 0.7725276607623205, 'macro_f1': 0.6678017221346815, 'mae': 0.2820716106402296, 'quadratic_weighted_kappa': 0.8106208965398727}",0.7566404099397938
10,0.8479087452471483,0.7949669726781223,0.8161989769281603,0.17490494296577946,0.8986485039914021,"[{'label': 0, 'precision': 0.8888888888888888, 'recall': 0.5517241379310345, 'f1': 0.6808510638297872, 'support': 29}, {'label': 1, 'precision': 0.8269230769230769, 'recall': 0.8514851485148515, 'f1': 0.8390243902439024, 'support': 101}, {'label': 2, 'precision': 0.784688995215311, 'recall': 0.8677248677248677, 'f1': 0.8241206030150754, 'support': 189}, {'label': 3, 'precision': 0.8581314878892734, 'recall': 0.8794326241134752, 'f1': 0.8686514886164624, 'support': 282}, {'label': 4, 'precision': 0.9171597633136095, 'recall': 0.824468085106383, 'f1': 0.8683473389355743, 'support': 188}]","[[16, 10, 2, 0, 1], [2, 86, 13, 0, 0], [0, 6, 164, 17, 2], [0, 2, 21, 248, 11], [0, 0, 9, 24, 155]]","{'accuracy': 0.8533841635590099, 'macro_f1': 0.8270561410252792, 'mae': 0.1739382408125747, 'quadratic_weighted_kappa': 0.8954797460277425}",0.666725723462413
11,0.8301647655259823,0.7971481964602847,0.8079736240798727,0.19138149556400508,0.8944521112419588,"[{'label': 0, 'precision': 0.7916666666666666, 'recall': 0.6551724137931034, 'f1': 0.7169811320754716, 'support': 29}, {'label': 1, 'precision': 0.82, 'recall': 0.8118811881188119, 'f1': 0.8159203980099502, 'support': 101}, {'label': 2, 'precision': 0.775, 'recall': 0.8201058201058201, 'f1': 0.7969151670951157, 'support': 189}, {'label': 3, 'precision': 0.8475177304964538, 'recall': 0.8475177304964538, 'f1': 0.8475177304964538, 'support': 282}, {'label': 4, 'precision': 0.8743169398907104, 'recall': 0.851063829787234, 'f1': 0.862533692722372, 'support': 188}]","[[19, 9, 1, 0, 0], [3, 82, 14, 1, 1], [1, 9, 155, 20, 4], [0, 0, 25, 239, 18], [1, 0, 5, 22, 160]]","{'accuracy': 0.8344846566754399, 'macro_f1': 0.8155562247202045, 'mae': 0.19118367076482592, 'quadratic_weighted_kappa': 0.8909287314526508}",0.6620001879028494
12,0.8859315589353612,0.8494326456367818,0.8597025830866636,0.12547528517110265,0.9296110109482918,"[{'label': 0, 'precision': 0.8333333333333334, 'recall': 0.6896551724137931, 'f1': 0.7547169811320755, 'support': 29}, {'label': 1, 'precision': 0.839622641509434, 'recall': 0.8811881188118812, 'f1': 0.8599033816425121, 'support': 101}, {'label': 2, 'precision': 0.8429319371727748, 'recall': 0.8518518518518519, 'f1': 0.8473684210526315, 'support': 189}, {'label': 3, 'precision': 0.8896551724137931, 'recall': 0.9148936170212766, 'f1': 0.9020979020979021, 'support': 282}, {'label': 4, 'precision': 0.9606741573033708, 'recall': 0.9095744680851063, 'f1': 0.9344262295081968, 'support': 188}]","[[20, 8, 0, 0, 1], [2, 89, 10, 0, 0], [1, 9, 161, 17, 1], [0, 0, 19, 258, 5], [1, 0, 1, 15, 171]]","{'accuracy': 0.8838143957611807, 'macro_f1': 0.8484558194831745, 'mae': 0.1341728537834461, 'quadratic_weighted_kappa': 0.9173337763550948}",0.5930394384495357
13,0.8871989860583016,0.8638270968207117,0.8683059468051242,0.13181242078580482,0.9180565557898419,"[{'label': 0, 'precision': 0.8518518518518519, 'recall': 0.7931034482758621, 'f1': 0.8214285714285714, 'support': 29}, {'label': 1, 'precision': 0.8037383177570093, 'recall': 0.8514851485148515, 'f1': 0.8269230769230769, 'support': 101}, {'label': 2, 'precision': 0.8846153846153846, 'recall': 0.8518518518518519, 'f1': 0.8679245283018868, 'support': 189}, {'label': 3, 'precision': 0.891156462585034, 'recall': 0.9290780141843972, 'f1': 0.9097222222222222, 'support': 282}, {'label': 4, 'precision': 0.9385474860335196, 'recall': 0.8936170212765957, 'f1': 0.9155313351498637, 'support': 188}]","[[23, 5, 0, 0, 1], [3, 86, 9, 1, 2], [0, 14, 161, 13, 1], [0, 1, 12, 262, 7], [1, 1, 0, 18, 168]]","{'accuracy': 0.8926096179052581, 'macro_f1': 0.8720486627349592, 'mae': 0.1257635006835636, 'quadratic_weighted_kappa': 0.9234763070142926}",0.6026342704571094
