experiment_key,experiment,modalities,seed,strategy,accuracy,macro_f1,mae,confusion_matrix
m_mr,M + MR,M + MR,42,Hard Label,0.28019323671497587,0.20905815850751117,0.9130434782608695,"[[0, 5, 0, 1, 1], [2, 4, 9, 5, 2], [2, 8, 8, 12, 5], [0, 4, 9, 21, 10], [0, 4, 7, 63, 25]]"
m_mr,M + MR,M + MR,42,Soft Label,0.33816425120772947,0.26272730681093903,0.821256038647343,"[[0, 3, 1, 1, 2], [0, 9, 6, 6, 1], [0, 9, 6, 18, 2], [0, 3, 2, 28, 11], [0, 3, 5, 64, 27]]"
m_mr,M + MR,M + MR,3407,Hard Label,0.30434782608695654,0.259734513487578,0.8792270531400966,"[[0, 2, 2, 2, 1], [1, 13, 4, 4, 0], [4, 8, 4, 15, 4], [2, 1, 6, 23, 12], [0, 3, 6, 67, 23]]"
m_mr,M + MR,M + MR,3407,Soft Label,0.34782608695652173,0.2071516227291653,0.8019323671497585,"[[0, 1, 1, 4, 1], [0, 2, 12, 8, 0], [0, 2, 1, 26, 6], [0, 0, 4, 28, 12], [0, 1, 3, 54, 41]]"
m_mr,M + MR,M + MR,2026,Hard Label,0.37681159420289856,0.27943034676066353,0.8743961352657005,"[[0, 2, 2, 2, 1], [0, 10, 5, 4, 3], [0, 10, 7, 9, 9], [0, 5, 7, 18, 14], [0, 5, 9, 42, 43]]"
m_mr,M + MR,M + MR,2026,Soft Label,0.38164251207729466,0.27754552914485886,0.821256038647343,"[[0, 1, 2, 2, 2], [1, 8, 5, 6, 2], [0, 6, 5, 13, 11], [0, 3, 3, 19, 19], [0, 1, 4, 47, 47]]"
m_mb,M + MB,M + MB,42,Hard Label,0.3864734299516908,0.25266832344063356,0.8454106280193237,"[[0, 2, 1, 2, 2], [0, 4, 6, 7, 5], [0, 3, 4, 20, 8], [0, 1, 4, 24, 15], [0, 2, 7, 42, 48]]"
m_mb,M + MB,M + MB,42,Soft Label,0.3285024154589372,0.26810322744237414,0.8743961352657005,"[[0, 2, 1, 3, 1], [0, 12, 2, 7, 1], [0, 5, 4, 23, 3], [0, 2, 5, 31, 6], [0, 3, 12, 63, 21]]"
m_mb,M + MB,M + MB,3407,Hard Label,0.4106280193236715,0.29486115070111907,0.821256038647343,"[[0, 3, 2, 1, 1], [0, 8, 8, 3, 3], [1, 7, 7, 10, 10], [0, 1, 9, 22, 12], [0, 6, 8, 37, 48]]"
m_mb,M + MB,M + MB,3407,Soft Label,0.463768115942029,0.26353131818765246,0.8019323671497585,"[[0, 3, 0, 1, 3], [2, 2, 4, 6, 8], [0, 2, 6, 10, 17], [0, 1, 4, 15, 24], [0, 0, 4, 22, 73]]"
m_mb,M + MB,M + MB,2026,Hard Label,0.357487922705314,0.2829805996472663,0.8357487922705314,"[[0, 2, 2, 2, 1], [0, 10, 4, 3, 5], [0, 7, 6, 15, 7], [0, 2, 4, 32, 6], [0, 2, 5, 66, 26]]"
m_mb,M + MB,M + MB,2026,Soft Label,0.391304347826087,0.28616750811395597,0.8647342995169082,"[[0, 2, 2, 1, 2], [0, 13, 2, 3, 4], [0, 11, 3, 12, 9], [0, 4, 3, 28, 9], [1, 7, 2, 52, 37]]"
m_mr_mb,M + MR + MB,M + MR + MB,42,Hard Label,0.3719806763285024,0.3093346379647749,0.8405797101449275,"[[0, 1, 0, 5, 1], [0, 11, 1, 6, 4], [1, 6, 8, 13, 7], [0, 4, 7, 28, 5], [0, 0, 5, 64, 30]]"
m_mr_mb,M + MR + MB,M + MR + MB,42,Soft Label,0.45893719806763283,0.3210063997057659,0.7729468599033816,"[[0, 3, 1, 1, 2], [0, 6, 9, 2, 5], [0, 4, 11, 7, 13], [0, 2, 8, 20, 14], [0, 1, 10, 30, 58]]"
m_mr_mb,M + MR + MB,M + MR + MB,3407,Hard Label,0.3140096618357488,0.23001544904091326,0.8260869565217391,"[[0, 2, 2, 2, 1], [2, 8, 5, 5, 2], [0, 8, 2, 19, 6], [0, 2, 2, 35, 5], [0, 0, 3, 76, 20]]"
m_mr_mb,M + MR + MB,M + MR + MB,3407,Soft Label,0.3719806763285024,0.3001648166478753,0.7922705314009661,"[[1, 1, 2, 1, 2], [0, 2, 11, 7, 2], [0, 4, 9, 11, 11], [0, 1, 3, 28, 12], [0, 0, 1, 61, 37]]"
m_mr_mb,M + MR + MB,M + MR + MB,2026,Hard Label,0.41545893719806765,0.29882154882154877,0.8019323671497585,"[[0, 2, 1, 3, 1], [1, 7, 2, 8, 4], [0, 5, 7, 15, 8], [0, 2, 4, 21, 17], [0, 2, 5, 41, 51]]"
m_mr_mb,M + MR + MB,M + MR + MB,2026,Soft Label,0.33816425120772947,0.25253647273216745,0.8502415458937198,"[[0, 3, 0, 2, 2], [0, 10, 4, 4, 4], [0, 10, 3, 16, 6], [0, 2, 4, 30, 8], [0, 3, 3, 66, 27]]"
mr_mb,MR + MB,MR + MB,42,Hard Label,0.33816425120772947,0.2462555461839992,0.8792270531400966,"[[0, 2, 2, 1, 2], [2, 6, 5, 8, 1], [2, 9, 5, 12, 7], [1, 2, 3, 30, 8], [0, 4, 4, 62, 29]]"
mr_mb,MR + MB,MR + MB,42,Soft Label,0.463768115942029,0.30008774524302473,0.7729468599033816,"[[0, 2, 2, 1, 2], [0, 6, 9, 1, 6], [0, 9, 7, 8, 11], [0, 5, 4, 18, 17], [0, 2, 6, 26, 65]]"
mr_mb,MR + MB,MR + MB,3407,Hard Label,0.32367149758454106,0.23787478278588772,0.9082125603864735,"[[0, 2, 0, 5, 0], [0, 14, 0, 7, 1], [0, 12, 1, 16, 6], [1, 5, 3, 27, 8], [0, 7, 2, 65, 25]]"
mr_mb,MR + MB,MR + MB,3407,Soft Label,0.43478260869565216,0.3143594352694454,0.7584541062801933,"[[0, 2, 1, 3, 1], [0, 8, 4, 8, 2], [0, 5, 7, 12, 11], [0, 2, 4, 21, 17], [0, 1, 3, 41, 54]]"
mr_mb,MR + MB,MR + MB,2026,Hard Label,0.3864734299516908,0.28930207047854106,0.7777777777777778,"[[0, 1, 1, 3, 2], [0, 10, 3, 6, 3], [0, 5, 2, 22, 6], [0, 0, 2, 33, 9], [0, 1, 1, 62, 35]]"
mr_mb,MR + MB,MR + MB,2026,Soft Label,0.2995169082125604,0.21207658659111628,0.9420289855072463,"[[0, 2, 2, 2, 1], [0, 6, 6, 9, 1], [0, 10, 3, 17, 5], [0, 4, 4, 29, 7], [0, 4, 13, 58, 24]]"
all_channels,All channels,M + MB + MP + MR + MUV,42,Hard Label,0.30434782608695654,0.2243977469160549,0.9033816425120773,"[[0, 2, 2, 2, 1], [3, 6, 4, 5, 4], [1, 10, 4, 13, 7], [1, 1, 8, 25, 9], [0, 2, 6, 63, 28]]"
all_channels,All channels,M + MB + MP + MR + MUV,42,Soft Label,0.26570048309178745,0.20719856795806163,0.966183574879227,"[[0, 2, 3, 0, 2], [0, 4, 11, 2, 5], [2, 5, 10, 14, 4], [1, 1, 9, 26, 7], [1, 2, 11, 70, 15]]"
all_channels,All channels,M + MB + MP + MR + MUV,3407,Hard Label,0.40096618357487923,0.28376567876567876,0.8164251207729468,"[[0, 4, 1, 1, 1], [3, 4, 5, 7, 3], [0, 8, 12, 3, 12], [1, 0, 9, 20, 14], [0, 2, 8, 42, 47]]"
all_channels,All channels,M + MB + MP + MR + MUV,3407,Soft Label,0.28019323671497587,0.1734524902466294,0.9565217391304348,"[[0, 2, 0, 5, 0], [0, 1, 5, 13, 3], [0, 3, 4, 20, 8], [0, 0, 4, 31, 9], [0, 3, 6, 68, 22]]"
all_channels,All channels,M + MB + MP + MR + MUV,2026,Hard Label,0.42995169082125606,0.28441020984665055,0.7729468599033816,"[[0, 4, 0, 2, 1], [0, 10, 5, 4, 3], [0, 13, 5, 9, 8], [0, 3, 8, 13, 20], [0, 4, 6, 28, 61]]"
all_channels,All channels,M + MB + MP + MR + MUV,2026,Soft Label,0.37681159420289856,0.25221940542803856,0.8454106280193237,"[[0, 2, 0, 3, 2], [0, 4, 8, 7, 3], [3, 3, 5, 18, 6], [0, 1, 3, 22, 18], [0, 4, 3, 45, 47]]"
